ABIE/BBIE/ASBIE	Dictionary Entry Name	Definition	Occurrence Min	Occurrence Max
BBIE	Basic_ Work Item. Reference File. Binary Object	A reference file binary object related to this basic work item.	0	unbounded
BBIE	Basic_ Work Item. Index. Text	The index, expressed as text, to be used for this basic work item.	0	1
BBIE	Basic_ Work Item. Requested Action. Code	A code specifying a requested action for this basic work item.	0	unbounded
BBIE	Basic_ Work Item. Price List Item_ Identification. Identifier	The unique identifier of a price list item for this basic work item.	0	1
BBIE	Basic_ Work Item. Contractual Language. Code	The code specifying the contractual language for this basic work item.	0	1
ASBIE	Basic_ Work Item. Actual. Work Item_ Complex Description	An actual complex description for this basic work item.	0	unbounded
ASBIE	Basic_ Work Item. Total Quantity. Work Item_ Quantity Analysis	An analysis of the total quantity for this basic work item.	0	unbounded
ASBIE	Basic_ Work Item. Unit. Calculated_ Price	A unit calculated price for this basic work item.	0	unbounded
ASBIE	Basic_ Work Item. Total. Calculated_ Price	A total calculated price for this basic work item.	0	unbounded
ASBIE	Basic_ Work Item. Subordinate. Basic_ Work Item	A subordinate work item for this basic work item.	0	unbounded
ASBIE	Basic_ Work Item. Changed. Recorded_ Status	A changed recorded status for this basic work item.	0	unbounded
ASBIE	Basic_ Work Item. Item. Basic_ Work Item	A basic work item in this basic work item.	0	unbounded
ASBIE	Basic_ Work Item. Referenced. Specified_ Binary File	A specified binary file referenced by this basic work item.	0	unbounded
ABIE	Branch_ Financial Institution. Details	A sub-division of a bank, building society, credit union, stock brokerage, or similar business; established primarily to provide financial services and financial transactions.		
BBIE	Branch_ Financial Institution. Identification. Identifier	The unique identifier for this branch of a financial institution.	0	1
BBIE	Branch_ Financial Institution. Name. Text	The name, expressed as text, for this branch of a financial institution.	0	1
ASBIE	Branch_ Financial Institution. Location. Financial Institution_ Address	The location address for this branch of a financial institution.	0	1
ABIE	Calculated_ Price. Details	Information related to a calculated price.		
BBIE	Calculated_ Price. Type. Code	A code specifying the type of calculated price.	0	unbounded
BBIE	Calculated_ Price. Charge. Amount	A monetary value of the calculated price to be charged.	0	unbounded
ASBIE	Calculated_ Price. Related. Applied_ Allowance Charge	Applied allowance charge information related to this calculated price.	0	unbounded
ABIE	Contact_ Person. Details	An individual human being in a position to give assistance or information.		
BBIE	Contact_ Person. Given Name. Text	The name, expressed as text, given to this contact person, usually by parents at birth.	0	1
BBIE	Contact_ Person. Middle Name. Text	The middle name, expressed as text, of this contact person, usually given by parents at birth.	0	1
BBIE	Contact_ Person. Family Name. Text	The name, expressed as text, that this contact person shares with members of his/her family.	0	1
ABIE	Creditor_ Financial Account. Details	A specific business arrangement whereby credits arising from transactions are recorded.		
BBIE	Creditor_ Financial Account. IBAN_ Identification. Identifier	The unique International Bank Account Number (IBAN) identifier for this creditor financial account.	0	1
BBIE	Creditor_ Financial Account. Account Name. Text	The account name, expressed as text, of this creditor financial account.	0	1
BBIE	Creditor_ Financial Account. Proprietary_ Identification. Identifier	The unique proprietary identifier for this creditor financial account.	0	1
ABIE	Creditor_ Financial Institution. Details	A bank, building society, credit union, stock brokerage, or similar business of the party that receives money.		
BBIE	Creditor_ Financial Institution. BIC. Identifier	The unique Bank Identification Code (BIC) as defined in ISO 9362 for this creditor financial institution.	0	1
BBIE	Creditor_ Financial Institution. CHIPS Universal_ Identification. Identifier	The unique (United States) Clearing House Interbank Payments System (CHIPS) Universal Identification (UID) as assigned by the New York Clearing House for this creditor financial institution.	0	1
BBIE	Creditor_ Financial Institution. New Zealand NCC_ Identification. Identifier	The unique New Zealand National Clearing Code (NCC) identifier as assigned by the New Zealand Bankers' Association (NZBA) for this creditor financial institution.	0	1
BBIE	Creditor_ Financial Institution. Irish NSC_ Identification. Identifier	The unique Irish National Sorting Code (NSC) identifier as assigned by the Irish Payments Services Organisation (IPSO) for this creditor financial institution.	0	1
BBIE	Creditor_ Financial Institution. UK Sort Code_ Identification. Identifier	The unique United Kingdom (UK) Sort Code identifier as assigned by the UK Payment Association (APACS) for this creditor financial institution.	0	1
BBIE	Creditor_ Financial Institution. CHIPS Participant_ Identification. Identifier	The unique (United States) Clearing House Interbank Payment System (CHIPS) Participant Identifier (ID) as assigned by the New York Clearing House for this creditor financial institution.	0	1
BBIE	Creditor_ Financial Institution. Swiss BC_ Identification. Identifier	The unique Swiss Bank Code (BC) identifier for this creditor financial institution.	0	1
BBIE	Creditor_ Financial Institution. Fedwire Routing Number_ Identification. Identifier	The unique Fedwire Routing Number identifier as assigned by the American Bankers Association (ABA) for this creditor financial institution.	0	1
BBIE	Creditor_ Financial Institution. Portuguese NCC_ Identification. Identifier	The unique Portuguese National Clearing Code (NCC) identifier for this creditor financial institution.	0	1
BBIE	Creditor_ Financial Institution. Russian Central Bank_ Identification. Identifier	The unique Russian Central Bank Identification Code identifier for this creditor financial institution.	0	1
BBIE	Creditor_ Financial Institution. Italian Domestic_ Identification. Identifier	The unique Italian Domestic Identification Code identifier as assigned by the Associazione Bancaria Italiana (ABI) for this creditor financial institution.	0	1
BBIE	Creditor_ Financial Institution. Austrian Bankleitzahl_ Identification. Identifier	The unique Austrian Bankleitzahl identifier for this creditor financial institution.	0	1
BBIE	Creditor_ Financial Institution. Canadian Payments Association_ Identification. Identifier	The unique Canadian Payments Association Routing Number identifier for this creditor financial institution.	0	1
BBIE	Creditor_ Financial Institution. SIC_ Identification. Identifier	The unique Swiss Interbank Clearing (SIC) Code identifier for this creditor financial institution.	0	1
BBIE	Creditor_ Financial Institution. German Bankleitzahl_ Identification. Identifier	The unique German Bankleitzahl identifier for this creditor financial institution.	0	1
BBIE	Creditor_ Financial Institution. Spanish Domestic Interbanking_ Identification. Identifier	The unique Spanish Domestic Interbanking Code identifier as assigned by the Centro de Cooperacion Interbancaria (CCI) for this creditor financial institution.	0	1				
BBIE	Creditor_ Financial Institution. South African NCC_ Identification. Identifier	The unique South African National Clearing Code (NCC) identifier as assigned by the South African Bankers Services Company Ltd. (BankServ) for this creditor financial institution.	0	1
BBIE	Creditor_ Financial Institution. Hong Kong Bank_ Identification. Identifier	The unique Hong Kong Bank Code identifier for this creditor financial institution.	0	1
BBIE	Creditor_ Financial Institution. Australian BSB_ Identification. Identifier	The unique Australian Bank State Branch (BSB) Code identifier as assigned by the Australian Payments Clearing Association (APCA) for this creditor financial institution.	0	1
BBIE	Creditor_ Financial Institution. Indian Financial System_ Identification. Identifier	The unique Indian Financial System Code identifier for this creditor financial institution.	0	1
BBIE	Creditor_ Financial Institution. Hellenic Bank_ Identification. Identifier	The unique Hellenic Bank Identification Code identifier for this creditor financial institution.	0	1
BBIE	Creditor_ Financial Institution. Polish National Clearing_ Identification. Identifier	The unique Polish National Clearing Code identifier for this creditor financial institution.	0	1
BBIE	Creditor_ Financial Institution. Name. Text	The name, expressed as text, for this creditor financial institution.	0	1
BBIE	Creditor_ Financial Institution. Clearing System Name. Text	The clearing system name, expressed as text, for this creditor financial institution.	0	1
BBIE	Creditor_ Financial Institution. Japan Financial Institution Common_ Identification. Identifier	The Japan Financial Institution Common identifier as assigned by the Japanese Bankers Association for this creditor financial institution.	0	1
ASBIE	Creditor_ Financial Institution. Location. Financial Institution_ Address	The location address for this creditor financial institution.	0	1
ASBIE	Creditor_ Financial Institution. Sub-Division. Branch_ Financial Institution	The branch financial institution for this creditor financial institution.	0	1
ABIE	Debtor_ Financial Account. Details	A specific business arrangement whereby debits arising from transactions are recorded.		
BBIE	Debtor_ Financial Account. IBAN_ Identification. Identifier	The unique International Bank Account Number (IBAN) identifier for this debtor financial account.	0	1
BBIE	Debtor_ Financial Account. Account Name. Text	The account name, expressed as text, of this debtor financial account.	0	1
BBIE	Debtor_ Financial Account. Proprietary_ Identification. Identifier	The unique proprietary identifier for this debtor financial account.	0	1
ABIE	Debtor_ Financial Institution. Details	A bank, building society, credit union, stock brokerage, or similar business of the party that owes money.		
BBIE	Debtor_ Financial Institution. BIC. Identifier	The unique Bank Identification Code (BIC) as defined in ISO 9362 for this debtor financial institution.	0	1
BBIE	Debtor_ Financial Institution. Clearing System Name. Text	The clearing system name, expressed as text, for this debtor financial institution.	0	1
BBIE	Debtor_ Financial Institution. CHIPS Universal_ Identification. Identifier	The unique (United States) Clearing House Interbank Payments System (CHIPS) Universal Identification (UID) as assigned by the New York Clearing House for this debtor financial institution.	0	1
BBIE	Debtor_ Financial Institution. New Zealand NCC_ Identification. Identifier	The unique New Zealand National Clearing Code (NCC) identifier as assigned by the New Zealand Bankers' Association (NZBA) for this debtor financial institution.	0	1
BBIE	Debtor_ Financial Institution. Irish NSC_ Identification. Identifier	The unique Irish National Sorting Code (NSC) identifier as assigned by the Irish Payments Services Organisation (IPSO) for this debtor financial institution.	0	1
BBIE	Debtor_ Financial Institution. UK Sort Code_ Identification. Identifier	The unique United Kingdom (UK) Sort Code identifier as assigned by the UK Payment Association (APACS) for this debtor financial institution.	0	1
BBIE	Debtor_ Financial Institution. CHIPS Participant_ Identification. Identifier	The unique (United States) Clearing House Interbank Payment System (CHIPS) Participant Identifier (ID) as assigned by the New York Clearing House for this debtor financial institution.	0	1
BBIE	Debtor_ Financial Institution. Swiss BC_ Identification. Identifier	The unique Swiss Bank Code (BC) identifier for this debtor financial institution.	0	1
BBIE	Debtor_ Financial Institution. Fedwire Routing Number_ Identification. Identifier	The unique Fedwire Routing Number identifier as assigned by the American Bankers Association (ABA) for this debtor financial institution.	0	1
BBIE	Debtor_ Financial Institution. Portuguese NCC_ Identification. Identifier	The unique Portuguese National Clearing Code (NCC) identifier for this debtor financial institution.	0	1
BBIE	Debtor_ Financial Institution. Russian Central Bank_ Identification. Identifier	The unique Russian Central Bank Identification Code identifier for this debtor financial institution.	0	1
BBIE	Debtor_ Financial Institution. Italian Domestic_ Identification. Identifier	The unique Italian Domestic Identification Code identifier as assigned by the Associazione Bancaria Italiana (ABI) for this debtor financial institution.	0	1
BBIE	Debtor_ Financial Institution. Austrian Bankleitzahl_ Identification. Identifier	The unique Austrian Bankleitzahl identifier for this debtor financial institution.	0	1
BBIE	Debtor_ Financial Institution. Canadian Payments Association_ Identification. Identifier	The unique Canadian Payments Association Routing Number identifier for this debtor financial institution.	0	1
BBIE	Debtor_ Financial Institution. SIC_ Identification. Identifier	The unique Swiss Interbank Clearing (SIC) Code identifier for this debtor financial institution.	0	1
BBIE	Debtor_ Financial Institution. German Bankleitzahl_ Identification. Identifier	The unique German Bankleitzahl identifier for this debtor financial institution.	0	1
BBIE	Debtor_ Financial Institution. Spanish Domestic Interbanking_ Identification. Identifier	The unique Spanish Domestic Interbanking Code identifier as assigned by the Centro de Cooperacion Interbancaria (CCI) for this debtor financial institution.	0	1
BBIE	Debtor_ Financial Institution. South African NCC_ Identification. Identifier	The unique South African National Clearing Code (NCC) identifier as assigned by the South African Bankers Services Company Ltd. (BankServ) for this debtor financial institution.	0	1
BBIE	Debtor_ Financial Institution. Hong Kong Bank_ Identification. Identifier	The unique Hong Kong Bank Code identifier for this debtor financial institution.	0	1
BBIE	Debtor_ Financial Institution. Australian BSB_ Identification. Identifier	The unique Australian Bank State Branch (BSB) Code identifier as assigned by the Australian Payments Clearing Association (APCA) for this debtor financial institution.	0	1
BBIE	Debtor_ Financial Institution. Indian Financial System_ Identification. Identifier	The unique Indian Financial System Code identifier for this debtor financial institution.	0	1
BBIE	Debtor_ Financial Institution. Hellenic Bank_ Identification. Identifier	The unique Hellenic Bank Identification Code identifier for this debtor financial institution.	0	1
BBIE	Debtor_ Financial Institution. Polish National Clearing_ Identification. Identifier	The unique Polish National Clearing Code identifier for this debtor financial institution.	0	1
BBIE	Debtor_ Financial Institution. Name. Text	The name, expressed as text, for this debtor financial institution.	0	1
BBIE	Debtor_ Financial Institution. Japan Financial Institution Common_ Identification. Identifier	The Japan Financial Institution Common identifier as assigned by the Japanese Bankers Association for this debtor financial institution.	0	1
ASBIE	Debtor_ Financial Institution. Location. Financial Institution_ Address	The location address for this debtor financial institution.	0	1
ASBIE	Debtor_ Financial Institution. Sub-Division. Branch_ Financial Institution	The branch financial institution for this debtor financial institution.	0	1
ABIE	Delivery_ Adjustment. Details	A correction or modification to reflect actual delivery conditions.		
BBIE	Delivery_ Adjustment. Reason. Code	The code specifying a reason for this delivery adjustment.	0	1
BBIE	Delivery_ Adjustment. Reason. Text	A reason, expressed as text, for this delivery adjustment.	0	unbounded
BBIE	Delivery_ Adjustment. Actual. Amount	An actual monetary value added or subtracted as a result of this delivery adjustment.	0	unbounded
BBIE	Delivery_ Adjustment. Actual. Quantity	The actual quantity added or subtracted as a result of this delivery adjustment.	0	1
BBIE	Delivery_ Adjustment. Actual. Date Time	The actual date, time, date time, or other date time value of this delivery adjustment.	0	1
ABIE	Disposal_ Instructions. Details	A set of instructions detailing how to properly dispose of a material.		
BBIE	Disposal_ Instructions. Material. Identifier	The identifier of the material to which these disposal instructions apply.	0	1
BBIE	Disposal_ Instructions. Recycling_ Description. Code	A code describing recycling in these disposal instructions.	0	unbounded
BBIE	Disposal_ Instructions. Description. Text	A textual description of these disposal instructions.	0	unbounded
BBIE	Disposal_ Instructions. Recycling_ Procedure. Text	A recycling procedure, expressed as text, for these disposal instructions.	0	unbounded
ABIE	Document Context_ Parameter. Details	A feature that is fixed for a particular document context.		
BBIE	Document Context_ Parameter. Identification. Identifier	The unique identifier of this document context parameter.	0	1
BBIE	Document Context_ Parameter. Value. Text	The value, expressed as text, of this document context parameter.	0	1
ASBIE	Document Context_ Parameter. Specified. Document_ Version	The document version specified for this document context parameter.	0	1
ABIE	Document Line_ Document. Details	A collection of data for a line on a piece of written, printed or electronic matter that provides information or evidence.		
BBIE	Document Line_ Document. Line. Identifier	The unique identifier of this document line.	0	1
BBIE	Document Line_ Document. Parent_ Line. Identifier	The unique identifier of the parent line to this document line.	0	1
BBIE	Document Line_ Document. Line Status. Code	The code specifying the status of this document line.	0	1
BBIE	Document Line_ Document. Line Status Reason. Code	The code specifying the line status reason for this document line.	0	1
ASBIE	Document Line_ Document. Included. Note	A note included in this document line.	0	unbounded
ABIE	Document_ Version. Details	A specific variant of a document.		
BBIE	Document_ Version. Identification. Identifier	The unique identifier for this document version.	0	1
BBIE	Document_ Version. Name. Text	The name, expressed as text, of this document version.	0	1
BBIE	Document_ Version. Issue. Date Time	The date, time, date and time or other date time value of issue of this document version.	0	1
ABIE	Exchanged Document_ Context. Details	The scenario or setting of an exchanged document, such as its business process application context.		
BBIE	Exchanged Document_ Context. Specified_ Transaction. Identifier	The identifier of a specified transaction in this exchanged document context.	0	1
BBIE	Exchanged Document_ Context. Test. Indicator	The indication of whether or not this exchanged document context is a test.	0	1
ASBIE	Exchanged Document_ Context. Business Process_ Specified. Document Context_ Parameter	A business process context parameter specified for this exchanged document context.	0	unbounded
ASBIE	Exchanged Document_ Context. BIM_ Specified. Document Context_ Parameter	A Business Information Master (BIM) context parameter specified for this exchanged document context.	0	unbounded
ASBIE	Exchanged Document_ Context. Scenario_ Specified. Document Context_ Parameter	A scenario context parameter specified for this exchanged document context.	0	unbounded
ASBIE	Exchanged Document_ Context. Application_ Specified. Document Context_ Parameter	An application context parameter specified for this exchanged document context.	0	unbounded
ASBIE	Exchanged Document_ Context. Guideline_ Specified. Document Context_ Parameter	A guideline context parameter specified for this exchanged document context.	0	unbounded
ASBIE	Exchanged Document_ Context. Subset_ Specified. Document Context_ Parameter	A subset context parameter specified for this exchanged document context.	0	unbounded
ASBIE	Exchanged Document_ Context. Message Standard_ Specified. Document Context_ Parameter	The message standard document context parameter specified for this exchanged document context.	0	1
ABIE	Exchanged_ Document. Details	A collection of data for a piece of written, printed or electronic matter that is exchanged between two or more parties.		
BBIE	Exchanged_ Document. Identification. Identifier	The unique identifier of this exchanged document.	1	1
BBIE	Exchanged_ Document. Name. Text	A name, expressed as text, of this exchanged document.	0	unbounded
BBIE	Exchanged_ Document. Type. Code	The code specifying the type of exchanged document.	0	1
BBIE	Exchanged_ Document. Issue. Date Time	The date, time, date time or other date time value for the issuance of this exchanged document.	1	1
BBIE	Exchanged_ Document. Copy. Indicator	The indication of whether or not this exchanged document is a copy.	0	1
BBIE	Exchanged_ Document. Purpose. Text	The purpose, expressed as text, of this exchanged document.	0	1
BBIE	Exchanged_ Document. Control Requirement. Indicator	The indication of whether or not this exchanged document has specific control requirements.	0	1				
BBIE	Exchanged_ Document. Language. Identifier	A unique identifier for a language used in this exchanged document.	0	unbounded
BBIE	Exchanged_ Document. Purpose. Code	A code specifying the purpose of this exchanged document, such as request or reminder.	0	1
BBIE	Exchanged_ Document. Revision. Date Time	The date, time, date time or other date time value for the revision of this exchanged document.	0	1
BBIE	Exchanged_ Document. Version_ Identification. Identifier	The unique identifier for the version of this exchanged document.	0	1
BBIE	Exchanged_ Document. Global_ Identification. Identifier	The unique global identifier for this exchanged document.	0	1
BBIE	Exchanged_ Document. Revision_ Identification. Identifier	The unique identifier of the revision of this exchanged document.	0	1
BBIE	Exchanged_ Document. Previous Revision_ Identification. Identifier	The unique identifier of the previous revision of this exchanged document.	0	1
BBIE	Exchanged_ Document. Category. Code	The code specifying a category for this exchanged document.	0	1
ASBIE	Exchanged_ Document. Included. Note	A note included in this exchanged document.	0	unbounded
ASBIE	Exchanged_ Document. Effective. Specified_ Period	The specified period within which this exchanged document is effective.	0	1
ASBIE	Exchanged_ Document. Issuer. Trade_ Party	The party that issues this exchanged document.	0	1
ABIE	Financial Institution_ Address. Details	The location at which a financial institution may be found or reached.		
BBIE	Financial Institution_ Address. Postcode. Code	The code specifying the postcode for this financial institution address.	0	1
BBIE	Financial Institution_ Address. Building Number. Text	The number, expressed as text, of the building on a street for this financial institution address.	0	1
BBIE	Financial Institution_ Address. Line One. Text	The first free form line, expressed as text, of this financial institution address.	0	1
BBIE	Financial Institution_ Address. Line Two. Text	The second free form line, expressed as text, of this financial institution address.	0	1
BBIE	Financial Institution_ Address. Line Three. Text	The third free form line, expressed as text, of this financial institution address.	0	1
BBIE	Financial Institution_ Address. Line Four. Text	The fourth free form line, expressed as text, of this financial institution address.	0	1
BBIE	Financial Institution_ Address. Line Five. Text	The fifth free form line, expressed as text, of this financial institution address.	0	1
BBIE	Financial Institution_ Address. Street Name. Text	The name, expressed as text, of the street or thoroughfare for this financial institution address.	0	1
BBIE	Financial Institution_ Address. City Name. Text	The name, expressed as text, of the city, town or village of this financial institution address.	0	1
BBIE	Financial Institution_ Address. Country Sub-Division. Identifier	The unique identifier of a country sub-division for this financial institution address (Reference ISO 3166 and UN/ECE Rec 3).	0	1
BBIE	Financial Institution_ Address. Country. Identifier	The unique identifier of a country for this financial institution address (Reference ISO 3166 and UN/ECE Rec 3).	0	1
BBIE	Financial Institution_ Address. Type. Code	The code specifying the type of financial institution address.	0	1
BBIE	Financial Institution_ Address. Department Name. Text	The name, expressed as text, of a department within this financial institution address.	0	1
BBIE	Financial Institution_ Address. Post Office Box. Text	The post office box, expressed as text, for this financial institution address.	0	1
BBIE	Financial Institution_ Address. City. Identifier	The unique identifier of the city for this financial institution address, such as United Nations Location Code (UNLOCODE).	0	1
BBIE	Financial Institution_ Address. Country Sub-Division Name. Text	The name, expressed as text, of a country sub-division within this financial institution address.	0	1
BBIE	Financial Institution_ Address. Country Name. Text	The name, expressed as text, of the country within this financial institution address.	0	1
ABIE	Financial_ Adjustment. Details	A correction or modification to reflect actual financial conditions.		
BBIE	Financial_ Adjustment. Reason. Code	A code specifying a reason for this financial adjustment.	0	1
BBIE	Financial_ Adjustment. Reason. Text	A reason, expressed as text, for this financial adjustment.	0	unbounded
BBIE	Financial_ Adjustment. Actual. Amount	An actual monetary value added or subtracted as a result of this financial adjustment.	0	unbounded
BBIE	Financial_ Adjustment. Actual. Quantity	The actual quantity added or subtracted as a result of this financial adjustment.	0	1
BBIE	Financial_ Adjustment. Actual. Date Time	The actual date, time, date time, or other date time value of this financial adjustment.	0	1
ASBIE	Financial_ Adjustment. Claim_ Related. Trade_ Party	The claim related party for this financial adjustment.	0	1
ASBIE	Financial_ Adjustment. Invoice_ Reference. Referenced_ Document	The invoice document referenced for this financial adjustment.	0	1
ABIE	Geographical Coordinate. Details	A set of geographical coordinates of a specific point such as the longitude, latitude and altitude.		
BBIE	Geographical Coordinate. Altitude. Measure	The measure of the altitude that reflects the vertical elevation of an object above a surface for this geographical coordinate (Reference ISO 6709).	0	1
BBIE	Geographical Coordinate. Latitude. Measure	The measure of the latitude as an angular distance north or south from the Equator meridian to the meridian of a specific place for this geographical coordinate (Reference ISO 6709).	0	1
BBIE	Geographical Coordinate. Longitude. Measure	The measure of the longitude as an angular distance east or west from the Greenwich meridian to the meridian of a specific place (Reference ISO 6709).	0	1
BBIE	Geographical Coordinate. System. Identifier	The unique identifier of the reference system used for measuring a geographical coordinate.	0	1
ABIE	Grouped_ Work Item. Details	A grouping of related work items.		
BBIE	Grouped_ Work Item. Identification. Identifier	The unique identifier for this work item group.	1	1
BBIE	Grouped_ Work Item. Primary_ Classification. Code	A code specifying the primary classification for this work item group.	0	unbounded
BBIE	Grouped_ Work Item. Alternative_ Classification. Code	A code specifying an alternative classification for this work item group.	0	unbounded
BBIE	Grouped_ Work Item. Index. Value	The index value for this work item group.	0	1
BBIE	Grouped_ Work Item. Type. Code	A code specifying the type of this work item group.	0	unbounded
BBIE	Grouped_ Work Item. Comment. Text	A comment, expressed as text, for this work item group.	0	unbounded
BBIE	Grouped_ Work Item. Description. Text	A textual description of this work item group.	0	unbounded
BBIE	Grouped_ Work Item. Reference File. Binary Object	A reference file binary object related to this work item group.	0	unbounded
BBIE	Grouped_ Work Item. Total. Quantity	The total quantity of this work item group.	0	1
BBIE	Grouped_ Work Item. Index. Text	The index, expressed as text, to be used for this grouped work item.	0	1
BBIE	Grouped_ Work Item. Requested Action. Code	A code specifying a requested action for this grouped work item.	0	unbounded
BBIE	Grouped_ Work Item. Price List Item_ Identification. Identifier	The identifier of a price list item for this grouped work item.	0	1
BBIE	Grouped_ Work Item. Contractual Language. Code	The code specifying the contractual language for this grouped work item.	0	1
ASBIE	Grouped_ Work Item. Subordinate. Grouped_ Work Item	A subordinate work item group in this work item group.	0	unbounded
ASBIE	Grouped_ Work Item. Subordinate. Basic_ Work Item	A subordinate basic work item in this work item group.	0	unbounded
ASBIE	Grouped_ Work Item. Total. Calculated_ Price	A total calculated price for this work item group.	0	unbounded
ASBIE	Grouped_ Work Item. Item. Grouped_ Work Item	A grouped work item within this grouped work item.	0	unbounded
ASBIE	Grouped_ Work Item. Item. Basic_ Work Item	A basic work item within this grouped work item.	0	unbounded
ASBIE	Grouped_ Work Item. Changed. Recorded_ Status	A changed recorded status for this grouped work item.	0	unbounded
ASBIE	Grouped_ Work Item. Actual. Work Item_ Complex Description	An actual complex description for this work item group.	0	unbounded
ASBIE	Grouped_ Work Item. Referenced. Specified_ Binary File	A specified binary file referenced by this grouped work item.	0	unbounded
ABIE	Header_ Trade Agreement. Details	The contractual terms of a header trade agreement.		
BBIE	Header_ Trade Agreement. Reference. Text	A reference, expressed as text, for this header trade agreement.	0	inbounded
BBIE	Header_ Trade Agreement. Buyer_ Reference. Text	A buyer reference, expressed as text, for this header trade agreement.	0	1
ASBIE	Header_ Trade Agreement. Seller. Trade_ Party	The seller party for this header trade agreement.	0	1
ASBIE	Header_ Trade Agreement. Buyer. Trade_ Party	The buyer party for this header trade agreement.	0	1
ASBIE	Header_ Trade Agreement. Sales Agent. Trade_ Party	The agent party representing the seller for this header trade agreement.	0	1
ASBIE	Header_ Trade Agreement. Buyer_ Requisitioner. Trade_ Party	A party who is a buyer requisitioner in this header trade agreement.	0	unbounded
ASBIE	Header_ Trade Agreement. Buyer_ Assigned Accountant. Trade_ Party	The party assigned as an accountant by the buyer for this header trade agreement.	0	1
ASBIE	Header_ Trade Agreement. Seller_ Assigned Accountant. Trade_ Party	The party assigned as an accountant by the seller for this header trade agreement.	0	1
ASBIE	Header_ Trade Agreement. Buyer_ Tax Representative. Trade_ Party	The party acting as a tax representative for the buyer for this header trade agreement.	0	1
ASBIE	Header_ Trade Agreement. Seller_ Tax Representative. Trade_ Party	The party acting as a tax representative for the seller for this header trade agreement.	0	1
ASBIE	Header_ Trade Agreement. Product End User. Trade_ Party	The party acting as the end user for the products in this header trade agreement.	0	1
ASBIE	Header_ Trade Agreement. Applicable. Trade_ Delivery Terms	The terms of delivery applicable to this header trade agreement.	0	1
ASBIE	Header_ Trade Agreement. Seller_ Order. Referenced_ Document	The seller generated order document referenced in this header trade agreement.	0	1
ASBIE	Header_ Trade Agreement. Buyer_ Order. Referenced_ Document	The buyer generated order document referenced in this header trade agreement.	0	1
ASBIE	Header_ Trade Agreement. Quotation. Referenced_ Document	The quotation document referenced in this header trade agreement.	0	1
