ibt-064,3,0..1,Tax representative address line 1 ,"Anystreet, Building 1",,,,,,,,,
ibt-065,3,0..1,Tax representative address line 2,6th floor,,,,,,,,,
ibt-066,3,0..1,Tax representative city,Anytown,,,,,,,,,
ibt-067,3,0..1,Tax representative post code,101,,,,,,,,,
ibt-068,3,0..1,Tax representative country subdivision ,Jutland,,,,,,,,,
ibt-069,3,1..1,Tax representative country code ,DK,,,,,,,,,
ibg-13,1,0..1,DELIVERY INFORMATION,,,,,,,,,,
ibt-070,2,0..1,Deliver to party name,Logistic service Ltd,,,,,,,,,
ibt-071,2,0..1,Deliver to location identifier,5790000436068,,,,,,,,,
ibt-072,2,0..1,Actual delivery date,2013-04-15,,,,,,,,,
ibg-14,2,0..1,INVOICING PERIOD ,,,,,,,,,,
ibt-073,3,0..1,Invoicing period start date,2013-03-10,,,,,,,,,
ibt-074,3,0..1,Invoicing period end date,2013-04-10,,,,,,,,,
ibg-15,2,0..1,DELIVER TO ADDRESS,,,,,,,,,,
ibt-075,3,0..1,Deliver to address line 1 ,Deliverystreet,,,,,,,,,
ibt-076,3,0..1,Deliver to address line 2,Gate 15,,,,,,,,,
ibt-077,3,0..1,Deliver to city,Deliverycity,,,,,,,,,
ibt-078,3,0..1,Deliver to post code,9000,,,,,,,,,
ibt-079,3,0..1,Deliver to country subdivision ,Jutland,,,,,,,,,
ibt-080,3,1..1,Deliver to country code ,DK,,,,,,,,,
ibg-16,1,0..n,PAYMENT INSTRUCTIONS,,,,,,,,,,
ibt-081,2,1..1,Payment means type code,49,,,,,,,,,
ibt-083,2,0..n,Remittance information,Payref1,,,,,,,,,
ibg-19,2,0..1,DIRECT DEBIT ,,,,,,,,,,
ibt-089,3,0..1,Mandate reference identifier,123456,,,,,,,,,
ibt-091,3,0..1,Debited account identifier,DK1212341234123412,,,,,,,,,
ibg-20,1,0..n,DOCUMENT LEVEL ALLOWANCES,,,,,,,,,,
ibt-092,2,1..1,Document level allowance amount,75.00,,,,,,,,,
ibt-093,2,0..1,Document level allowance base amount,1500.00,,,,,,,,,
ibt-094,2,0..1,Document level allowance percentage,5,,,,,,,,,
ibt-095,2,1..1,Document level allowance TAX category code,S,,,,,,,,,
ibt-096,2,0..1,Document level allowance TAX rate,25,,,,,,,,,
ibt-097,2,0..1,Document level allowance reason,Loyal customer,,,,,,,,,
ibt-098,2,0..1,Document level allowance reason code,100,,,,,,,,,
ibg-21,1,0..n,DOCUMENT LEVEL CHARGES,,,,,,,,,,
ibt-099,2,1..1,Document level charge amount,150.00,,,,,,,,,
ibt-100,2,0..1,Document level charge base amount,1500.00,,,,,,,,,
ibt-101,2,0..1,Document level charge percentage,10,,,,,,,,,
ibt-102,2,1..1,Document level charge TAX category code,S,,,,,,,,,
ibt-103,2,0..1,Document level charge TAX rate,25,,,,,,,,,
ibt-104,2,0..1,Document level charge reason,Packaging,,,,,,,,,
ibt-105,2,0..1,Document level charge reason code,ABL,,,,,,,,,
ibg-22,1,1..1,DOCUMENT TOTALS,,,,,,,,,,
ibt-106,2,1..1,Sum of Invoice line net amount,4000.00,,,,,,,,,
ibt-107,2,0..1,Sum of allowances on document level,75.00,,,,,,,,,
ibt-108,2,0..1,Sum of charges on document level,150.00,,,,,,,,,
ibt-109,2,1..1,Invoice total amount without TAX,4075.00,,,,,,,,,
ibt-110,2,0..1,Invoice total TAX amount,357.50,,,,,,,,,
ibt-112,2,1..1,Invoice total amount with TAX,4432.50,,,,,,,,,
ibt-113,2,0..1,Paid amount ,2000.00,,,,,,,,,
ibt-115,2,1..1,Amount due for payment,2432.50,,,,,,,,,
ibg-23,1,1..n,TAX BREAKDOWN,,,,,,,,,,
ibt-116,2,1..1,TAX category taxable amount,,1575.00,2500.00,,,,,,,
ibt-117,2,1..1,TAX category tax amount,,157.50,200.00,,,,,,,
ibt-118,2,1..1,TAX category code ,,S,AA,,,,,,,
ibt-119,2,0..1,TAX category rate,,10,8,,,,,,,
ibt-198,2,1..1,Tax scheme,,VAT,VAT,,,,,,,
ibg-37,1,1..n,TAX IN ACCOUNTING CURRENCY,,,,,,,,,,
ibt-111,2,0..1,Invoice TAX categoryg taxable amount in accounting currency,6190,,,,,,,,,
ibg-38,2,1..n,TAX BREAKDOWN IN ACCOUNTING CURRENCY,,,,,,,,,,
ibt-190,3,1..1,TAX category TAX amount in accounting currency,,,,2727,3463,,,,,
ibt-192,3,1..1,TAX category code in accounting currency,,,,S,AA,,,,,
ibt-193,3,0..1,TAX category rate in national currency,,,,10,8,,,,,
ibt-199,3,1..1,TAX scheme,,,,VAT,VAT,,,,,
ibg-24,1,0..n,ADDITIONAL SUPPORTING DOCUMENTS,,,,,,,,,,
ibt-122,2,1..1,Supporting document reference,,,,,,sales slip,sales slip,,,
ibt-123,2,0..1,Supporting document description,,,,,,ATS,ATS,,,
ibt-125,2,0..1,Attached document,,,,,,VGVzdGluZyBCYXNlNjQgZW5jb2Rpbmc=,VGVzdGluZyBCYXNlNjQgZW5jb2Rpbmc=,,,
ibt-125-1,4,1..1,Attached document Mime code,,,,,,application/pdf,,,,
ibt-125-2,4,1..1,Attached document Filename,,,,,,EHF.pdf,,,,
ibg-25,1,1..n,INVOICE LINE,,,,,,,,,,
ibt-126,2,1..1,Invoice line identifier,,,,,,,,1,2,3
ibt-127,2,0..1,Invoice line note,,,,,,,,first line,second line,
ibt-128,2,0..1,Invoice line object identifier,,,,,,,,Object1,Object2,
ibt-129,2,1..1,Invoiced quantity,,,,,,,,1000,100,500
ibt-130,2,1..1,Invoiced quantity unit of measure code,,,,,,,,EA,EA,EA
ibt-131,2,1..1,Invoice line net amount ,,,,,,,,1000.00,500.00,2500.00
ibt-132,2,0..1,Referenced purchase order line reference,,,,,,,,1,2,
ibt-133,2,0..1,Invoice line Buyer accounting reference,,,,,,,,ACC7654,ACC7654,
ibg-26,2,0..1,INVOICE LINE PERIOD,,,,,,,,,,
ibt-134,3,0..1,Invoice line period start date,,,,,,,,2013-03-10,2013-03-10,
ibt-135,3,0..1,Invoice line period end date,,,,,,,,2013-04-10,2013-04-10,
ibg-27,2,0..n,INVOICE LINE ALLOWANCES,,,,,,,,,,
ibt-136,3,1..1,Invoice line allowance amount,,,,,,,,100.00,,
ibt-137,3,0..1,Invoice line allowance base amount,,,,,,,,1000.00,,
ibt-138,3,0..1,Invoice line allowance percentage,,,,,,,,10,,
ibt-139,3,0..1,Invoice line allowance reason,,,,,,,,Loyal customer,,
ibt-140,3,0..1,Invoice line allowance reason code,,,,,,,,100,,
ibg-28,2,0..n,INVOICE LINE CHARGES,,,,,,,,,,
ibt-141,3,1..1,Invoice line charge amount,,,,,,,,100.00,,
ibt-142,3,0..1,Invoice line charge base amount,,,,,,,,1000.00,,
ibt-143,3,0..1,Invoice line charge percentage,,,,,,,,10,,
ibt-144,3,0..1,Invoice line charge reason,,,,,,,,Packaging,,
ibt-145,3,0..1,Invoice line charge reason code,,,,,,,,ABL,,
ibg-29,2,1..1,PRICE DETAILS,,,,,,,,,,
ibt-146,3,1..1,Item net price,,,,,,,,1.00,5.00,5.00
ibt-147,3,0..1,Item price discount,,,,,,,,0.10,,
ibt-148,3,0..1,Item gross price,,,,,,,,1.10,,
ibt-149,3,0..1,Item price base quantity,,,,,,,,1,,
ibt-150,3,0..1,Item price base quantity unit of measure code,,,,,,,,EA,,
ibg-30,2,1..n,LINE TAX INFORMATION,,,,,,,,,,
ibt-151,3,1..1,Invoiced item TAX category code,,,,,,,,S,S,S
ibt-152,3,0..1,Invoiced item TAX rate,,,,,,,,25,25,12
ibt-167,3,0..1,Tax Scheme,,,,,,,,VAT,VAT,VAT
ibg-31,2,1..1,ITEM INFORMATION,,,,,,,,,,
ibt-153,3,1..1,Item name ,,,,,,,,Printing paper,Fountain Pen,American Cookies
ibt-154,3,0..n,Item description ,,,,,,,,"Printing paper, 2mm","Fountain Pen, Black, model Sansa",
ibt-155,3,0..1,Item Seller's identifier,,,,,,,,JB007,JB008,JB009
ibt-156,3,0..1,Item Buyer's identifier,,,,,,,,BUY123,,
ibt-157,3,0..1,Item standard identifier,,,,,,,,1234567890128,,
ibt-157-1,4,1..1,Scheme identifier,,,,,,,,0088,,
ibt-158,3,0..n,Item classification identifier,,,,,,,,12344321,,
ibt-159,3,0..1,Item country of origin,,,,,,,,NL,NL,
ibg-32,3,0..n,ITEM ATTRIBUTES,,,,,,,,,,
ibt-160,4,1..1,Item attribute name,,,,,,,,Thickness,,
ibt-161,4,1..1,Item attribute value ,,,,,,,,2 mm,,
