						------	------	ibg-01	ibg-14	ibg-04	ibg-07	ibg-16	ibg-16	ibg-39	ibg-23	ibg-22	ibg-25	ibg-25	ibg-25	ibg-25	ibg-25
ibt-109-1	3	Currency code	通貨コード	1..1	Code											EUR					
ibt-112	2	Invoice total amount with TAX	請求書合計金額(税込)	1..1	Amount											177.87					
ibt-112-1	3	Currency code	通貨コード	1..1	Code											EUR					
ibt-115	2	Amount due for payment	未払金額	1..1	Amount											177.87					
ibt-115-1	3	Currency code	通貨コード	1..1	Code											EUR					
ibg-25	1	INVOICE LINE	明細行	1..n	Group																
ibt-126	2	Invoice line identifier	明細行番号	1..1	ID												1				
ibt-129	2	Invoiced quantity	請求済数量	1..1	Quantity												3				
ibt-130	2	Invoiced quantity unit of measure code	請求済数量の数量単位コード	1..1	Code												MON				
ibt-131	2	Invoice line net amount 	明細行金額(税抜)	1..1	Amount												147.00				
ibt-131-1	3	Currency code	通貨コード	1..1	Code												EUR				
ibg-26	2	INVOICE LINE PERIOD	明細行の期間	0..1	Group																
ibg-36	2	Referenced purchase order line reference	発注明細行参照	0..1	Group																
ibg-27	2	INVOICE LINE ALLOWANCES	明細行の返還請求	0..n	Group																
ibg-28	2	INVOICE LINE CHARGES	明細行の追加請求	0..n	Group																
ibg-31	2	ITEM INFORMATION	品目情報	1..1	Group																
ibt-153	3	Item name 	品名	1..1	Text													IExpress licentiekosten			
ibg-30	2	LINE TAX INFORMATION	明細行税額情報	1..n	Group																
ibt-151	3	Invoiced item TAX category code	請求される品目に対する課税分類コード	1..1	Code														S		
ibt-152	3	Invoiced item TAX rate	請求される品目に対する税率	0..1	Percent														21		
ibt-167	3	Tax Scheme	税スキーマ	0..1	Code														VAT		
ibg-32	2	ITEM ATTRIBUTES	品目属性	0..n	Group																
ibt-160	3	Item attribute name	品目属性名	1..1	Text															Verbruikscategorie	
ibt-161	3	Item attribute value 	品目属性値	1..1	Text															Start	
ibg-29	2	PRICE DETAILS	取引価格詳細	1..1	Group																
ibt-146	3	Item net price	品目単価(割引後)(税抜)	1..1	Unit																49.00
ibt-146-1	4	Currency code	通貨コード	1..1	Code																EUR
ibt-149	3	Item price base quantity	品目単価基準数量	0..1	Quantity																1
ibt-150	3	Item price base quantity unit of measure code	品目単価基準数量の数量単位コード	0..1	Code																MON
