ibg-07		ibg-08		ibg-00_ibg-07__ibg-08_	BUYER 	BUYER POSTAL ADDRESS																		Anystreet 8	Back door	Anytown	101	RegionB	SE																																								
ibg-07				ibg-00_ibg-07___	BUYER 																		THe Buyercompany																																														
ibg-07		ibg-09		ibg-00_ibg-07__ibg-09_	BUYER 	BUYER CONTACT																								A3150bdn	5121230	john@buyercompany.no																																					
ibg-16	0			ibg-00_ibg-16_0__	PAYMENT INSTRUCTIONS																														30																																		
ibg-16	0	ibg-17	0	ibg-00_ibg-16_0_ibg-17_0	PAYMENT INSTRUCTIONS	CREDIT TRANSFER 																														SE1212341234123412	SEXDABCD																																
ibg-33	0			ibg-00_ibg-33_0__	INVOICE TERMS						Payment within 30 days																																																										
				ibg-00____																																							0.00	SEK																									
ibg-23	0			ibg-00_ibg-23_0__	TAX BREAKDOWN																																												3200.00	SEK	0.00	SEK	VAT	O	Tax														
ibg-22				ibg-00_ibg-22___	DOCUMENT TOTALS																																		3200.00	SEK	3200.00	SEK			3200.00	SEK	3200.00	SEK																					
ibg-25	0			ibg-00_ibg-25_0__	INVOICE LINE																																																			1	1	EA	2500.00	SEK	1								
ibg-25	0	ibg-31		ibg-00_ibg-25_0_ibg-31_	INVOICE LINE	ITEM INFORMATION																																																											Road tax	Weight-based tax, vehicles >3000 KGM	RT3000		
ibg-25	0	ibg-30	0	ibg-00_ibg-25_0_ibg-30_0	INVOICE LINE	LINE TAX INFORMATION																																																										O				VAT	
ibg-25	0	ibg-29		ibg-00_ibg-25_0_ibg-29_	INVOICE LINE	PRICE DETAILS																																																								2500.00	SEK						
ibg-25	1			ibg-00_ibg-25_1__	INVOICE LINE																																																			2	1	EA	700.00	SEK									
ibg-25	1	ibg-31		ibg-00_ibg-25_1_ibg-31_	INVOICE LINE	ITEM INFORMATION																																																											Road Register fee	Annual registration fee	REG		
ibg-25	1	ibg-30	0	ibg-00_ibg-25_1_ibg-30_0	INVOICE LINE	LINE TAX INFORMATION																																																										O				VAT	
ibg-25	1	ibg-29		ibg-00_ibg-25_1_ibg-29_	INVOICE LINE	PRICE DETAILS																																																								700.00	SEK						
