ibt-066,3,0..1,Tax representative city,Newtown,,,,,,,,,,
ibt-067,3,0..1,Tax representative post code,202,,,,,,,,,,
ibt-068,3,0..1,Tax representative country subdivision ,RegionC,,,,,,,,,,
ibt-069,3,1..1,Tax representative country code ,NO,,,,,,,,,,
ibg-13,1,0..1,DELIVERY INFORMATION,,,,,,,,,,,
ibt-071,2,0..1,Deliver to location identifier,6754238987643,,,,,,,,,,
ibt-071-1,3,0..1,Scheme identifier,0088,,,,,,,,,,
ibt-072,2,0..1,Actual delivery date,2013-06-15,,,,,,,,,,
ibg-14,2,0..1,INVOICING PERIOD ,,,,,,,,,,,
ibt-073,3,0..1,Invoicing period start date,2013-06-01,,,,,,,,,,
ibt-074,3,0..1,Invoicing period end date,2013-06-30,,,,,,,,,,
ibg-15,2,0..1,DELIVER TO ADDRESS,,,,,,,,,,,
ibt-075,3,0..1,Deliver to address line 1 ,Deliverystreet 2,,,,,,,,,,
ibt-076,3,0..1,Deliver to address line 2,Side door,,,,,,,,,,
ibt-077,3,0..1,Deliver to city,DeliveryCity,,,,,,,,,,
ibt-078,3,0..1,Deliver to post code,523427,,,,,,,,,,
ibt-079,3,0..1,Deliver to country subdivision ,RegionD,,,,,,,,,,
ibt-080,3,1..1,Deliver to country code ,NO,,,,,,,,,,
ibg-16,1,0..n,PAYMENT INSTRUCTIONS,,,,,,,,,,,
ibt-081,2,1..1,Payment means type code,30,,,,,,,,,,
ibt-083,2,0..n,Remittance information,0003434323213231,,,,,,,,,,
ibg-17,2,0..n,CREDIT TRANSFER ,,,,,,,,,,,
ibt-084,3,1..1,Payment account identifier,NO9386011117947,,,,,,,,,,
ibt-086,3,0..1,Payment service provider identifier,DNBANOKK,,,,,,,,,,
ibg-20,1,0..n,DOCUMENT LEVEL ALLOWANCES,,,,,,,,,,,
ibt-092,2,1..1,Document level allowance amount,100.00,,,,,,,,,,
ibt-095,2,1..1,Document level allowance TAX category code,S,,,,,,,,,,
ibt-096,2,0..1,Document level allowance TAX rate,25,,,,,,,,,,
ibt-097,2,0..1,Document level allowance reason,Promotion discount,,,,,,,,,,
ibt-098,2,0..1,Document level allowance reason code,88,,,,,,,,,,
ibg-21,1,0..n,DOCUMENT LEVEL CHARGES,,,,,,,,,,,
ibt-099,2,1..1,Document level charge amount,100.00,,,,,,,,,,
ibt-102,2,1..1,Document level charge TAX category code,S,,,,,,,,,,
ibt-103,2,0..1,Document level charge TAX rate,25,,,,,,,,,,
ibt-104,2,0..1,Document level charge reason,Freight,,,,,,,,,,
ibg-22,1,1..1,DOCUMENT TOTALS,,,,,,,,,,,
ibt-106,2,1..1,Sum of Invoice line net amount,1436.50,,,,,,,,,,
ibt-107,2,0..1,Sum of allowances on document level,100.00,,,,,,,,,,
ibt-108,2,0..1,Sum of charges on document level,100.00,,,,,,,,,,
ibt-109,2,1..1,Invoice total amount without TAX,1436.50,,,,,,,,,,
ibt-110,2,0..1,Invoice total TAX amount,365.28,,,,,,,,,,
ibt-112,2,1..1,Invoice total amount with TAX,1801.78,,,,,,,,,,
ibt-113,2,0..1,Paid amount ,1000.00,,,,,,,,,,
ibt-115,2,1..1,Amount due for payment,801.78,,,,,,,,,,
ibg-23,1,1..n,TAX BREAKDOWN,,,,,,,,,,,
ibt-116,2,1..1,TAX category taxable amount,,1460.50,1.00,-25.00,,,,,,,
ibt-117,2,1..1,TAX category tax amount,,365.13,0.15,0.00,,,,,,,
ibt-118,2,1..1,TAX category code ,,S,S,E,,,,,,,
ibt-119,2,0..1,TAX category rate,,25,15,0,,,,,,,
ibt-120,2,0..1,TAX exemption reason text,,,,Exempt New Means of Transport,,,,,,,
ibt-198,2,1..1,Tax scheme,,VAT,VAT,VAT,,,,,,,
ibg-24,1,0..n,ADDITIONAL SUPPORTING DOCUMENTS,,,,,,,,,,,
ibt-122,2,1..1,Supporting document reference,,,,,Doc2,Doc2,,,,,
ibt-123,2,0..1,Supporting document description,,,,,EHF specification,EHF specification,,,,,
ibt-124,3,0..1,External document location,,,,,http://www.suppliersite.eu/sheet001.html,http://www.suppliersite.eu/sheet001.html,,,,,
ibt-125,2,0..1,Attached document,,,,,VGVzdGluZyBCYXNlNjQgZW5jb2Rpbmc=,VGVzdGluZyBCYXNlNjQgZW5jb2Rpbmc=,,,,,
ibt-125-1,4,1..1,Attached document Mime code,,,,,,application/pdf,,,,,
ibt-125-2,4,1..1,Attached document Filename,,,,,,test.pdf,,,,,
ibg-25,1,1..n,INVOICE LINE,,,,,,,,,,,
ibt-126,2,1..1,Invoice line identifier,,,,,,,1,2,3,4,5
ibt-127,2,0..1,Invoice line note,,,,,,,Scratch on box,Cover is slightly damaged.,,,
ibt-129,2,1..1,Invoiced quantity,,,,,,,2,-1,2,-1,250
ibt-130,2,1..1,Invoiced quantity unit of measure code,,,,,,,EA,EA,EA,EA,MTR
ibt-131,2,1..1,Invoice line net amount ,,,,,,,1273.00,-3.96,4.96,-25.00,187.50
ibt-132,2,0..1,Referenced purchase order line reference,,,,,,,1,5,3,2,
ibt-133,2,0..1,Invoice line Buyer accounting reference,,,,,,,BookingCode001,BookingCode002,BookingCode003,BookingCode004,BookingCode005
ibg-26,2,0..1,INVOICE LINE PERIOD,,,,,,,,,,,
ibt-134,3,0..1,Invoice line period start date,,,,,,,2013-06-01,,,,
ibt-135,3,0..1,Invoice line period end date,,,,,,,2013-06-30,,,,
ibg-27,2,0..n,INVOICE LINE ALLOWANCES,,,,,,,,,,,
ibt-136,3,1..1,Invoice line allowance amount,,,,,,,12.00,,,,
ibt-139,3,0..1,Invoice line allowance reason,,,,,,,Damage,,,,
ibg-28,2,0..n,INVOICE LINE CHARGES,,,,,,,,,,,
ibt-141,3,1..1,Invoice line charge amount,,,,,,,12.00,,,,
ibt-144,3,0..1,Invoice line charge reason,,,,,,,Testing,,,,
ibg-29,2,1..1,PRICE DETAILS,,,,,,,,,,,
ibt-146,3,1..1,Item net price,,,,,,,1273.00,3.96,2.48,25.00,0.75
ibt-147,3,0..1,Item price discount,,,,,,,225.00,,0.27,,
ibt-148,3,0..1,Item gross price,,,,,,,,,2.70,,
ibt-149,3,0..1,Item price base quantity,,,,,,,1,1,1,1,1
ibt-150,3,0..1,Item price base quantity unit of measure code,,,,,,,EA,EA,EA,EA,MTR
ibg-30,2,1..n,LINE TAX INFORMATION,,,,,,,,,,,
ibt-151,3,1..1,Invoiced item TAX category code,,,,,,,S,S,S,E,S
ibt-152,3,0..1,Invoiced item TAX rate,,,,,,,25,15,15,0,25
ibt-167,3,0..1,Tax Scheme,,,,,,,VAT,VAT,VAT,VAT,VAT
ibg-31,2,1..1,ITEM INFORMATION,,,,,,,,,,,
ibt-153,3,1..1,Item name ,,,,,,,Laptop computer,"Returned ""Advanced computing"" book","""Computing for dummies"" book",Returned IBM 5150 desktop,Network cable
ibt-154,3,0..n,Item description ,,,,,,,Processor: Intel Core 2 Duo SU9400 LV (1.4GHz). RAM: 3MB. Screen 1440x900,,,,
ibt-155,3,0..1,Item Seller's identifier,,,,,,,JB007,JB008,JB009,JB010,JB011
ibt-157,3,0..1,Item standard identifier,,,,,,,1234567890128,1234567890135,1234567890135,1234567890159,1234567890166
ibt-157-1,4,1..1,Scheme identifier,,,,,,,0088,0088,0088,0088,0088
ibt-158,3,0..n,Item classification identifier,,,,,,,65434568,65434567,65434567,65434565,65434564
ibt-158-1,4,1..1,Scheme identifier,,,,,,,STI,STI,STI,STI,STI
ibt-159,3,0..1,Item country of origin,,,,,,,DE,,,,
ibg-32,3,0..n,ITEM ATTRIBUTES,,,,,,,,,,,
ibt-160,4,1..1,Item attribute name,,,,,,,Color,,,,Type
ibt-161,4,1..1,Item attribute value ,,,,,,,Black,,,,Cat5
