ibt-117,2,1..1,TAX category tax amount,,8770,3200,,,
ibt-118,2,1..1,TAX category code ,,S,AA,,,
ibt-119,2,0..1,TAX category rate,,10,8,,,
ibt-198,2,1..1,Tax scheme,,VAT,VAT,,,
ibg-25,1,1..n,INVOICE LINE,,,,,,
ibt-126,2,1..1,Invoice line identifier,,,,10,20,30
ibt-129,2,1..1,Invoiced quantity,,,,1000,10,1
ibt-130,2,1..1,Invoiced quantity unit of measure code,,,,EA,EA,EA
ibt-131,2,1..1,Invoice line net amount ,,,,30000,40000,50000
ibg-29,2,1..1,PRICE DETAILS,,,,,,
ibt-146,3,1..1,Item net price,,,,30,4000,50000
ibt-149,3,0..1,Item price base quantity,,,,1,1,1
ibt-150,3,0..1,Item price base quantity unit of measure code,,,,EA,EA,EA
ibg-30,2,1..n,LINE TAX INFORMATION,,,,,,
ibt-151,3,0..1,Invoiced item TAX category code,,,,S,AA,S
ibt-152,3,0..1,Invoiced item TAX rate,,,,10,8,10
ibt-167,3,0..1,Tax Scheme,,,,VAT,VAT,VAT
ibg-31,2,1..1,ITEM INFORMATION,,,,,,
ibt-153,3,1..1,Item name ,,,,å¥çeópéÜÅiA4Åj,XXêVï∑,âÒì]à÷éqÅ@K
ibg-32,3,0..n,ITEM ATTRIBUTES,,,,,,
ibt-160,4,1..1,Item attribute name,,,,êîó íPà ,êîó íPà ,êîó íPà 
ibt-161,4,1..1,Item attribute value ,,,,ñá,ïî,å¬
