ibg-07	1	BUYER 	発注者	1..1	Group																								
ibt-046	2	Buyer identifier 	発注者コード	0..n	ID					5790000436057																			
ibt-046-1	3	Scheme identifier	スキーマ識別子	1..1	Scheme					0088																			
ibg-08	2	BUYER POSTAL ADDRESS	発注者の住所	1..1	Group																								
ibt-050	3	Buyer address line 1 	発注者住所欄1	0..1	Text					Anystreet, Building 1																			
ibt-052	3	Buyer city	発注者住所 市区町村	0..1	Text					Anytown																			
ibt-053	3	Buyer post code	発注者郵便番号	0..1	Text					101																			
ibt-055	3	Buyer country code 	発注者国コード	1..1	Code					DK																			
ibg-41	2	BUYER TAX REGISTRATION	発注者税登録情報		Group																								
ibg-38	2	BUYER LEGAL REGISTRATION	発注者登録情報	0..1	Group																								
ibt-044	3	Buyer name 	発注者名称	1..1	Text					Buyercompany ltd																			
ibg-09	2	BUYER CONTACT	発注者の連絡先	0..1	Group																								
ibt-056	3	Buyer contact point 	発注者連絡先	0..1	Text					John Hansen																			
ibg-10	1	PAYEE	支払先	0..1	Group																								
ibg-11	1	SELLER TAX REPRESENTATIVE PARTY	販売者の納税管理人	0..1	Group																								
ibg-12	2	SELLER TAX REPRESENTATIVE POSTAL ADDRESS	納税管理人住所	1..1	Group																								
ibg-43	2	TAX REPRESENTATIVE TAX REGISTRATION	販売者の納税管理人の登録情報		Group																								
ibg-13	1	DELIVERY INFORMATION	納入先	0..1	Group																								
ibt-072	2	Actual delivery date	実際の納入日	0..1	Date						2013-04-15																		
ibg-15	2	DELIVER TO ADDRESS	納入先住所	0..1	Group																								
ibt-075	3	Deliver to address line 1 	納入先住所欄1	0..1	Text						Deliverystreet																		
ibt-077	3	Deliver to city	納入先住所 市区町村	0..1	Text						Deliverycity																		
ibt-078	3	Deliver to post code	納入先郵便番号	0..1	Text						9000																		
ibt-080	3	Deliver to country code 	納入先国コード	1..1	Code						DK																		
ibg-16	1	PAYMENT INSTRUCTIONS	支払手段	0..n	Group																								
ibt-081	2	Payment means type code	支払手段タイプコード	1..1	Code							30																	
ibt-083	2	Remittance information	送金情報	0..n	Text							Payref1																	
ibg-17	2	CREDIT TRANSFER 	銀行振込	0..n	Group																								
ibt-084	3	Payment account identifier	支払先口座番号	1..1	ID								DK1212341234123412																
ibg-34	3	ADDRESS	支払先住所	0..1	Group																								
ibg-18	2	PAYMENT CARD INFORMATION	支払カード情報	0..1	Group																								
ibg-19	2	DIRECT DEBIT 	自動口座引落	0..1	Group																								
ibg-33	1	INVOICE TERMS	支払条件	0..n	Group																								
ibg-35	1	PAID AMOUNTS	支払済金額	0..n	Group																								
ibg-20	1	DOCUMENT LEVEL ALLOWANCES	ドキュメントレベルの返還請求	0..n	Group																								
ibg-21	1	DOCUMENT LEVEL CHARGES	ドキュメントレベルの追加請求	0..n	Group																								
ibg-39	1	INVOICE TOTAL TAX	消費税合計金額	0..1	Group																								
ibt-110	2	Invoice total TAX amount	消費税合計金額	1..1	Amount									675.00															
ibt-110-1	3	Currency code	通貨コード	1..1	Code									DKK															
ibg-23	1	TAX BREAKDOWN	消費税内訳情報	1..n	Group																								
ibt-116	2	TAX category taxable amount	課税分類毎の課税基準額	1..1	Amount										1500.00	2500.00													
ibt-116-1	3	Currency code	通貨コード	1..1	Code										DKK	DKK													
ibt-117	2	TAX category tax amount	課税分類毎の消費税額	1..1	Amount										375.00	300.00													
ibt-117-1	3	Currency code	通貨コード	1..1	Code										DKK	DKK													
ibt-118	2	TAX category code 	課税分類コード	1..1	Code										S	S													
ibt-119	2	TAX category rate	課税分類毎の税率	0..1	Percent										25	12													
ibt-188	2	Tax Scheme	税スキーマ	0..1	Code										VAT	VAT													
ibg-22	1	DOCUMENT TOTALS	請求書総合計金額	1..1	Group																								
ibt-106	2	Sum of Invoice line net amount	明細行金額(税抜)の合計	1..1	Amount												4000.00												
ibt-106-1	3	Currency code	通貨コード	1..1	Code												DKK												
ibt-109	2	Invoice total amount without TAX	請求書合計金額(税抜)	1..1	Amount												4000.00												
ibt-109-1	3	Currency code	通貨コード	1..1	Code												DKK												
ibt-112	2	Invoice total amount with TAX	請求書合計金額(税込)	1..1	Amount												4675.00												
ibt-112-1	3	Currency code	通貨コード	1..1	Code												DKK												
ibt-115	2	Amount due for payment	未払金額	1..1	Amount												4675.00												
ibt-115-1	3	Currency code	通貨コード	1..1	Code												DKK												
ibg-25	1	INVOICE LINE	明細行	1..n	Group																								
ibt-126	2	Invoice line identifier	明細行番号	1..1	ID													1				2				3			
ibt-129	2	Invoiced quantity	請求済数量	1..1	Quantity													1000				100				500			
ibt-130	2	Invoiced quantity unit of measure code	請求済数量の数量単位コード	1..1	Code													EA				EA				EA			
ibt-131	2	Invoice line net amount 	明細行金額(税抜)	1..1	Amount													1000.00				500.00				2500.00			
ibt-131-1	3	Currency code	通貨コード	1..1	Code													DKK				DKK				DKK			
ibg-26	2	INVOICE LINE PERIOD	明細行の期間	0..1	Group																								
ibg-36	2	Referenced purchase order line reference	発注明細行参照	0..1	Group																								
ibg-27	2	INVOICE LINE ALLOWANCES	明細行の返還請求	0..n	Group																								
ibg-28	2	INVOICE LINE CHARGES	明細行の追加請求	0..n	Group																								
ibg-31	2	ITEM INFORMATION	品目情報	1..1	Group																								
ibt-154	3	Item description 	品目摘要	0..n	Text														Printing paper, 2mm				Parker Pen, Black, model Sansa						
ibt-153	3	Item name 	品名	1..1	Text														Printing paper				Parker Pen				American Cookies		
ibt-155	3	Item Seller's identifier	販売者による品目識別子	0..1	ID														JB007				JB008				JB009		
ibg-30	2	LINE TAX INFORMATION	明細行税額情報	1..n	Group																								
ibt-151	3	Invoiced item TAX category code	請求される品目に対する課税分類コード	1..1	Code															S				S				S	
ibt-152	3	Invoiced item TAX rate	請求される品目に対する税率	0..1	Percent															25				25				12	
ibt-167	3	Tax Scheme	税スキーマ	0..1	Code															VAT				VAT				VAT	
ibg-32	2	ITEM ATTRIBUTES	品目属性	0..n	Group																								
ibg-29	2	PRICE DETAILS	取引価格詳細	1..1	Group																								
ibt-146	3	Item net price	品目単価(割引後)(税抜)	1..1	Unit																1.00				5.00				5.00
ibt-146-1	4	Currency code	通貨コード	1..1	Code																DKK				DKK				DKK
