									ibt-024	ibt-023	ibt-001	ibt-002	ibt-009	ibt-003	ibt-021	ibt-007	ibt-005	ibt-019	ibt-073	ibt-074	ibt-013	ibt-012	ibt-018	ibt-123	ibt-125	ibt-125-1	ibt-125-2	ibt-124	ibt-029	ibt-029-1	ibt-035	ibt-036	ibt-037	ibt-038	ibt-039	ibt-040	ibt-031	ibt-032-1	ibt-027	ibt-030	ibt-041	ibt-042	ibt-043	ibt-046	ibt-046-1	ibt-050	ibt-051	ibt-052	ibt-053	ibt-054	ibt-055	ibt-048	ibt-048-1	ibt-044	ibt-047	ibt-056	ibt-057	ibt-058	ibt-060	ibt-060-1	ibt-059	ibt-061	ibt-062	ibt-064	ibt-065	ibt-066	ibt-067	ibt-068	ibt-069	ibt-063	ibt-063-1	ibt-072	ibt-071	ibt-071-1	ibt-075	ibt-076	ibt-077	ibt-078	ibt-079	ibt-080	ibt-081	ibt-083	ibt-084	ibt-086	ibt-020	ibt-092a	ibt-098	ibt-097	ibt-092	ibt-092-1	ibt-095	ibt-096	ibt-096a	ibt-099a	ibt-104	ibt-099	ibt-099-1	ibt-102	ibt-103	ibt-103a	ibt-110	ibt-110-1	ibt-116	ibt-116-1	ibt-117	ibt-117-1	ibt-118	ibt-119	ibt-120	ibt-188	ibt-106	ibt-106-1	ibt-109	ibt-109-1	ibt-112	ibt-112-1	ibt-107	ibt-107-1	ibt-108	ibt-108-1	ibt-113	ibt-113-1	ibt-115	ibt-115-1	ibt-126	ibt-127	ibt-129	ibt-130	ibt-131	ibt-131-1	ibt-133	ibt-134	ibt-135	ibt-132a	ibt-136a	ibt-139	ibt-136	ibt-136-1	ibt-141a	ibt-144	ibt-141	ibt-141-1	ibt-154	ibt-153	ibt-155	ibt-151	ibt-152	ibt-167	ibt-157	ibt-157-1	ibt-159	ibt-158	ibt-158-1	ibt-160	ibt-161	ibt-146	ibt-146-1	ibt-149	ibt-150	ibt-147a	ibt-147	ibt-147-1	ibt-148	ibt-148-1
ibg-23	0	------	-	ibg-00_ibg-23_0_------_-	1000_2920_0_0000_-	TAX BREAKDOWN		ibg-00_ibg-23_------																																																																																															1460.50	NOK	365.13	NOK	S	25		VAT																																																						
ibg-23	1	------	-	ibg-00_ibg-23_1_------_-	1000_2920_1_0000_-	TAX BREAKDOWN		ibg-00_ibg-23_------																																																																																															1.00	NOK	0.15	NOK	S	15		VAT																																																						
ibg-23	2	------	-	ibg-00_ibg-23_2_------_-	1000_2920_2_0000_-	TAX BREAKDOWN		ibg-00_ibg-23_------																																																																																															-25.00	NOK	0.00	NOK	E	0	Exempt New Means of Transport	VAT																																																						
ibg-22	-	------	-	ibg-00_ibg-22_-_------_-	1000_3020_-_0000_-	DOCUMENT TOTALS		ibg-00_ibg-22_------																																																																																																							1436.50	NOK	1436.50	NOK	1801.78	NOK	100.00	NOK	100.00	NOK	1000.00	NOK	801.78	NOK																																								
ibg-25	-1	------	-	ibg-00_ibg-25_-1_------_-	1000_3190_-1_0000_-	INVOICE LINE		ibg-00_ibg-25_------																																																																																																																																																12344321	ZZZ											
ibg-25	0	------	-	ibg-00_ibg-25_0_------_-	1000_3190_0_0000_-	INVOICE LINE		ibg-00_ibg-25_------																																																																																																																					1	Scratch on box	2	EA	1273.00	NOK	BookingCode001																					32344324	ZZZ											
ibg-25	0	ibg-26	-	ibg-00_ibg-25_0_ibg-26_-	1000_3190_0_3270_-	INVOICE LINE	INVOICE LINE PERIOD	ibg-00_ibg-25_ibg-26																																																																																																																												2013-06-01	2013-06-30																															
ibg-25	0	ibg-36	-	ibg-00_ibg-25_0_ibg-36_-	1000_3190_0_3300_-	INVOICE LINE	Referenced purchase order line reference	ibg-00_ibg-25_ibg-36																																																																																																																														1																														
ibg-25	0	ibg-27	0	ibg-00_ibg-25_0_ibg-27_0	1000_3190_0_3360_0	INVOICE LINE	INVOICE LINE ALLOWANCES	ibg-00_ibg-25_ibg-27																																																																																																																															false	Damage	12.00	NOK																										
ibg-25	0	ibg-28	0	ibg-00_ibg-25_0_ibg-28_0	1000_3190_0_3450_0	INVOICE LINE	INVOICE LINE CHARGES	ibg-00_ibg-25_ibg-28																																																																																																																																																												
ibg-25	0	ibg-28	1	ibg-00_ibg-25_0_ibg-28_1	1000_3190_0_3450_1	INVOICE LINE	INVOICE LINE CHARGES	ibg-00_ibg-25_ibg-28																																																																																																																																			true	Testing	12.00	NOK																						
ibg-25	0	ibg-31	-	ibg-00_ibg-25_0_ibg-31_-	1000_3190_0_3540_-	INVOICE LINE	ITEM INFORMATION	ibg-00_ibg-25_ibg-31																																																																																																																																							Processor: Intel Core 2 Duo SU9400 LV (1.4GHz). RAM: 3MB. Screen 1440x900	Laptop computer	JB007																			
ibg-25	0	ibg-30	0	ibg-00_ibg-25_0_ibg-30_0	1000_3190_0_3590_0	INVOICE LINE	LINE TAX INFORMATION	ibg-00_ibg-25_ibg-30																																																																																																																																										S	25	VAT	1234567890128	0088	DE													
ibg-25	0	ibg-32	0	ibg-00_ibg-25_0_ibg-32_0	1000_3190_0_3730_0	INVOICE LINE	ITEM ATTRIBUTES	ibg-00_ibg-25_ibg-32																																																																																																																																																		Color	Black									
ibg-25	0	ibg-29	-	ibg-00_ibg-25_0_ibg-29_-	1000_3190_0_3760_-	INVOICE LINE	PRICE DETAILS	ibg-00_ibg-25_ibg-29																																																																																																																																																				1273.00	NOK	1	EA	false	225.00	NOK		
ibg-25	1	------	-	ibg-00_ibg-25_1_------_-	1000_3190_1_0000_-	INVOICE LINE		ibg-00_ibg-25_------																																																																																																																					2	Cover is slightly damaged.	-1	EA	-3.96	NOK	BookingCode002																					32344324	ZZZ											
ibg-25	1	ibg-36	-	ibg-00_ibg-25_1_ibg-36_-	1000_3190_1_3300_-	INVOICE LINE	Referenced purchase order line reference	ibg-00_ibg-25_ibg-36																																																																																																																														5																														
ibg-25	1	ibg-31	-	ibg-00_ibg-25_1_ibg-31_-	1000_3190_1_3540_-	INVOICE LINE	ITEM INFORMATION	ibg-00_ibg-25_ibg-31																																																																																																																																								"Returned ""Advanced computing"" book"	JB008																			
ibg-25	1	ibg-30	0	ibg-00_ibg-25_1_ibg-30_0	1000_3190_1_3590_0	INVOICE LINE	LINE TAX INFORMATION	ibg-00_ibg-25_ibg-30																																																																																																																																										S	15	VAT	1234567890135	0088														
ibg-25	1	ibg-29	-	ibg-00_ibg-25_1_ibg-29_-	1000_3190_1_3760_-	INVOICE LINE	PRICE DETAILS	ibg-00_ibg-25_ibg-29																																																																																																																																																				3.96	NOK	1	EA					
ibg-25	2	------	-	ibg-00_ibg-25_2_------_-	1000_3190_2_0000_-	INVOICE LINE		ibg-00_ibg-25_------																																																																																																																					3		2	EA	4.96	NOK	BookingCode003																					12344322	ZZZ											
ibg-25	2	ibg-36	-	ibg-00_ibg-25_2_ibg-36_-	1000_3190_2_3300_-	INVOICE LINE	Referenced purchase order line reference	ibg-00_ibg-25_ibg-36																																																																																																																														3																														
ibg-25	2	ibg-31	-	ibg-00_ibg-25_2_ibg-31_-	1000_3190_2_3540_-	INVOICE LINE	ITEM INFORMATION	ibg-00_ibg-25_ibg-31																																																																																																																																								"""Computing for dummies"" book"	JB009																			
ibg-25	2	ibg-30	0	ibg-00_ibg-25_2_ibg-30_0	1000_3190_2_3590_0	INVOICE LINE	LINE TAX INFORMATION	ibg-00_ibg-25_ibg-30																																																																																																																																										S	15	VAT	1234567890135	0088														
ibg-25	2	ibg-29	-	ibg-00_ibg-25_2_ibg-29_-	1000_3190_2_3760_-	INVOICE LINE	PRICE DETAILS	ibg-00_ibg-25_ibg-29																																																																																																																																																				2.48	NOK	1	EA	false	0.27	NOK	2.70	NOK
ibg-25	3	------	-	ibg-00_ibg-25_3_------_-	1000_3190_3_0000_-	INVOICE LINE		ibg-00_ibg-25_------																																																																																																																					4		-1	EA	-25.00	NOK	BookingCode004																					12344325	ZZZ											
ibg-25	3	ibg-36	-	ibg-00_ibg-25_3_ibg-36_-	1000_3190_3_3300_-	INVOICE LINE	Referenced purchase order line reference	ibg-00_ibg-25_ibg-36																																																																																																																														2																														
ibg-25	3	ibg-31	-	ibg-00_ibg-25_3_ibg-31_-	1000_3190_3_3540_-	INVOICE LINE	ITEM INFORMATION	ibg-00_ibg-25_ibg-31																																																																																																																																								Returned IBM 5150 desktop	JB010																			
ibg-25	3	ibg-30	0	ibg-00_ibg-25_3_ibg-30_0	1000_3190_3_3590_0	INVOICE LINE	LINE TAX INFORMATION	ibg-00_ibg-25_ibg-30																																																																																																																																										E	0	VAT	1234567890159	0088														
ibg-25	3	ibg-29	-	ibg-00_ibg-25_3_ibg-29_-	1000_3190_3_3760_-	INVOICE LINE	PRICE DETAILS	ibg-00_ibg-25_ibg-29																																																																																																																																																				25.00	NOK	1	EA					
ibg-25	4	------	-	ibg-00_ibg-25_4_------_-	1000_3190_4_0000_-	INVOICE LINE		ibg-00_ibg-25_------																																																																																																																					5		250	MTR	187.50	NOK	BookingCode005																					65434564	STI											
ibg-25	4	ibg-31	-	ibg-00_ibg-25_4_ibg-31_-	1000_3190_4_3540_-	INVOICE LINE	ITEM INFORMATION	ibg-00_ibg-25_ibg-31																																																																																																																																								Network cable	JB011																			
ibg-25	4	ibg-30	0	ibg-00_ibg-25_4_ibg-30_0	1000_3190_4_3590_0	INVOICE LINE	LINE TAX INFORMATION	ibg-00_ibg-25_ibg-30																																																																																																																																										S	25	VAT	1234567890166	0088														
ibg-25	4	ibg-32	0	ibg-00_ibg-25_4_ibg-32_0	1000_3190_4_3730_0	INVOICE LINE	ITEM ATTRIBUTES	ibg-00_ibg-25_ibg-32																																																																																																																																																		Type	Cat5									
ibg-25	4	ibg-29	-	ibg-00_ibg-25_4_ibg-29_-	1000_3190_4_3760_-	INVOICE LINE	PRICE DETAILS	ibg-00_ibg-25_ibg-29																																																																																																																																																				0.75	NOK	1	MTR					
