									ibt-024	ibt-001	ibt-002	ibt-009	ibt-003	ibt-021	ibt-007	ibt-005	ibt-073	ibt-074	ibt-018	ibt-123	ibt-028	ibt-035	ibt-037	ibt-038	ibt-040	ibt-031	ibt-032-1	ibt-027	ibt-030	ibt-043	ibt-046	ibt-050	ibt-052	ibt-053	ibt-055	ibt-044	ibt-075	ibt-077	ibt-078	ibt-080	ibt-081	ibt-083	ibt-084	ibt-020	ibt-110	ibt-110-1	ibt-116	ibt-116-1	ibt-117	ibt-117-1	ibt-118	ibt-119	ibt-188	ibt-106	ibt-106-1	ibt-109	ibt-109-1	ibt-112	ibt-112-1	ibt-115	ibt-115-1	ibt-126	ibt-129	ibt-130	ibt-131	ibt-131-1	ibt-153	ibt-151	ibt-152	ibt-167	ibt-160	ibt-161	ibt-146	ibt-146-1	ibt-149	ibt-150
ibg-16	0	ibg-17	0	ibg-00_ibg-16_0_ibg-17_0	1000_2260_0_2320_0	PAYMENT INSTRUCTIONS	CREDIT TRANSFER 	ibg-00_ibg-16_ibg-17																																			NL28RBOS0420242228																																	
ibg-33	0	------	-	ibg-00_ibg-33_0_------_-	1000_2510_0_0000_-	INVOICE TERMS		ibg-00_ibg-33_------																																				"Enexis brengt wettelijke rente in rekening over te laat betaalde
            facturen. Kijk voor informatie op www.enexis.nl/rentenota"																																
ibg-39	-	------	-	ibg-00_ibg-39_-_------_-	1000_2870_-_0000_-	INVOICE TOTAL TAX		ibg-00_ibg-39_------																																					190.87	EUR																														
ibg-23	0	------	-	ibg-00_ibg-23_0_------_-	1000_2920_0_0000_-	TAX BREAKDOWN		ibg-00_ibg-23_------																																							908.91	EUR	190.87	EUR	S	21	VAT																							
ibg-22	-	------	-	ibg-00_ibg-22_-_------_-	1000_3020_-_0000_-	DOCUMENT TOTALS		ibg-00_ibg-22_------																																														908.91	EUR	908.91	EUR	1099.78	EUR	1099.78	EUR															
ibg-25	0	------	-	ibg-00_ibg-25_0_------_-	1000_3190_0_0000_-	INVOICE LINE		ibg-00_ibg-25_------																																																						1	16000	KWH	140.80	EUR										
ibg-25	0	ibg-31	-	ibg-00_ibg-25_0_ibg-31_-	1000_3190_0_3540_-	INVOICE LINE	ITEM INFORMATION	ibg-00_ibg-25_ibg-31																																																											Getransporteerde kWh’s									
ibg-25	0	ibg-30	0	ibg-00_ibg-25_0_ibg-30_0	1000_3190_0_3590_0	INVOICE LINE	LINE TAX INFORMATION	ibg-00_ibg-25_ibg-30																																																												S	21	VAT						
ibg-25	0	ibg-32	0	ibg-00_ibg-25_0_ibg-32_0	1000_3190_0_3730_0	INVOICE LINE	ITEM ATTRIBUTES	ibg-00_ibg-25_ibg-32																																																															contract transportvermogen	132,00 kW				
ibg-25	0	ibg-32	1	ibg-00_ibg-25_0_ibg-32_1	1000_3190_0_3730_1	INVOICE LINE	ITEM ATTRIBUTES	ibg-00_ibg-25_ibg-32																																																															transporttarief	Netvlak MSD Enexis				
ibg-25	0	ibg-32	2	ibg-00_ibg-25_0_ibg-32_2	1000_3190_0_3730_2	INVOICE LINE	ITEM ATTRIBUTES	ibg-00_ibg-25_ibg-32																																																															netvlak	MS-D				
ibg-25	0	ibg-32	3	ibg-00_ibg-25_0_ibg-32_3	1000_3190_0_3730_3	INVOICE LINE	ITEM ATTRIBUTES	ibg-00_ibg-25_ibg-32																																																															correctiefactor	1,0130				
ibg-25	0	ibg-29	-	ibg-00_ibg-25_0_ibg-29_-	1000_3190_0_3760_-	INVOICE LINE	PRICE DETAILS	ibg-00_ibg-25_ibg-29																																																																	0.00880	EUR	1	KWH
ibg-25	1	------	-	ibg-00_ibg-25_1_------_-	1000_3190_1_0000_-	INVOICE LINE		ibg-00_ibg-25_------																																																						2	16000	KWH	16.16	EUR										
ibg-25	1	ibg-31	-	ibg-00_ibg-25_1_ibg-31_-	1000_3190_1_3540_-	INVOICE LINE	ITEM INFORMATION	ibg-00_ibg-25_ibg-31																																																											Systeemdiensten									
ibg-25	1	ibg-30	0	ibg-00_ibg-25_1_ibg-30_0	1000_3190_1_3590_0	INVOICE LINE	LINE TAX INFORMATION	ibg-00_ibg-25_ibg-30																																																												S	21	VAT						
ibg-25	1	ibg-32	1	ibg-00_ibg-25_1_ibg-32_1	1000_3190_1_3730_1	INVOICE LINE	ITEM ATTRIBUTES	ibg-00_ibg-25_ibg-32																																																															contract transportvermogen	132,00 kW				
ibg-25	1	ibg-32	2	ibg-00_ibg-25_1_ibg-32_2	1000_3190_1_3730_2	INVOICE LINE	ITEM ATTRIBUTES	ibg-00_ibg-25_ibg-32																																																															transporttarief	Netvlak MSD Enexis				
ibg-25	1	ibg-32	3	ibg-00_ibg-25_1_ibg-32_3	1000_3190_1_3730_3	INVOICE LINE	ITEM ATTRIBUTES	ibg-00_ibg-25_ibg-32																																																															netvlak	MS-D				
ibg-25	1	ibg-32	4	ibg-00_ibg-25_1_ibg-32_4	1000_3190_1_3730_4	INVOICE LINE	ITEM ATTRIBUTES	ibg-00_ibg-25_ibg-32																																																															correctiefactor	1,0130				
ibg-25	1	ibg-29	-	ibg-00_ibg-25_1_ibg-29_-	1000_3190_1_3760_-	INVOICE LINE	PRICE DETAILS	ibg-00_ibg-25_ibg-29																																																																	0.00101	EUR	1	KWH
ibg-25	2	------	-	ibg-00_ibg-25_2_------_-	1000_3190_2_0000_-	INVOICE LINE		ibg-00_ibg-25_------																																																						3	132	KW	167.64	EUR										
ibg-25	2	ibg-31	-	ibg-00_ibg-25_2_ibg-31_-	1000_3190_2_3540_-	INVOICE LINE	ITEM INFORMATION	ibg-00_ibg-25_ibg-31																																																											Contract transportvermogen									
ibg-25	2	ibg-30	0	ibg-00_ibg-25_2_ibg-30_0	1000_3190_2_3590_0	INVOICE LINE	LINE TAX INFORMATION	ibg-00_ibg-25_ibg-30																																																												S	21	VAT						
ibg-25	2	ibg-32	1	ibg-00_ibg-25_2_ibg-32_1	1000_3190_2_3730_1	INVOICE LINE	ITEM ATTRIBUTES	ibg-00_ibg-25_ibg-32																																																															contract transportvermogen	132,00 kW				
ibg-25	2	ibg-32	2	ibg-00_ibg-25_2_ibg-32_2	1000_3190_2_3730_2	INVOICE LINE	ITEM ATTRIBUTES	ibg-00_ibg-25_ibg-32																																																															transporttarief	Netvlak MSD Enexis				
ibg-25	2	ibg-32	3	ibg-00_ibg-25_2_ibg-32_3	1000_3190_2_3730_3	INVOICE LINE	ITEM ATTRIBUTES	ibg-00_ibg-25_ibg-32																																																															netvlak	MS-D				
ibg-25	2	ibg-32	4	ibg-00_ibg-25_2_ibg-32_4	1000_3190_2_3730_4	INVOICE LINE	ITEM ATTRIBUTES	ibg-00_ibg-25_ibg-32																																																															correctiefactor	1,0130				
ibg-25	2	ibg-29	-	ibg-00_ibg-25_2_ibg-29_-	1000_3190_2_3760_-	INVOICE LINE	PRICE DETAILS	ibg-00_ibg-25_ibg-29																																																																	15.24	EUR	12	KW
ibg-25	3	------	-	ibg-00_ibg-25_3_------_-	1000_3190_3_0000_-	INVOICE LINE		ibg-00_ibg-25_------																																																						4	58	KW	88.74	EUR										
ibg-25	3	ibg-31	-	ibg-00_ibg-25_3_ibg-31_-	1000_3190_3_3540_-	INVOICE LINE	ITEM INFORMATION	ibg-00_ibg-25_ibg-31																																																											Maximaal afgenomen vermogen									
ibg-25	3	ibg-30	0	ibg-00_ibg-25_3_ibg-30_0	1000_3190_3_3590_0	INVOICE LINE	LINE TAX INFORMATION	ibg-00_ibg-25_ibg-30																																																												S	21	VAT						
ibg-25	3	ibg-32	1	ibg-00_ibg-25_3_ibg-32_1	1000_3190_3_3730_1	INVOICE LINE	ITEM ATTRIBUTES	ibg-00_ibg-25_ibg-32																																																															contract transportvermogen	132,00 kW				
ibg-25	3	ibg-32	2	ibg-00_ibg-25_3_ibg-32_2	1000_3190_3_3730_2	INVOICE LINE	ITEM ATTRIBUTES	ibg-00_ibg-25_ibg-32																																																															transporttarief	Netvlak MSD Enexis				
ibg-25	3	ibg-32	3	ibg-00_ibg-25_3_ibg-32_3	1000_3190_3_3730_3	INVOICE LINE	ITEM ATTRIBUTES	ibg-00_ibg-25_ibg-32																																																															netvlak	MS-D				
ibg-25	3	ibg-32	4	ibg-00_ibg-25_3_ibg-32_4	1000_3190_3_3730_4	INVOICE LINE	ITEM ATTRIBUTES	ibg-00_ibg-25_ibg-32																																																															correctiefactor	1,0130				
ibg-25	3	ibg-29	-	ibg-00_ibg-25_3_ibg-29_-	1000_3190_3_3760_-	INVOICE LINE	PRICE DETAILS	ibg-00_ibg-25_ibg-29																																																																	1.53	EUR	1	KW
ibg-25	4	------	-	ibg-00_ibg-25_4_------_-	1000_3190_4_0000_-	INVOICE LINE		ibg-00_ibg-25_------																																																						5	1	MON	36.75	EUR										
ibg-25	4	ibg-31	-	ibg-00_ibg-25_4_ibg-31_-	1000_3190_4_3540_-	INVOICE LINE	ITEM INFORMATION	ibg-00_ibg-25_ibg-31																																																											Vastrecht Transportdienst									
ibg-25	4	ibg-30	0	ibg-00_ibg-25_4_ibg-30_0	1000_3190_4_3590_0	INVOICE LINE	LINE TAX INFORMATION	ibg-00_ibg-25_ibg-30																																																												S	21	VAT						
ibg-25	4	ibg-32	1	ibg-00_ibg-25_4_ibg-32_1	1000_3190_4_3730_1	INVOICE LINE	ITEM ATTRIBUTES	ibg-00_ibg-25_ibg-32																																																															contract transportvermogen	132,00 kW				
ibg-25	4	ibg-32	2	ibg-00_ibg-25_4_ibg-32_2	1000_3190_4_3730_2	INVOICE LINE	ITEM ATTRIBUTES	ibg-00_ibg-25_ibg-32																																																															transporttarief	Netvlak MSD Enexis				
ibg-25	4	ibg-32	3	ibg-00_ibg-25_4_ibg-32_3	1000_3190_4_3730_3	INVOICE LINE	ITEM ATTRIBUTES	ibg-00_ibg-25_ibg-32																																																															netvlak	MS-D				
ibg-25	4	ibg-32	4	ibg-00_ibg-25_4_ibg-32_4	1000_3190_4_3730_4	INVOICE LINE	ITEM ATTRIBUTES	ibg-00_ibg-25_ibg-32																																																															correctiefactor	1,0130				
ibg-25	4	ibg-29	-	ibg-00_ibg-25_4_ibg-29_-	1000_3190_4_3760_-	INVOICE LINE	PRICE DETAILS	ibg-00_ibg-25_ibg-29																																																																	441.00	EUR	12	MON
ibg-25	5	------	-	ibg-00_ibg-25_5_------_-	1000_3190_5_0000_-	INVOICE LINE		ibg-00_ibg-25_------																																																						6	1	MON	56.50	EUR										
ibg-25	5	ibg-31	-	ibg-00_ibg-25_5_ibg-31_-	1000_3190_5_3540_-	INVOICE LINE	ITEM INFORMATION	ibg-00_ibg-25_ibg-31																																																											Vastrecht Aansluitdienst									
ibg-25	5	ibg-30	0	ibg-00_ibg-25_5_ibg-30_0	1000_3190_5_3590_0	INVOICE LINE	LINE TAX INFORMATION	ibg-00_ibg-25_ibg-30																																																												S	21	VAT						
ibg-25	5	ibg-32	1	ibg-00_ibg-25_5_ibg-32_1	1000_3190_5_3730_1	INVOICE LINE	ITEM ATTRIBUTES	ibg-00_ibg-25_ibg-32																																																															contract transportvermogen	132,00 kW				
ibg-25	5	ibg-32	2	ibg-00_ibg-25_5_ibg-32_2	1000_3190_5_3730_2	INVOICE LINE	ITEM ATTRIBUTES	ibg-00_ibg-25_ibg-32																																																															transporttarief	Netvlak MSD Enexis				
ibg-25	5	ibg-32	3	ibg-00_ibg-25_5_ibg-32_3	1000_3190_5_3730_3	INVOICE LINE	ITEM ATTRIBUTES	ibg-00_ibg-25_ibg-32																																																															netvlak	MS-D				
ibg-25	5	ibg-32	4	ibg-00_ibg-25_5_ibg-32_4	1000_3190_5_3730_4	INVOICE LINE	ITEM ATTRIBUTES	ibg-00_ibg-25_ibg-32																																																															correctiefactor	1,0130				
ibg-25	5	ibg-29	-	ibg-00_ibg-25_5_ibg-29_-	1000_3190_5_3760_-	INVOICE LINE	PRICE DETAILS	ibg-00_ibg-25_ibg-29																																																																	678.00	EUR	12	MON
ibg-25	6	------	-	ibg-00_ibg-25_6_------_-	1000_3190_6_0000_-	INVOICE LINE		ibg-00_ibg-25_------																																																						7	1	MON	83.34	EUR										
ibg-25	6	ibg-31	-	ibg-00_ibg-25_6_ibg-31_-	1000_3190_6_3540_-	INVOICE LINE	ITEM INFORMATION	ibg-00_ibg-25_ibg-31																																																											Huur Transformatoren									
ibg-25	6	ibg-30	0	ibg-00_ibg-25_6_ibg-30_0	1000_3190_6_3590_0	INVOICE LINE	LINE TAX INFORMATION	ibg-00_ibg-25_ibg-30																																																												S	21	VAT						
ibg-25	6	ibg-29	-	ibg-00_ibg-25_6_ibg-29_-	1000_3190_6_3760_-	INVOICE LINE	PRICE DETAILS	ibg-00_ibg-25_ibg-29																																																																	83.34	EUR	1	MON
ibg-25	7	------	-	ibg-00_ibg-25_7_------_-	1000_3190_7_0000_-	INVOICE LINE		ibg-00_ibg-25_------																																																						8	1	MON	190.31	EUR										
ibg-25	7	ibg-31	-	ibg-00_ibg-25_7_ibg-31_-	1000_3190_7_3540_-	INVOICE LINE	ITEM INFORMATION	ibg-00_ibg-25_ibg-31																																																											Huur Schakelinstallaties									
ibg-25	7	ibg-30	0	ibg-00_ibg-25_7_ibg-30_0	1000_3190_7_3590_0	INVOICE LINE	LINE TAX INFORMATION	ibg-00_ibg-25_ibg-30																																																												S	21	VAT						
ibg-25	7	ibg-29	-	ibg-00_ibg-25_7_ibg-29_-	1000_3190_7_3760_-	INVOICE LINE	PRICE DETAILS	ibg-00_ibg-25_ibg-29																																																																	190.31	EUR	1	MON
ibg-25	8	------	-	ibg-00_ibg-25_8_------_-	1000_3190_8_0000_-	INVOICE LINE		ibg-00_ibg-25_------																																																						9	1	MON	64.21	EUR										
ibg-25	8	ibg-31	-	ibg-00_ibg-25_8_ibg-31_-	1000_3190_8_3540_-	INVOICE LINE	ITEM INFORMATION	ibg-00_ibg-25_ibg-31																																																											Huur Overige Apparaten									
ibg-25	8	ibg-30	0	ibg-00_ibg-25_8_ibg-30_0	1000_3190_8_3590_0	INVOICE LINE	LINE TAX INFORMATION	ibg-00_ibg-25_ibg-30																																																												S	21	VAT						
ibg-25	8	ibg-29	-	ibg-00_ibg-25_8_ibg-29_-	1000_3190_8_3760_-	INVOICE LINE	PRICE DETAILS	ibg-00_ibg-25_ibg-29																																																																	64.21	EUR	1	MON
ibg-25	9	------	-	ibg-00_ibg-25_9_------_-	1000_3190_9_0000_-	INVOICE LINE		ibg-00_ibg-25_------																																																						10	1	MON	64.46	EUR										
ibg-25	9	ibg-31	-	ibg-00_ibg-25_9_ibg-31_-	1000_3190_9_3540_-	INVOICE LINE	ITEM INFORMATION	ibg-00_ibg-25_ibg-31																																																											Huur Meterdiensten									
ibg-25	9	ibg-30	0	ibg-00_ibg-25_9_ibg-30_0	1000_3190_9_3590_0	INVOICE LINE	LINE TAX INFORMATION	ibg-00_ibg-25_ibg-30																																																												S	21	VAT						
ibg-25	9	ibg-29	-	ibg-00_ibg-25_9_ibg-29_-	1000_3190_9_3760_-	INVOICE LINE	PRICE DETAILS	ibg-00_ibg-25_ibg-29																																																																	64.46	EUR	1	MON
