level	ref	datatype	occurrence	XPath
1250	2	cbc:EndDate	Date	0..1	/Invoice/cac:InvoicePeriod/cbc:EndDate
1260	2	cbc:EndTime	Time	0..1	/Invoice/cac:InvoicePeriod/cbc:EndTime
1270	2	cbc:DurationMeasure	Measure	0..1	/Invoice/cac:InvoicePeriod/cbc:DurationMeasure
1280	2	cbc:DescriptionCode	Code	0..n	/Invoice/cac:InvoicePeriod/cbc:DescriptionCode
1290	2	cbc:Description	Text	0..n	/Invoice/cac:InvoicePeriod/cbc:Description
1300	1	cac:OrderReference	OrderReferenceType	0..1	/Invoice/cac:OrderReference
1310	2	cbc:ID	Identifier	1..1	/Invoice/cac:OrderReference/cbc:ID
1320	2	cbc:SalesOrderID	Identifier	0..1	/Invoice/cac:OrderReference/cbc:SalesOrderID
1330	2	cbc:CopyIndicator	Indicator	0..1	/Invoice/cac:OrderReference/cbc:CopyIndicator
1340	2	cbc:UUID	Identifier	0..1	/Invoice/cac:OrderReference/cbc:UUID
1350	2	cbc:IssueDate	Date	0..1	/Invoice/cac:OrderReference/cbc:IssueDate
1360	2	cbc:IssueTime	Time	0..1	/Invoice/cac:OrderReference/cbc:IssueTime
1370	2	cbc:CustomerReference	Text	0..1	/Invoice/cac:OrderReference/cbc:CustomerReference
1380	2	cbc:OrderTypeCode	Code	0..1	/Invoice/cac:OrderReference/cbc:OrderTypeCode
1390	2	cac:DocumentReference	DocumentReferenceType	0..1	/Invoice/cac:OrderReference/cac:DocumentReference
1400	3	cbc:ID	Identifier	1..1	/Invoice/cac:OrderReference/cac:DocumentReference/cbc:ID
1410	3	cbc:CopyIndicator	Indicator	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cbc:CopyIndicator
1420	3	cbc:UUID	Identifier	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cbc:UUID
1430	3	cbc:IssueDate	Date	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cbc:IssueDate
1440	3	cbc:IssueTime	Time	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cbc:IssueTime
1450	3	cbc:DocumentTypeCode	Code	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cbc:DocumentTypeCode
1460	3	cbc:DocumentType	Text	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cbc:DocumentType
1470	3	cbc:XPath	Text	0..n	/Invoice/cac:OrderReference/cac:DocumentReference/cbc:XPath
1480	3	cbc:LanguageID	Identifier	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cbc:LanguageID
1490	3	cbc:LocaleCode	Code	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cbc:LocaleCode
1500	3	cbc:VersionID	Identifier	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cbc:VersionID
1510	3	cbc:DocumentStatusCode	Code	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cbc:DocumentStatusCode
1520	3	cbc:DocumentDescription	Text	0..n	/Invoice/cac:OrderReference/cac:DocumentReference/cbc:DocumentDescription
1530	3	cac:Attachment	AttachmentType	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:Attachment
1540	4	cbc:EmbeddedDocumentBinaryObject	BinaryObject	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:Attachment/cbc:EmbeddedDocumentBinaryObject
1550	4	cac:ExternalReference	ExternalReferenceType	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:Attachment/cac:ExternalReference
1560	5	cbc:URI	Identifier	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:Attachment/cac:ExternalReference/cbc:URI
1570	5	cbc:DocumentHash	Text	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:Attachment/cac:ExternalReference/cbc:DocumentHash
1580	5	cbc:HashAlgorithmMethod	Text	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:Attachment/cac:ExternalReference/cbc:HashAlgorithmMethod
1590	5	cbc:ExpiryDate	Date	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:Attachment/cac:ExternalReference/cbc:ExpiryDate
1600	5	cbc:ExpiryTime	Time	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:Attachment/cac:ExternalReference/cbc:ExpiryTime
1610	5	cbc:MimeCode	Code	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:Attachment/cac:ExternalReference/cbc:MimeCode
1620	5	cbc:FormatCode	Code	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:Attachment/cac:ExternalReference/cbc:FormatCode
1630	5	cbc:EncodingCode	Code	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:Attachment/cac:ExternalReference/cbc:EncodingCode
1640	5	cbc:CharacterSetCode	Code	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:Attachment/cac:ExternalReference/cbc:CharacterSetCode
1650	5	cbc:FileName	Name	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:Attachment/cac:ExternalReference/cbc:FileName
1660	5	cbc:Description	Text	0..n	/Invoice/cac:OrderReference/cac:DocumentReference/cac:Attachment/cac:ExternalReference/cbc:Description
1670	3	cac:ValidityPeriod	PeriodType	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:ValidityPeriod
1680	4	cbc:StartDate	Date	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:ValidityPeriod/cbc:StartDate
1690	4	cbc:StartTime	Time	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:ValidityPeriod/cbc:StartTime
1700	4	cbc:EndDate	Date	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:ValidityPeriod/cbc:EndDate
1710	4	cbc:EndTime	Time	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:ValidityPeriod/cbc:EndTime
1720	4	cbc:DurationMeasure	Measure	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:ValidityPeriod/cbc:DurationMeasure
1730	4	cbc:DescriptionCode	Code	0..n	/Invoice/cac:OrderReference/cac:DocumentReference/cac:ValidityPeriod/cbc:DescriptionCode
1740	4	cbc:Description	Text	0..n	/Invoice/cac:OrderReference/cac:DocumentReference/cac:ValidityPeriod/cbc:Description
1750	3	cac:IssuerParty	PartyType	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty
1760	4	cbc:MarkCareIndicator	Indicator	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cbc:MarkCareIndicator
1770	4	cbc:MarkAttentionIndicator	Indicator	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cbc:MarkAttentionIndicator
1780	4	cbc:WebsiteURI	Identifier	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cbc:WebsiteURI
1790	4	cbc:LogoReferenceID	Identifier	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cbc:LogoReferenceID
1800	4	cbc:EndpointID	Identifier	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cbc:EndpointID
1810	4	cbc:IndustryClassificationCode	Code	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cbc:IndustryClassificationCode
1820	4	cac:PartyIdentification	PartyIdentificationType	0..n	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PartyIdentification
1830	5	cbc:ID	Identifier	1..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PartyIdentification/cbc:ID
1840	4	cac:PartyName	PartyNameType	0..n	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PartyName
1850	5	cbc:Name	Name	1..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PartyName/cbc:Name
1860	4	cac:Language	LanguageType	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:Language
1870	5	cbc:ID	Identifier	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:Language/cbc:ID
1880	5	cbc:Name	Name	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:Language/cbc:Name
1890	5	cbc:LocaleCode	Code	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:Language/cbc:LocaleCode
1900	4	cac:PostalAddress	AddressType	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PostalAddress
1910	5	cbc:ID	Identifier	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:ID
1920	5	cbc:AddressTypeCode	Code	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:AddressTypeCode
1930	5	cbc:AddressFormatCode	Code	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:AddressFormatCode
1940	5	cbc:Postbox	Text	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:Postbox
1950	5	cbc:Floor	Text	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:Floor
1960	5	cbc:Room	Text	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:Room
1970	5	cbc:StreetName	Name	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:StreetName
1980	5	cbc:AdditionalStreetName	Name	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:AdditionalStreetName
1990	5	cbc:BlockName	Name	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:BlockName
2000	5	cbc:BuildingName	Name	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:BuildingName
2010	5	cbc:BuildingNumber	Text	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:BuildingNumber
2020	5	cbc:InhouseMail	Text	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:InhouseMail
2030	5	cbc:Department	Text	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:Department
2040	5	cbc:MarkAttention	Text	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:MarkAttention
2050	5	cbc:MarkCare	Text	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:MarkCare
2060	5	cbc:PlotIdentification	Text	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:PlotIdentification
2070	5	cbc:CitySubdivisionName	Name	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:CitySubdivisionName
2080	5	cbc:CityName	Name	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:CityName
2090	5	cbc:PostalZone	Text	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:PostalZone
2100	5	cbc:CountrySubentity	Text	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:CountrySubentity
2110	5	cbc:CountrySubentityCode	Code	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:CountrySubentityCode
2120	5	cbc:Region	Text	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:Region
2130	5	cbc:District	Text	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:District
2140	5	cbc:TimezoneOffset	Text	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:TimezoneOffset
2150	5	cac:AddressLine	AddressLineType	0..n	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PostalAddress/cac:AddressLine
2160	5	cac:Country	CountryType	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PostalAddress/cac:Country
2170	5	cac:LocationCoordinate	LocationCoordinateType	0..n	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PostalAddress/cac:LocationCoordinate
2180	4	cac:PhysicalLocation	LocationType	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PhysicalLocation
2190	5	cbc:ID	Identifier	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PhysicalLocation/cbc:ID
2200	5	cbc:Description	Text	0..n	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PhysicalLocation/cbc:Description
2210	5	cbc:Conditions	Text	0..n	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PhysicalLocation/cbc:Conditions
2220	5	cbc:CountrySubentity	Text	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PhysicalLocation/cbc:CountrySubentity
2230	5	cbc:CountrySubentityCode	Code	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PhysicalLocation/cbc:CountrySubentityCode
2240	5	cbc:LocationTypeCode	Code	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PhysicalLocation/cbc:LocationTypeCode
2250	5	cbc:InformationURI	Identifier	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PhysicalLocation/cbc:InformationURI
2260	5	cbc:Name	Name	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PhysicalLocation/cbc:Name
2270	5	cac:ValidityPeriod	PeriodType	0..n	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PhysicalLocation/cac:ValidityPeriod
2280	5	cac:Address	AddressType	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PhysicalLocation/cac:Address
2290	5	cac:SubsidiaryLocation	LocationType	0..n	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PhysicalLocation/cac:SubsidiaryLocation
2300	5	cac:LocationCoordinate	LocationCoordinateType	0..n	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PhysicalLocation/cac:LocationCoordinate
2310	4	cac:PartyTaxScheme	PartyTaxSchemeType	0..n	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PartyTaxScheme
2320	5	cbc:RegistrationName	Name	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PartyTaxScheme/cbc:RegistrationName
2330	5	cbc:CompanyID	Identifier	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PartyTaxScheme/cbc:CompanyID
2340	5	cbc:TaxLevelCode	Code	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PartyTaxScheme/cbc:TaxLevelCode
2350	5	cbc:ExemptionReasonCode	Code	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PartyTaxScheme/cbc:ExemptionReasonCode
2360	5	cbc:ExemptionReason	Text	0..n	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PartyTaxScheme/cbc:ExemptionReason
2370	5	cac:RegistrationAddress	AddressType	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PartyTaxScheme/cac:RegistrationAddress
2380	5	cac:TaxScheme	TaxSchemeType	1..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PartyTaxScheme/cac:TaxScheme
2390	4	cac:PartyLegalEntity	PartyLegalEntityType	0..n	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PartyLegalEntity
2400	5	cbc:RegistrationName	Name	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PartyLegalEntity/cbc:RegistrationName
2410	5	cbc:CompanyID	Identifier	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PartyLegalEntity/cbc:CompanyID
2420	5	cbc:RegistrationDate	Date	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PartyLegalEntity/cbc:RegistrationDate
2430	5	cbc:RegistrationExpirationDate	Date	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PartyLegalEntity/cbc:RegistrationExpirationDate
2440	5	cbc:CompanyLegalFormCode	Code	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PartyLegalEntity/cbc:CompanyLegalFormCode
2450	5	cbc:CompanyLegalForm	Text	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PartyLegalEntity/cbc:CompanyLegalForm
2460	5	cbc:SoleProprietorshipIndicator	Indicator	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PartyLegalEntity/cbc:SoleProprietorshipIndicator
2470	5	cbc:CompanyLiquidationStatusCode	Code	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PartyLegalEntity/cbc:CompanyLiquidationStatusCode
2480	5	cbc:CorporateStockAmount	Amount	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PartyLegalEntity/cbc:CorporateStockAmount
2490	5	cbc:FullyPaidSharesIndicator	Indicator	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PartyLegalEntity/cbc:FullyPaidSharesIndicator
2500	5	cac:RegistrationAddress	AddressType	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PartyLegalEntity/cac:RegistrationAddress
2510	5	cac:CorporateRegistrationScheme	CorporateRegistrationSchemeType	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PartyLegalEntity/cac:CorporateRegistrationScheme
2520	5	cac:ShareholderParty	ShareholderPartyType	0..n	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PartyLegalEntity/cac:ShareholderParty
2530	4	cac:Contact	ContactType	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:Contact
2540	5	cbc:ID	Identifier	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:Contact/cbc:ID
2550	5	cbc:Name	Name	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:Contact/cbc:Name
2560	5	cbc:Telephone	Text	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:Contact/cbc:Telephone
2570	5	cbc:Telefax	Text	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:Contact/cbc:Telefax
2580	5	cbc:ElectronicMail	Text	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:Contact/cbc:ElectronicMail
2590	5	cbc:Note	Text	0..n	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:Contact/cbc:Note
2600	5	cac:OtherCommunication	CommunicationType	0..n	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:Contact/cac:OtherCommunication
2610	4	cac:Person	PersonType	0..n	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:Person
2620	5	cbc:ID	Identifier	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:Person/cbc:ID
2630	5	cbc:FirstName	Name	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:Person/cbc:FirstName
2640	5	cbc:FamilyName	Name	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:Person/cbc:FamilyName
2650	5	cbc:Title	Text	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:Person/cbc:Title
2660	5	cbc:MiddleName	Name	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:Person/cbc:MiddleName
2670	5	cbc:OtherName	Name	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:Person/cbc:OtherName
2680	5	cbc:NameSuffix	Text	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:Person/cbc:NameSuffix
2690	5	cbc:JobTitle	Text	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:Person/cbc:JobTitle
2700	5	cbc:NationalityID	Identifier	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:Person/cbc:NationalityID
2710	5	cbc:GenderCode	Code	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:Person/cbc:GenderCode
2720	5	cbc:BirthDate	Date	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:Person/cbc:BirthDate
2730	5	cbc:BirthplaceName	Text	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:Person/cbc:BirthplaceName
2740	5	cbc:OrganizationDepartment	Text	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:Person/cbc:OrganizationDepartment
2750	5	cac:Contact	ContactType	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:Person/cac:Contact
2760	5	cac:FinancialAccount	FinancialAccountType	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:Person/cac:FinancialAccount
2770	5	cac:ResidenceAddress	AddressType	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:Person/cac:ResidenceAddress
2780	4	cac:AgentParty	PartyType	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:AgentParty
2790	4	cac:ServiceProviderParty	ServiceProviderPartyType	0..n	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:ServiceProviderParty
2800	5	cbc:ID	Identifier	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:ServiceProviderParty/cbc:ID
2810	5	cbc:ServiceTypeCode	Code	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:ServiceProviderParty/cbc:ServiceTypeCode
2820	5	cbc:ServiceType	Text	0..n	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:ServiceProviderParty/cbc:ServiceType
2830	5	cac:SellerContact	ContactType	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:ServiceProviderParty/cac:SellerContact
2840	4	cac:PowerOfAttorney	PowerOfAttorneyType	0..n	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PowerOfAttorney
2850	5	cbc:ID	Identifier	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PowerOfAttorney/cbc:ID
2860	5	cbc:IssueDate	Date	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PowerOfAttorney/cbc:IssueDate
2870	5	cbc:IssueTime	Time	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PowerOfAttorney/cbc:IssueTime
2880	5	cbc:Description	Text	0..n	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:PowerOfAttorney/cbc:Description
2890	4	cac:FinancialAccount	FinancialAccountType	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:FinancialAccount
2900	5	cbc:ID	Identifier	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:FinancialAccount/cbc:ID
2910	5	cbc:Name	Name	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:FinancialAccount/cbc:Name
2920	5	cbc:AliasName	Name	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:FinancialAccount/cbc:AliasName
2930	5	cbc:AccountTypeCode	Code	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:FinancialAccount/cbc:AccountTypeCode
2940	5	cbc:AccountFormatCode	Code	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:FinancialAccount/cbc:AccountFormatCode
2950	5	cbc:CurrencyCode	Code	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:FinancialAccount/cbc:CurrencyCode
2960	5	cbc:PaymentNote	Text	0..n	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:FinancialAccount/cbc:PaymentNote
2970	5	cac:FinancialInstitutionBranch	BranchType	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:FinancialAccount/cac:FinancialInstitutionBranch
2980	5	cac:Country	CountryType	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:IssuerParty/cac:FinancialAccount/cac:Country
2990	3	cac:ResultOfVerification	ResultOfVerificationType	0..1	/Invoice/cac:OrderReference/cac:DocumentReference/cac:ResultOfVerification
