SemanticSort	ID	BusinessTerm	Level	BusinessTermJP	Card.	Data Type	SyntaxSort	xPath
1760	ibt-059	Payee name 	2	支払先名称	1..1	Text	2010	/Invoice/cac:PayeeParty/cac:PartyName/cbc:Name
1790	ibt-061	Payee legal registration identifier	2	支払先国際企業コード	0..1	ID	2020	/Invoice/cac:PayeeParty/cac:PartyLegalEntity/cbc:CompanyID
1800	ibt-061-1	Scheme identifier	3	スキーマ識別子	1..1	Scheme	2030	/Invoice/cac:PayeeParty/cac:PartyLegalEntity/cbc:CompanyID/@schemeID
1810	ibg-11	SELLER TAX REPRESENTATIVE PARTY	1	販売者の納税管理人	0..1	Group	2040	/Invoice/cac:TaxRepresentativeParty
1820	ibt-062	Seller tax representative name	2	販売者の納税管理人名称	1..1	Text	2050	/Invoice/cac:TaxRepresentativeParty/cac:PartyName/cbc:Name
1840	ibg-12	SELLER TAX REPRESENTATIVE POSTAL ADDRESS	2	販売者の納税管理人の住所	1..1	Group	2060	/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress
1850	ibt-064	Tax representative address line 1 	3	納税管理人住所欄1	0..1	Text	2070	/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:StreetName
1860	ibt-065	Tax representative address line 2	3	納税管理人住所欄2	0..1	Text	2080	/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:AdditionalStreetName
1880	ibt-066	Tax representative city	3	納税管理人住所 市区町村	0..1	Text	2090	/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:CityName
1890	ibt-067	Tax representative post code	3	納税管理人郵便番号	0..1	Text	2100	/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:PostalZone
1900	ibt-068	Tax representative country subdivision 	3	納税管理人住所 都道府県	0..1	Text	2110	/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:CountrySubentity
1870	ibt-164	Tax representative address line 3	3	納税管理人住所欄3	0..1	Text	2120	/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cac:AddressLine/cbc:Line
1910	ibt-069	Tax representative country code 	3	納税管理人国コード	1..1	Code	2130	/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cac:Country/cbc:IdentificationCode
1830	ibg-43		2	販売者の納税管理人の登録情報		Group	2140	/Invoice/cac:TaxRepresentativeParty/cac:PartyTaxScheme
1830	ibt-063	Seller tax representative TAX identifier	3	納税管理人の税番号	1..1	ID	2140	/Invoice/cac:TaxRepresentativeParty/cac:PartyTaxScheme/cbc:CompanyID
1835	ibt-063-1	Tax Scheme	3	税スキーマ	0..1	Code	2150	/Invoice/cac:TaxRepresentativeParty/cac:PartyTaxScheme/cac:TaxScheme/cbc:ID
1920	ibg-13	DELIVERY INFORMATION	1	納入先	0..1	Group	2160	/Invoice/cac:Delivery
1960	ibt-072	Actual delivery date	2	実際の納入日	0..1	Date	2170	/Invoice/cac:Delivery/cbc:ActualDeliveryDate
1940	ibt-071	Deliver to location identifier	2	納入先コード	0..1	ID	2180	/Invoice/cac:Delivery/cac:DeliveryLocation/cbc:ID
1950	ibt-071-1	Scheme identifier	3	スキーマ識別子	1..1	Scheme	2190	/Invoice/cac:Delivery/cac:DeliveryLocation/cbc:ID/@schemeID
2000	ibg-15	DELIVER TO ADDRESS	2	納入先の住所	0..1	Group	2200	/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address
2010	ibt-075	Deliver to address line 1 	3	納入先住所欄1	0..1	Text	2210	/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:StreetName
2020	ibt-076	Deliver to address line 2	3	納入先住所欄2	0..1	Text	2220	/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:AdditionalStreetName
2040	ibt-077	Deliver to city	3	納入先住所 市区町村	0..1	Text	2230	/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:CityName
2050	ibt-078	Deliver to post code	3	納入先郵便番号	0..1	Text	2240	/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:PostalZone
2060	ibt-079	Deliver to country subdivision 	3	納入先住所 都道府県	0..1	Text	2250	/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:CountrySubentity
2030	ibt-165	Deliver to address line 3	3	納入先住所欄3	0..1	Text	2260	/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cac:AddressLine/cbc:Line
2070	ibt-080	Deliver to country code 	3	納入先国コード	1..1	Code	2270	/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cac:Country/cbc:IdentificationCode
1930	ibt-070	Deliver to party name	2	納入先名称	0..1	Text	2280	/Invoice/cac:Delivery/cac:DeliveryParty/cac:PartyName/cbc:Name
2080	ibg-16	PAYMENT INSTRUCTIONS	1	支払手段	0..n	Group	2290	/Invoice/cac:PaymentMeans
2089	ibt-178	Payment Instructions ID	2	支払手段ID	0..1	ID	2300	/Invoice/cac:PaymentMeans/cbc:ID
2090	ibt-081	Payment means type code	2	支払手段タイプコード	1..1	Code	2310	/Invoice/cac:PaymentMeans/cbc:PaymentMeansCode
2100	ibt-082	Payment means text	2	支払手段内容説明	0..1	Text	2320	/Invoice/cac:PaymentMeans/cbc:PaymentMeansCode/@name
2110	ibt-083	Remittance information	2	送金情報	0..n	Text	2330	/Invoice/cac:PaymentMeans/cbc:PaymentID
2111	ibt-083-1	Scheme identifier	3	スキーマ識別子	0..1	Code	2340	/Invoice/cac:PaymentMeans/cbc:PaymentID/@SchemeID
2120	ibg-17	CREDIT TRANSFER 	2	銀行振込	0..n	Group	2350	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount
2130	ibt-084	Payment account identifier	3	支払先口座番号	1..1	ID	2360	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cbc:ID
2131	ibt-084-1	Scheme identifier	3	スキーマ識別子	0..1	Code	2370	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cbc:ID/@SchemeID
2140	ibt-085	Payment account name	3	支払先口座名義人名	0..1	Text	2380	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cbc:Name
2149	ibt-086	Payment service provider identifier	3	支払先金融機関番号	0..1	ID	2390	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cbc:ID
2150	ibg-34	ADDRESS	3	住所	0..1	Group	2400	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cac:Address
2151	ibt-169	Account address line 1 	4	支払口座住所欄1	0..1	Text	2410	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cac:Address/cbc:StreetName
2152	ibt-170	Account address line 2	4	支払先口座住所欄2	0..1	Text	2420	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cac:Address/cbc:AdditionalStreetName
2153	ibt-171	Account city	4	支払先口座住所 市区町村	0..1	Text	2430	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cac:Address/cbc:CityName
2154	ibt-172	Account post code	4	支払先口座郵便番号	0..1	Text	2440	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cac:Address/cbc:PostalZone
2155	ibt-173	Account country subdivision 	4	支払先口座住所 都道府県	0..1	Text	2450	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cac:Address/cbc:CountrySubentity
2157	ibt-174	Account address line 3	4	支払先口座住所欄3	0..1	Text	2460	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cac:Address/cac:AddressLine/cbc:Line
2159	ibt-175	Account country code 	4	支払先口座国コード	0..1	Code	2470	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cac:Address/cac:Country/cbc:IdentificationCode
2160	ibg-18	PAYMENT CARD INFORMATION	2	支払カード情報	0..1	Group	2480	/Invoice/cac:PaymentMeans/cac:CardAccount
2170	ibt-087	Payment card primary account number	3	支払カード主要口座番号	1..1	Text	2490	/Invoice/cac:PaymentMeans/cac:CardAccount/cbc:PrimaryAccountNumberID
2180	ibt-088	Payment card holder name	3	カード名義人氏名	0..1	Text	2500	/Invoice/cac:PaymentMeans/cac:CardAccount/cbc:HolderName
2190	ibg-19	DIRECT DEBIT 	2	自動口座引落	0..1	Group	2510	/Invoice/cac:PaymentMeans/cac:PaymentMandate
2200	ibt-089	Mandate reference identifier	3	マンデーションリファレンス識別子	0..1	ID	2520	/Invoice/cac:PaymentMeans/cac:PaymentMandate/cbc:ID
2220	ibt-091	Debited account identifier	3	自動引落口座識別子	0..1	ID	2530	/Invoice/cac:PaymentMeans/cac:PaymentMandate/cac:PayerFinancialAccount/cbc:ID
1189	ibg-33	INVOICE TERMS	1	支払条件	0..n	Group	2540	/Invoice/cac:PaymentTerms
1191	ibt-020	Payment terms	2	支払条件	0..1	Text	2550	/Invoice/cac:PaymentTerms/cbc:Note
1192	ibt-187	Terms payment instructions ID	2	支払条件指示ID	0..1	ID	2560	/Invoice/cac:PaymentTerms/cbc:PaymentMeansID
1193	ibt-176	Terms amount	2	支払条件金額	0..1	Amount	2570	/Invoice/cac:PaymentTerms/cbc:Amount
1193	ibt-176-1	Currency code	3	通貨コード	1..1	Code	2570	/Invoice/cac:PaymentTerms/cbc:Amount/@currencyID
1194	ibt-177	Terms installment due date	2	分割支払支払期日	0..1	Date	2580	/Invoice/cac:PaymentTerms/cbc:InstallmentDueDate
2221	ibg-35	Paid amounts	1	支払済金額	0..n	Group	2590	/Invoice/cac:PrepaidPayment
2222	ibt-179	Payment identifier	2	支払ID	0..1	ID	2600	/Invoice/cac:PrepaidPayment/cbc:ID
2223	ibt-180	Paid amount	2	支払済金額	1..1	Amount	2610	/Invoice/cac:PrepaidPayment/cbc:PaidAmount
2223	ibt-180-1	Currency code	3	通貨コード	1..1	Code	2610	/Invoice/cac:PrepaidPayment/cbc:PaidAmount/@currencyID
2224	ibt-181	The date when the paid amount is debited to the invoice.	2	支払済金額が請求書に差引記載される日	0..1	Date	2620	/Invoice/cac:PrepaidPayment/cbc:ReceivedDate
2225	ibt-182	Payment type	2	支払タイプ	0..1	Code	2630	/Invoice/cac:PrepaidPayment/cbc:InstructionID
2230	ibg-20	DOCUMENT LEVEL ALLOWANCES	1	ドキュメントレベルの返還請求	0..n	Group	2640	/Invoice/cac:AllowanceCharge
2235	ibt-092a	Charge indicator	2	追加請求フラグ	1..1	Indicator	2650	/Invoice/cac:AllowanceCharge/cbc:ChargeIndicator
2300	ibt-098	Document level allowance reason code	2	ドキュメントレベルの返還請求の理由コード	0..1	Code	2660	/Invoice/cac:AllowanceCharge/cbc:AllowanceChargeReasonCode
2290	ibt-097	Document level allowance reason	2	ドキュメントレベルの返還請求の理由	0..1	Text	2670	/Invoice/cac:AllowanceCharge/cbc:AllowanceChargeReason
2260	ibt-094	Document level allowance percentage	2	ドキュメントレベルの返還請求の率	0..1	Percent	2680	/Invoice/cac:AllowanceCharge/cbc:MultiplierFactorNumeric
2240	ibt-092	Document level allowance amount	2	ドキュメントレベルの返還請求金額	1..1	Amount	2690	/Invoice/cac:AllowanceCharge/cbc:Amount
2245	ibt-092-1	Currency code	3	通貨コード	1..1	Code	2700	/Invoice/cac:AllowanceCharge/cbc:Amount/@currencyID
2250	ibt-093	Document level allowance base amount	2	ドキュメントレベルの返還請求金額の基準となる金額	0..1	Amount	2710	/Invoice/cac:AllowanceCharge/cbc:BaseAmount
2255	ibt-093-1	Currency code	3	通貨コード	1..1	Code	2720	/Invoice/cac:AllowanceCharge/cbc:BaseAmount/@currencyID
2270	ibt-095	Document level allowance TAX category code	2	ドキュメントレベルの返還請求の課税分類コード	1..1	Code	2730	/Invoice/cac:AllowanceCharge/cac:TaxCategory/cbc:ID
2280	ibt-096	Document level allowance TAX rate	2	ドキュメントレベルの返還請求の税率	0..1	Percent	2740	/Invoice/cac:AllowanceCharge/cac:TaxCategory/cbc:Percent
2285	ibt-096-1	Tax Scheme	2	税スキーマ	0..1	Code	2750	/Invoice/cac:AllowanceCharge/cac:TaxCategory/cbc:TaxScheme/cbc:ID
2310	ibg-21	DOCUMENT LEVEL CHARGES	1	ドキュメントレベルの追加請求	0..n	Group	2760	/Invoice/cac:AllowanceCharge
2315	ibt-099a	Charge indicator	2	追加請求フラグ	1..1	Indicator	2770	/Invoice/cac:AllowanceCharge/cbc:ChargeIndicator
2380	ibt-105	Document level charge reason code	2	ドキュメントレベルの追加請求の理由コード	0..1	Code	2780	/Invoice/cac:AllowanceCharge/cbc:AllowanceChargeReasonCode
2370	ibt-104	Document level charge reason	2	ドキュメントレベルの追加請求の理由	0..1	Text	2790	/Invoice/cac:AllowanceCharge/cbc:AllowanceChargeReason
2340	ibt-101	Document level charge percentage	2	ドキュメントレベルの追加請求の率	0..1	Percent	2800	/Invoice/cac:AllowanceCharge/cbc:MultiplierFactorNumeric
