ITCA_Path	level	ITCA_Card	EN_ID	EN_Level	EN_Card	EN_BT	EN_Desc	EN_DT			name	CCL_ID	共通EDI必須	インボイス必須	自動突合対応
/rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:IssueDateTime/udt:DateTimeString/@format	5		BT-2	1	1..1	Invoice issue date	The date when the Invoice was issued.	D	12	？					
/rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:PurposeCode	3								13	34	請求書目的コード	UN01005869	●		
/rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:CategoryCode	3								14	35	請求書類型コード	UN01005875			□
/rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:IncludedNote	3	0..n	BG-1	1	0..n	INVOICE NOTE	A group of business terms providing textual notes that are relevant for the invoice, together with an indication of the note  subject.		15	36	請求書注釈クラス	UN01005876			
/rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:IncludedNote/ram:Content	4	0..n	BT-22	2	1..1	Invoice note	A textual note that gives unstructured information that is relevant to the Invoice as a whole.	T	16	39	請求書注釈内容	UN01005560			
/rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:IncludedNote/ram:SubjectCode	4	0..1	BT-21	2	0..1	Invoice note subject code	The subject of the following textual note.	C	17	40	請求書注釈識別子	UN01005562			
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction	2	1..1							18	41	請求書取引内容クラス	UN01005936			
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement	3	1..1							19	42	請求書契約クラス	UN01005937			
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerReference	4	0..1	BT-10	1	0..1	Buyer reference	An identifier assigned by the Buyer used for internal routing purposes.	T	20	?					
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty	4	0..1	BG-4	1	1..1	SELLER	A group of business terms providing information about the Seller.		21	44	受注者クラス	UN01005879			
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:ID	5	0..n	BT-29	2	0..n	Seller identifier	An identification of the Seller.	I	22	46	受注者コード	UN01005757	〇		
/rsm:CrossIndustiyInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:GlobalID	5	0..n	BT-29	2	0..n	Seller identifier	An identification of the Seller.	I	23	47	受注者国際企業コード	UN01005758			
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:GlobalID/@schemeID	6		BT-291	3	0..1	Seller identifier identification scheme identifier	The identification scheme identifier of the Seller identifier.	S	24	?					
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:Name	5	0..1	BT-27	2	1..1	Seller name	The full formal name by which the Seller is registered in the national registry of legal entities or as a Taxable person or otherwise  trades as a person or persons.	T	25	48	受注者名称	UN01005759	〇	◎	
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:Description	5		BT-33	2	0..1	Seller additional legal information	Additional information relevant for Seller.	T	26	？					
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:SpecifiedLegalOrganization	5								27	？					
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:SpecifiedLegalOrganization/ram:ID	6		BT-30	2	0..1	Seller legal registration identifier	An identifier issued by an official registrar that identifies the Seller as a legal entity or person.	I	28	？					
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:SpecifiedLegalOrganization/ram:ID/@schemeID	7		BT-301	3	0..1	Seller legal registration identifier identification  scheme identifier	The identification scheme identifier of the Seller legal registration identifier.	S	29	？					
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:SpecifiedLegalOrganization/ram:TradingBusinessName	6	0..1	BT-28	2	0..1	Seller trading name	A name by which the Seller is known, other than Seller name (also known as Business name).	T	30	？					
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:DefinedTradeContact	5	0..n	BG-6	2	0..1	SELLER CONTACT	A group of business terms providing contact information about the Sellers		31	49	連絡先クラス	UN01005761			
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:DefinedTradeContact/ram:PersonName	6	0..1	BT-41	3	0..1	Seller contact point	A contact point for a legal entity or person.	T	32	52	受注者担当名	UN01005720			
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:DefinedTradeContact/ram:DepartmentName	6	0..1	BT-41	3	0..1	Seller contact point	A contact point for a legal entity or person.	T	33	53	受注者部門名	UN01005721			
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SeIlerTradeParty/ram:DefinedTradeContact/ram:TelephoneUniversalCommunication	6	0..1							34	54	電話通信クラス	UN01005726			
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:DefinedTradeContact/ram:TelephoneUniversalCommunication/ram:CompleteNumber	7	0..1	BT-42	3	0..1	Seller contact telephone number	A phone number for the contact point.	T	35	56	受注者電話番号	UN01005860			
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:DefinedTradeContact/ram:EmailURlUniversalCommunication	6								36						
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:DefinedTradeContact/ram:EmailURIUniversalCommunication/ram:URIID	7		BT-43	3	0..1	Seller contact email address	An e-mail address for the contact point.	T	37						
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:PostalTradeAddress	5		BG-5	2	1..1	SELLER POSTAL ADDRESS	A group of business terms providing information about the address of the Seller.		38						
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:PostalTradeAddress/ram:PostcodeCode	6		BT-38	3	0..1	Seller post code	The identifier for an addressable group of properties according to the relevant postal service.	T	39						
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:PostalTradeAddress/ram:LineOne	6		BT-35	3	0..1	Seller address line 1	The main address line in an address.	T	40						
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:PostalTradeAddress/ram:LineTwo	6		BT-36	3	0..1	Seller address line 2	An additional address line in an address that can be used to give further details supplementing the main line.	T	41						
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:PostalTradeAddress/ram:LineThree	6		BT-162		0..1	Seller address line 3	An additional address line in an address that can be used to give further details supplementing the main line.	T	42						
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:PostalTradeAddress/ram:CityName	6		BT-37	3	0..1	Seller city	The common name of the city, town or village, where the Seller address is located.	T	43						
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:PostaITradeAddress/ram:CountryID	6		BT-40	3	1..1	Seller country code	A code that identifies country.	C	44	×					
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:PostalTradeAddress/ram:CountrySubDivisionName	6		BT-39	3	0..1	Seller country subdivision	The subdivision of a country.	T	45	×					
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:URIUniversalCommunication	5								46	×					
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:URIUniversalCommunication/ram:URIID	6		BT-34	2	0..1	Seller electronic address	Identifies the Seller's electronic address to which a business document may be delivered.	I	47	×					
/rsm:CrossIndustryJnvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:URIUniversalCommunication/ram:URIID/@schemeID	7		BT-341	3	1..1	Seller electronic address identification scheme  identifier	The identification scheme identifier of the Seller electronic address	S	48	×					
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:SpecifiedTaxRegistration	5	0..n							49	57	適格請求書発行事業者登録クラス	UN01005764			
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:SpecifiedTaxRegistration/ram:ID	6	0..1	BT-31	2	0..1	Seller VAT identifier	The Seller's VAT identifier (also known as Seller VAT identification number).	I	50	59	適格請求書発行事業者登録番号	UN01005668			
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:SpecifiedTaxRegistration/ram:ID	6	0..1	BT-32	2	0..1	Seller tax registration identifier	The local identification (defined by the Seller's address) of the Seller for tax purposes or a reference that enables the Seller to  state his registered tax status.	I	51	？					
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:SpecifiedTaxRegistration/ram:ID/@schemeID	7								52	？					
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty	4	0..1	BG-7	1	1..1	BUYER	A group of business terms providing information about the Buyer.		53	60	発注者クラス	UN01005880			
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:ID	5	0..n	BT-46	2	0..n	Buyer identifier	An identifier of the Buyer.	I	54	62	発注者コード	UN01005757	〇		
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:GlobalID	5	0..n	BT-46	2	0..n	Buyer identifier	An identifier of the Buyer.	I	55	63	発注者国際企業コード	UN01005758			
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:GlobalID/@schemeID	6		BT-461	3	0..1	Buyer identifier identification scheme identifier	The identification scheme identifier of the Buyer identifier.	S	56	？					
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:Name	5	0..1	BT-44	2	1..1	Buyer name	The full name the Buyer.	T	57	64	発注者名称	UN01005759	〇	◎	
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:SpecifiedLegalOrganization	5	0..1							58	？					
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:SpecifiedLegalOrganization/ram:ID	6	0..1	BT-47	2	0..1	Buyer legal registration identifier	An identifier issued by an official registrar that identifies the Buyer as a legal entity or person.	I	59	？					
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:SpecifiedLegalOrganization/ram:ID/@schemeID	7		BT-471	3	0..1	Buyer legal registration identifier identification  scheme identifier	The identification scheme identifier of the Buyer legal registration identifier.	S	60	？					
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:SpecifiedLegalOrganization/ram:TradingBusinessName	6	0..1	BT-45	2	0..1	Buyer trading name	A name by which the Buyer is known, other than Buyer name (also known as Business name).	T	61	？					
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:DefmedTradeContact	5	0..n	BG-9	2	0..1	BUYER CONTACT	A group of business terms providing contact information relevant for the Buyer.		62						
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:DefinedTradeContact/ram:PersonName	6	0..1	BT-56	3	0..1	Buyer contact point	A contact point for a legal entity or person.	T	63						
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:DefinedTradeContact/ram:DepartmentName	6	0..1	BT-56	3	0..1	Buyer contact point	A contact point for a legal entity or person.	T	64						
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:DefinedTradeContact/ram:TelephoneUniversalCommunication	6	0..1							65						
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAsreement/ram:BuyerTradeParty/ram:DefinedTradeContact/ram:TelephoneUniversalCommunication/ram:CompleteNumber	7	0..1	BT-57	3	0..1	Buyer contact telephone number	A phone number for the contact point.	T	66						
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:DefinedTradeContact/ram:EmailURlUniversalCommunication	6	0..1							67						
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:DefmedTradeContact/ram:EmailURIUniversalCommunication/ram:URIID	7	0..1	BT-58	3	0..1	Buyer contact email address	An e-mail address for the contact point.	T	68						
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:PostalTradeAddress	5	0..1	BG-8	2	1..1	BUYER POSTAL ADDRESS	A group of business terms providing information about the postal address for the Buyer.		69						
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:PostalTradeAddress/ram:PostcodeCode	6	0..1	BT-53	3	0..1	Buyer post code	The identifier for an addressable group of properties according to the relevant postal service.	T	70						
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:PostalTradeAddress/ram:LineOne	6	0..1	BT-50	3	0..1	Buyer address line 1	The main address line in an address.	T	71						
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:PostalTradeAddress/ram:LineTwo	6	0..1	BT-51	3	0..1	Buyer address line 2	An additional address line in an address that can be used to give further details supplementing the main line.	T	72						
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:PostalTradeAddress/ram:LineThree	6	0..1	BT-163		0..1	Buyer address line 3	An additional address line in an address that can be used to give further details supplementing the main line.	T	73						
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:PostalTradeAddress/ram:CityName	6	0..1	BT-52	3	0..1	Buyer city	The common name of the city, town or village, where the Buyer's address is located.	T	74						
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:PostalTradeAddress/ram:CountryID	6	0..1	BT-55	3	1..1	Buyer country code	A code identifies country.	C	75						
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:PostalTradeAddress/ram:CountrySubDivisionName	6	0..n	BT-54	3	0..1	Buyer country subdivision	The subdivision of a country.	T	76						
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:URIUniversalCommunication	5	0..n							77	×					
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:URIUniversalCommunication/ram:URIID	6	0..1	BT-49	2	0..1	Buyer electronic address	Identifies the Buyer's electronic address to which a business document should be delivered.	I	78	×					
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:URIUniversalCommunication/ram:URIID/@schemeID	7		BT-491	3	1..1	Buyer electronic address identification scheme  identifier	The identification scheme identifier of the Buyer electronic address.	S	79	×					
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:SpecifiedTaxRegistration	5	0..n							80	？					
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:SpecifiedTaxRegistration/ram:ID	6	0..1	BT-48	2	0..1	Buyer VAT identifier	The Buyer's VAT identifier [also known as Buyer VAT identification number).	I	81	？					
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:SpecifiedTaxRegistration/ram:ID/@schemeID	7								82	？					
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty	4	0..1	BG-11	1	0..1	SELLER TAX REPRESENTATIVE PARTY	A group of business terms providing information about the Seller's tax representative.		83	？					
/rsm:CrossIndustiyInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:Name	5	0..1	BT-62	2	1..1	Seller tax represent ative name	The full name the Seller's representative party.	T	84	？					
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:PostalTradeAddress	5	0..1	BG-12	2	1..1	SELLER TAX REPRESENTATIVE POSTAL  ADDRESS	A group of business terms providing information about the postal address for the tax representative party.		85	？					
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:PostalTradeAddress/ram:PostcodeCode	6	0..1	BT-67	3	0..1	Tax represent ative post code	The identifier for an addressable group of properties according to the relevant postal service.	T	86	？					
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:PostalTradeAddress/ram:LineOne	6	0..1	BT-64	3	0..1	Tax represent ative address line 1	The main address line in an address.	T	87	？					
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:PostalTradeAddress/ram:LineTwo	6	0..1	BT-65	3	0..1	Tax represent ative address line 2	An additional address line in an address that can be used to give further details supplementing the main line.	T	88	？					
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SeIlerTaxRepresentativeTradeParty/ram:PostalTradeAddress/ram:LineThree	6	0..1	BT-164		0..1	Tax represent ative address line 3	An additional address line in an address that can be used to give further details supplementing the main line.	T	89	？					
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:PostalTradeAddress/ram:CityName	6	0..1	BT-66	3	0..1	Tax represent ative city	The common name of the city, town or village, where the tax representative address is located.	T	90	？					
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:PostalTradeAddress/ram:CountryID	6	0..1	BT-69	3	1..1	Tax represent ative country code	A code identifies country.	C	91	？					
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:PostalTradeAddress/ram:CountrySubDivisionName	6	0..n	BT-68	3	0..1	Tax represent ative country subdivision	The subdivision of a country.	T	92	？					
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:SpecifiedTaxRegistration	5	0..n							93	？					
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:SpecifiedTaxRegistration/ram:ID	6	0..1	BT-63	2	1..1	Seller tax represent ative VAT identifier	The VAT identifier of the Seller's tax representative party.	I	94	？					
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:SpecifiedTaxRegistration/ram:ID/@schemeID	7								95	？					
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerOrderReferencedDocument	4	0..1							96	↓					
/rsm:CrossIndustiyInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerOrderReferencedDocument/ram:IssuerAssignedID	5	0..1	BT-14	1	0..1	Sales order reference	An identifier of a referenced sales order, issued by the Seller.   	0	97	↓					
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerOrderReferencedDocument	4	0..1							98	↓					
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerOrderReferencedDocument/ram:IssuerAssignedID	5	0..1	BT-13	1	0..1	Purchase order reference	An identifier of a referenced purchase order, issued by the Buyer.	0	99	↓					
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:ContractReferencedDocument	4	0..1							100	↓					
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:ContractReferencedDocument/ram:IssuerAssignedID	5	0..1	BT-12	1	0..1	Contract reference	The identification of a contract.	0	101	↓					
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:AdditionalReferencedDocument	4	0..n	BG-24	1	0..n	ADDITIONAL SUPPORTING DOCUMENTS	A group of business terms providing information about additional supporting documents substantiating the claims made in the  Invoice.		102	↓					
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:AdditionalReferencedDocument/ram:IssuerAssignedID	5	0..1	BT-122	2	1..1	Supportin g document reference	An identifier of the supporting document.	0	103	↓					
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:AdditionalReferencedDocument/ram:IssuerAssignedID	5	0..1	BT-17	1	0..1	Tender or lot reference	The identification of the call for tender or lot the invoice relates to.	0	104	↓					
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:AdditionalReferencedDocument/ram:IssuerAssignedID	5	0..1	BT-18	1	0..1	Invoiced object identifier	The identification of the call for tender or lot the invoice relates to.	I	105	↓					
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:AdditionalReferencedDocument/ram:URIID	5	0..1	BT-124	2	0..1	External document location	The URL (Uniform Resource Locator) that identifies where the external document is located.	T	106	↓					
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:AppIicableHeaderTradeAgreement/ram:AdditionalReferencedDocument/ram:TypeCode	5	0..1	BT-122	2	1..1	Supportin g document reference	An identifier of the supporting document.	0	107	↓					
/rsm:CrossIndustiyInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:AdditionalReferencedDocument/ram:TypeCode	5	0..1	BT-17	1	0..1	Tender or lot reference	The identification of the call for tender or lot the invoice relates to. Fixed value '50'	0	108	↓					
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:AdditionalReferencedDocument/ram:TypeCode	5	0..1	BT-18	1	0..1	Invoiced object identifier	The identification of the call for tender or lot the invoice relates to. Fixed value '130'	I	109	↓					
