EN_Parent	EN_ID	EN_Level	EN_Card	EN_BT	EN_Desc	EN_DT	UBL_Path	UBL_Type	UBL_Card	UBL_Match	UBL_Rules
BG-5	BT-35	3 	0..1	Seller address line 1	The main address line in an address.	T	/CreditNote/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:StreetName	N	0..1	STR-5	
BG-5	BT-36	3 	0..1   	Seller address line 2	An additional address line in an address that can be used to give further details supplementing the main line.	T	/CreditNote/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:AdditionalStreetName	N	0..1	STR-5	
BG-5	BT-162	3	0..1	Seller address line 3	An additional address line in an address that can be used to give further details supplementing the line.	T	/CreditNote/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cac:AddressLine/cbc:Line	T	0..n	CAR-3	
BG-5	BT-37	3 	0..1	Seller city	"The common name of the city, town or village, where the Seller address is located."	T	/CreditNote/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:CityName	N	0..1		
BG-5	BT-38	3 	0..1	Seller post code	The identifier for an addressable group of properties according to the relevant postal service.	T	/CreditNote/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:PostalZone	T	0..1		
BG-5	BT-39	3 	0..1	Seller country subdivision	The subdivision country.	T	/CreditNote/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:CountrySubentity	T	0..1		
BG-5	BT-40	3 	1..1	Seller country code	A code that identifies the country.	C	/CreditNote/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cac:Country/cbc:IdentificationCode	C	0..1	CAR-2	
BG-4	BG-6	2 	0..1	SELLER CONTACT	A group of business terms providing contact information about the Seller.s		/CreditNote/cac:AccountingSupplierParty/cac:Party/cac:Contact		0..1		
BG-6	BT-41	3 	0..1	Seller contact point	A contact point for a legal entity or person.	T	/CreditNote/cac:AccountingSupplierParty/cac:Party/cac:Contact/cbc:Name	N	0..1		
BG-6	BT-42	3 	0..1	Seller contact telephone number	A phone number for the contact point.	T	/CreditNote/cac:AccountingSupplierParty/cac:Party/cac:Contact/cbc:Telephone	T	0..1		
BG-6	BT-43	3 	0..1	Seller contact email address	An e-mail address for the contact point.	T	/CreditNote/cac:AccountingSupplierParty/cac:Party/cac:Contact/cbc:ElectronicMail	T	0..1		
root	BG-7	1 	1..1	BUYER	A group of business terms providing information about the Buyer.		/CreditNote/cac:AccountingCustomerParty		1..1		
BG-7	BT-44	2 	1..1	Buyer name	The full name of the Buyer.	T	/CreditNote/cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity/cbc:RegistrationName	N	0..n	"CAR-2, CAR-3"	
BG-7	BT-45	2 	0..1	Buyer trading name	"A name by which the Buyer is known, other than Buyer name (also known as Business name)."	T	/CreditNote/cac:AccountingCustomerParty/cac:Party/cac:PartyName/cbc:Name	N	0..n	CAR-3	
BG-7	BT-46	2 	0..1	Buyer identifier	An identifier Buyer.	I	/CreditNote/cac:AccountingCustomerParty/cac:Party/cac:Partyldentification/cbc:ID	I	0..n	CAR-3	
BT-46	BT-46-1	3 	0..1	Buyer identifier identificati on scheme identifier	The identification scheme identifier of the Buyer identifier.	S	/CreditNote/cac:AccountingCustomerParty/cac:Party/cac:PartyIdentification/cbc:ID/@schemeID	I	0..1		
BG-7	BT-47	2 	0..1	Buyer legal registratio n identifier	An identifier issued by an official registrar that identifies the Buyer as a legal entity or person.	I	/CreditNote/cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID	I	0..n	CAR-3	
BT-47	BT-47-1	3 	0..1	Buyer legal registratio n identifier identificati on scheme identifier	The identification scheme identifier of the Buyer legal registration identifier.	S	/CreditNote/cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID/@schemelD	I	0..1		
BG-7	BT-48	2 	0..1	Buyer VAT identifier	The Buyer's VAT identifier (also known as Buyer VAT identification number).	I	/CreditNote/cac:AccountingCustomerParty/cac:Party/cac:PartyTaxScheme/cbc:CompanyID	I	0..n	"CAR-3, SEM-2"	
BG-7	BT-49	2 	0..1	Buyer electronic address	Identifies the Buyer's electronic address to which a business document should be delivered.	I	/CreditNote/cac:AccountingCustomerParty/cac:Party/cbc:EndpointID	I	0..1		
BT-49	BT-49-1	3 	1..1	Buyer electronic address identificati on scheme identifier	The identification scheme identifier of the Buyer electronic address.	S	/CreditNote/cac:AccountingCustomerParty/cac:Party/cbc:EndpointID/@schemeID	I	0..1	CAR-2	
BG-7	BG-8	2 	1..1	BUYER POSTAL ADDRESS	A group of business terms providing information about the postal address for the Buyer.   		/CreditNote/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress		0..1	CAR-2	
BG-8	BT-50	3 	0..1	Buyer address line 1	The main address line in an address.	T	/CreditNote/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:StreetName	N	0..1	STR-5	
BG-8	BT-51	3 	0..1	Buyer address line 2	An additional address line in an address that can be used to give further details supplementing the main line.	T	/CreditNote/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:AdditionalStreetName		0..1	STR-5	
BG-8	BT-163	3	0..1	Buyer address line 3	An additional address line in an address that can be used to give further details supplementing the main line.	T	/CreditNote/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cac:AddressLine/cbc:Line	T	0..n	CAR-3	
BG-8	BT-52	3 	0..1	Buyer city	"The common name of the city, town or village, where the Buyer's address is located."	T	/CreditNote/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:CityName	N	0..1		
BG-8	BT-53	3 	0..1	Buyer post code	The identifier for an addressable group of properties according to the relevant postal service.	T	/CreditNote/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:PostalZone	T	0..1		
BG-8	BT-54	3 	0..1	Buyer country subdivision	The subdivision country.	T	/CreditNote/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:CountrySubentity	T	0..1		
BG-8	BT-55	3 	1..1	Buyer country code	A code that identifies the country.	C	/CreditNote/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cac:Country/cbc:IdentificationCode	C	0..1	CAR-2	
BG-7	BG-9	2 	0..1	BUYER CONTACT	A group of business terms providing contact information relevant for the Buyer.		/CreditNote/cac:AccountingCustomerParty/cac:Party/cac:Contact			m	
BG-9	BT-56	3 	0..1	Buyer contact point	A contact point for a legal entity or person.	T	/CreditNote/cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:Name	N	0..1		
BG-9	BT-57	3 	0..1	Buyer contact telephone number	A phone number for the contact point.	T	/CreditNote/cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:Telephone	T	0..1		
BG-9	BT-58	3 	0..1	Buyer contact email address	An e-mail address for the contact point.	T	/CreditNote/cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:ElectronicMail	T	0..1		
root	BG-10	1 	0..1	PAYEE	"A group of business terms providing information about the Payee, i.e. the role that receives the payment."		/CreditNote/cac:PayeeParty		0..1		
BG-10	BT-59	2 	1..1	Payee name	The name of the Payee.	T	/CreditNote/cac:PayeeParty/cac:PartyName/cbc:Name	N	0..n	"CAR-2, CAR-3"	
BG-10	BT-60	2 	0..1	Payee identifier	An identifier for the Payee.	I	/CreditNote/cac:PayeeParty/cac:PartyIdentifIcation/cbc:ID	I	0..n	CAR-3	
BT-60	BT-60-1	3 	0..1	Payee identifier identificati on scheme identifier	The identification scheme identifier of the Payee identifier.	S	/CreditNote/cac:PayeeParty/cac:PartyIdentification/cbc:ID/@schemeID	I	0..1		
BG-10	BT-61	2 	0..1	Payee legal registratio n identifier	An identifier issued by an official registrar that identifies the Payee as a legal entity or person.	I	/CreditNote/cac:PayeeParty/cac:PartyLegalEntity/cbc:CompanyID		0..n	CAR-3	
BT-61	BT-61-1	3 	0..1	Payee legal registratio n identifier identificati on scheme identifier	The identification scheme identifier of the Payee legal registration identifier.	S	/CreditNote/cac:PayeeParty/cac:PartyLegalEntity/cbc:CompanyID/@schemeID	I	0..1		
root	BG-11	1 	0..1	SELLER TAX REPRESENTATIVE PARTY	A group of business terms providing information about the Seller's tax representative.		/CreditNote/cac:TaxRepresentativeParty		0..1		
BG-11	BT-62	2 	1..1	Seller tax representative name	The full name of Seller's representative party.	T	/CreditNote/cac:TaxRepresentativeParty/cac:PartyName/cbc:Name	N	0..n	"CAR-2, CAR-3"	
BG-11	BT-63	2 	1..1	Seller tax representative VAT identifier	The VAT identifier of the Seller's tax representative party.	I	/CreditNote/cac:TaxRepresentativeParty/cac:PartyTaxScheme/cbc:CompanyID	I	0..n	"CAR-2, CAR-3"	
BG-11	BG-12	2 	1..1	SELLER TAX REPRESENTATIVE POSTAL ADDRESS	A group of business terms providing information about the postal address for the tax representative party.   		/CreditNote/cac:TaxRepresentativeParty/cac:PostalAddress		0..1	CAR-2	
BG-12	BT-64	3 	0..1	Tax representative address line 1	The main address line in an address.	T	/CreditNote/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:StreetName		0..1	STR-5	
BG-12	BT-65	3 	0..1	Tax representative address line 2	An additional address line in an address that can be used to give further details supplementing the main line.	T	/CreditNote/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:AdditionalStreetName	N	0..1	STR-5	
BG-12	BT-164	3	0..1	Tax representative address line 3	An additional address line in an address that can be used to give further details supplementing the main line.	T	/CreditNote/cac:TaxRepresentativeParty/cac:PostalAddress/cac:AddressLine/cbc:Line	T	0..n	CAR-3	
BG-12	BT-66	3 	0..1	Tax representative city	"The common name of the city, town or village, where the tax representative address is located."	T	/CreditNote/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:CityName	N	0..1		
BG-12	BT-67	3 	0..1	Tax representative post code	The identifier for an addressable group of properties according to the relevant postal service.	T	/CreditNote/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:PostalZone	T	0..1		
BG-12	BT-68	3 	0..1	Tax representative country subdivision	The subdivision country.	T	/CreditNote/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:CountrySubentity	T	0..1		
BG-12	BT-69	3 	1..1	Tax representative country code	A code that identifies the country.	C	/CreditNote/cac:TaxRepresentativeParty/cac:PostalAddress/cac:Country/cbc:IdentificationCode	C	0..1	CAR-2	
root	BG-13	1 	0..1	DELIVERY INFORMATION	A group of business terms providing information about where and when the goods and services invoiced are delivered.		/CreditNote/cac:Delivery		0..n	CAR-3	
BG-13	BT-70	2 	0..1	Deliver to party name	The name of the party to which the goods and services are delivered.	T	/CreditNote/cac:Delivery/cac:DeliveryParty/cac:PartyName/cbc:Name	N	0..n	CAR-3	
BG-13	BT-71	2 	0..1	Deliver to location identifier	An identifier for the location at which the goods and services are delivered.	I	/CreditNote/cac:Delivery/cac:DeliveryLocation/cbc:ID	I	0..1		
BT-71	BT-71-1	3 	0..1	Deliver to location identifier identificati on scheme identifier	The identification scheme identifier of the Deliver to location identifier.	S	/CreditNote/cac:Delivery/cac:DeliveryLocation/cbc:ID/@schemeID	I	0..1		
BG-13	BT-72	2 	0..1	Actual delivery date	The date on which the delivery is made.	D	/CreditNote/cac:Delivery/cbc:ActualDeliveryDate	D			
BG-13	BG-14	2 	0..1	DELIVERY OR INVOICE PERIOD	A group of business terms providing information on the invoice period.		/CreditNote/cac:InvoicePeriod		0..n	CAR-3	
BG-14	BT-73	3 	0..1	Invoicing period start date	The date when the Invoice period starts.	D	/CreditNote/cac:InvoicePeriod/cbc:StartDate	D	0..1		
BG-14	BT-74	3 	0..1	Invoicing period end date	The date when Invoice period ends.	D	/CreditNote/cac:InvoicePeriod/cbc:EndDate	D	0..1		
BG-13	BG-15	2 	0..1	DELIVER TO ADDRESS	A group of business terms providing information about the address to which goods and services invoiced were or are delivered.		/CreditNote/cac:Delivery/cac:DeliveryLocation/cac:Address		0..1		
BG-15	BT-75	3 	0..1	Deliver to address line 1	The main address line in an address.	T	/CreditNote/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:StreetName	N	0..1	STR-5	
BG-15	BT-76	3 	0..1	Deliver to address line 2	An additional address line in an address that can be used to give further details supplementing the main line.	T	/CreditNote/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:AdditionalStreetName	N	0..1	STR-5	
BG-15	BT-165	3	0..1	Deliver to address line 3	An additional address line in an address that can be used to give further details supplementing the main line.	T	/CreditNote/cac:Delivery/cac:DeliveryLocation/cac:Address/cac:AddressLine/cbc:Line		0..n	CAR-3	
BG-15	BT-77	3 	0..1	Deliver to city	"The common name of the city, town or village, where the deliver to address is located."	T	/CreditNote/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:CityName	N	0..1		
BG-15	BT-78	3 	0..1	Deliver to post code	The identifier for an addressable group of properties according to the relevant postal service.   	T	/CreditNote/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:PostalZone	T	0..1		
BG-15	BT-79	3 	0..1	Deliver to country subdivision	The subdivision country.	T	/CreditNote/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:CountrySubentity	T	0..1		
BG-15	BT-80	3 	1..1	Deliver to country code	A code that identifies the country.	C	/CreditNote/cac:Delivery/cac:DeliveryLocation/cac:Address/cac:Country/cbc:IdentificationCode	C	0..1	CAR-2	
root	BG-16	1 	0..1	PAYMENT INSTRUCTIONS	A group of business terms providing information about the payment.		/CreditNote/cac:PaymentMeans		0..n	CAR-3	
BG-16	BT-81	2 	1..1	Payment means type code	"The means, expressed as code, for how a payment is expected to be or has been settled."	C	/CreditNote/cac:PaymentMeans/cbc:PaymentMeansCode	C	1..1		
BG-16	BT-82	2 	0..1	Payment means text	"The means, expressed as text, for how a payment is expected to be or has been settled."	T	/CreditNote/cac:PaymentMeans/cbc:PaymentMeansCode/@name	T	0..n	"CAR-3, SEM-2"	
BG-16	BT-83	2 	0..1	Remittanc e informatio n	"A textual value used to establish a link between the payment and the Invoice, issued by the Seller."	T	/CreditNote/cac:PaymentMeans/cbc:PaymentID	I	0..n	CAR-3	
BG-16	BG-17	2 	0..n	CREDIT TRANSFER	A group of business terms to specify credit transfer payments.		/CreditNote/cac:PaymentMeans/cac:PayeeFinancialAccount		0..1		
BG-17	BT-84	3 	1..1	Payment account identifier	"A unique identifier of the financial payment account, at a payment service provider, to which payment should be made."	I	/CreditNote/cac:PaymentMeans/cac:PayeeFinancialAccount/cbc:ID	I	1..1		
BG-17	BT-85	3 	0..1	Payment account name	"The name of the payment account, at a payment service provider, to which payment should be made."	T	/CreditNote/cac:PaymentMeans/cac:PayeeFinancialAccount/cbc:Name	N	0..1		
BG-17	BT-86	3 	0..1	Payment service provider identifier	An identifier for the payment service provider where a payment account is located.	I	/CreditNote/cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cbc:ID	I	0..1		
BG-16	BG-18	2 	0..1	PAYMENT CARD INFORMATION	A group of business terms providing information about card used for payment contemporaneous with invoice issuance.		/CreditNote/cac:PaymentMeans/cac:CardAccount				
BG-18	BT-87	3 	1..1	Payment card primary account number	The Primary Account Number (PAN] of the card used for payment.	T	/CreditNote/cac:PaymentMeans/cac:CardAccount/cbc:PrimaryAccountNumberID	I	1..1		
BG-18	BT-88	3 	0..1	Payment card holder name	The name of the payment card holder.	T	/CreditNote/cac:PaymentMeans/cac:CardAccount/cbc:HolderName	N	0..1		
BG-16	BG-19	2 	0..1	DIRECT DEBIT	A group of business terms to specify a direct debit.		/CreditNote/cac:PaymentMeans/cac:PaymentMandate		0..1		
BG-19	BT-89	3 	0..1	Mandate reference identifier	Unique identifier assigned by the Payee for referencing the direct debit mandate.	I	/CreditNote/cac:PaymentMeans/cac:PaymentMandate/cbc:ID	I	0..1		
BG-19	BT-90	3 	0..1	Bank assigned creditor identifier	Unique banking reference identifier of the Payee or Seller assigned by the Payee or Seller bank.	I	/CreditNote/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification/cbc:ID	I	0..n	CAR-3	with @schemeID = 'SEPA'
BG-19	BT-90	3 	0..1	Bank assigned creditor identifier	Unique banking reference identifier of the Payee or Seller assigned by the Payee or Seller bank.	I	/CreditNote/cac:PayeeParty/cac:PartyIdentification/cbc:ID	I	0..n	CAR-3	with @schemeID = 'SEPA'
BG-19	BT-91	3 	0..1	Debited account identifier	The account to debited by the c debit.	I	/CreditNote/cac:PaymentMeans/cac:PaymentMandate/cac:PayerFinancialAccount/cbc:ID	I	0..1		
root	BG-20	1 	0..n	DOCUMEN T LEVEL ALLOWANCES	A group of business terms providing information about allowances applicable to the Invoice as a whole.		/CreditNote/cac:AllowanceCharge		0..n	SEM-2	with cbc:ChargeIndicator = 'false'
BG-20	BT-92	2 	1..1	Document level allowance amount	"The amount of an allowance, without VAT."	A	/CreditNote/cac:AllowanceCharge/cbc:Amount	A	1..1		with cbc:ChargeIndicator = 'false'
BG-20	BT-93	2 	0..1	Document level allowance base amount	"The base amount that may be used, in conjunction with the document level allowance percentage, to calculate the document level allowance amount.   "	A	/CreditNote/cac:AllowanceCharge/cbc:BaseAmount	A	0..1		with cbc:ChargeIndicator = 'false'
BG-20	BT-94	2 	0..1	Document level allowance percentage	"The percentage that may be used, in conjunction with the document level allowance base amount, to calculate the document allowance amount."	P	/CreditNote/cac:AllowanceCharge/cbc:MultiplierFactorNumeric	N	0..1	SEM-2	with cbc:ChargeIndicator = 'false'
BG-20	BT-95	2 	1..1	Document level allowance VAT category code	A coded identification of what VAT category applies to the document level allowance.	C	/CreditNote/cac:AllowanceCharge/cac:TaxCategory/cbc:ID	I	0..n	"CAR-2, CAR-3, SEM-2"	with cbc:ChargeIndicator = 'false'
BG-20	BT-96	2 	0..1	Document level allowance VAT rate	"The VAT rate, represented as percentage that applies to the document level allowance."	P	/CreditNote/cac:AllowanceCharge/cac:TaxCategory/cbc:Percent	p	0..n	"CAR-3, SEM-2"	with cbc:ChargeIndicator = 'false'
BG-20	BT-97	2 	0..1	Document level allowance reason	"The reason for the document level allowance, expressed as text."	T	/CreditNote/cac:AllowanceCharge/cbc:AllowanceChargeReason	T	0..n	CAR-3	with cbc:ChargeIndicator = 'false'
BG-20	BT-98	2 	0..1	Document level allowance reason code	"The reason for the document level allowance, expressed as a code."	C	/CreditNote/cac:AllowanceCharge/cbc:AllowanceChargeReasonCode	C	0..1		with cbc:ChargeIndicator = 'false'
root	BG-21	1 	0..n	DOCUMEN T LEVEL CHARGES	"A group of business terms providing information about charges and taxes other than VAT, applicable to the Invoice as a whole."		/CreditNote/cac:AllowanceCharge		0..n	SEM-2	with cbc:ChargeIndicator = 'true'
BG-21	BT-99	2 	1..1	Document level charge amount	"The amount of a charge, without VAT."	A	/CreditNote/cac:AllowanceCharge/cbc:Amount		1..1		with cbc:ChargeIndicator = 'true'
BG-21	BT-100	2 	0..1	Document level charge base amount	"The base amount that may be used, in conjunction with the document level charge percentage, to calculate the document level charge amount."	A	/CreditNote/cac:AllowanceCharge/cbc:BaseAmount	A	0..1		with cbc:ChargeIndicator = 'true'
BG-21	BT-101	2 	0..1	Document level charge percentage	"The percentage that may be used, in conjunction with the document level charge base amount, to calculate the document level charge amount."	P	/CreditNote/cac:AllowanceCharge/cbc:MultiplierFactorNumeric	N	0..1	SEM-2	with cbc:ChargeIndicator = 'true'
BG-21	BT-102	2 	1..1	Document level charge VAT category code	A coded identification of what VAT category applies to the document level charge.	C	/CreditNote/cac:AllowanceCharge/cac:TaxCategory/cbc:ID		0..n	"CAR-2, CAR-3, SEM-2"	with cbc:ChargeIndicator = 'true'
BG-21	BT-103	2 	0..1	Document level charge VAT rate	"The VAT rate, represented as percentage that applies to the document level charge."	P	/CreditNote/cac:AllowanceCharge/cac:TaxCategory/cbc:Percent	p	0..n	"CAR-3, SEM-2"	with cbc:ChargeIndicator = 'true'
