Path	Card.	ID	Level	Card.	BT	Desc.	DT
/Invoice/cac:InvoicePeriod/cbc:StartDate	0..1	BT-73	3 	0..1	Invoicing period start date	The date when the Invoice period starts.	D
/Invoice/cac:InvoicePeriod/cbc:EndDate	0..1	BT-74	3 	0..1	Invoicing period end date	The date when the Invoice period ends.	D
/Invoice/cac:InvoicePeriod/cbc:DescriptionCode	0..n	BT-8	1 	0..1	Value added tax point date code	The code of the date when the VAT becomes accountable for the Seller and for the Buyer.	C
/Invoice/cac:OrderReference	0..1						
/Invoice/cac:OrderReference/cbc:ID	1..1	BT-13	1 	0..1	Purchase order reference	"An identifier of a referenced purchase order, issued by the Buyer."	0 
/Invoice/cac:OrderReference/cbc:SalesOrderID	0..1	BT-14	1 	0..1	Sales order reference	"An identifier of a referenced sales order, issued by the Seller."	0 
/Invoice/cac:BillingReference	0..n						
/Invoice/cac:BillingReference/cac:InvoiceDocumentReference	0..1	BG-3	1 	0..n	PRECEDING INVOICE REFERENCE	A group of business terms providing information on one or more preceding Invoices.	
/Invoice/cac:BillingReference/cac:InvoiceDocumentReference/cbc:ID	1..1	BT-25	2 	1..1	Preceding Invoice number	The identification of an Invoice that was previously sent by the Seller.	0 
/Invoice/cac:BillingReference/cac:InvoiceDocumentReference/cbc:IssueDate	0..1	BT-26	2 	0..1	Preceding Invoice issue date	The date when the Preceding Invoice was issued.	D
/Invoice/cac:DespatchDocumentReference	0..n						
/Invoice/cac:DespatchDocumentReference/cbc:ID	1..1	BT-16	1 	0..1	Despatch advice reference	An identifier of a referenced despatch advice.	0 
/Invoice/cac:ReceiptDocumentReference	0..n						
/Invoice/cac:ReceiptDocumentReference/cbc:ID	1..1	BT-15	1 	0..1	Receiving advice reference	An identifier of a referenced receiving advice.	0 
/Invoice/cac:OriginatorDocumentReference	0..n						
/Invoice/cac:OriginatorDocumentReference/cbc:ID	1..1	BT-17	1 	0..1	Tender or reference	The identification of the call for tender or lot the invoice relates to.   	0 
/Invoice/cacContractDocumentReference	0..n						
/Invoice/cac:ContractDocumentReference/cbc:ID	1..1	BT-12	1 	0..1	Contract reference	The identification of a contract.	0 
/Invoice/cac:AdditionalDocumentReference	0..n	BG-24	1 	0..n	ADDITIONAL SUPPORTING DOCUMENTS	A group of business terms providing information about additional supporting documents substantiating the claims made in the Invoice.	
/Invoice/cac:AdditionalDocumentReference/cbc:ID	1..1	BT-18	1 	0..1	Invoiced object identifier	The identification of the call for tender or lot the invoice relates to.	I
/Invoice/cac:AdditionalDocumentReference/cbc:ID	1..1	BT-122	2 	1..1	Supporting document reference	An identifier of the supporting document.	0 
/Invoice/cac:AdditionalDocumentReference/cbc:ID/@schemeID	0..1	BT-18-1	2 	0..1	Scheme identifier	The identification scheme identifier of the Invoiced object identifier.	S
/Invoice/cac:AdditionalDocumentReference/cbc:DocumentDescription	0..1	BT-123	2 	0..1	Supporting document description	A description of the supporting document.	T
/Invoice/cac:AdditionalDocumentReference/cac:Attachment	0..1						
/Invoice/cac:AdditionalDocumentReference/cac:Attachment/cbc:EmbeddedDocumentBinaryObject	0..1	BT-125	2 	0..1	Attached document	An attached document embedded as binary object or sent together with the invoice.	B
/Invoice/cac:AdditionalDocumentReference/cac:Attachment/cbc:EmbeddedDocumentBinaryObject/@mimeCode	1..1	BT-1251	3 	1..1	Attached document Mime code	The mime code of the attached document.	S
/Invoice/cac:AdditionalDocumentReference/cac:Attachment/cbc:EmbeddedDocumentBinaryObject/@filename	0..1	BT-1252	3 	1..1	Attached document Filename	The file name of the attached document	S
/Invoice/cac:AdditionalDocumentReference/cac:Attachment/cac:ExternalReference	0..1						
/Invoice/cac:AdditionalDocumentReference/cac:Attachment/cac:ExternalReference/cbc:URI	0..1	BT-124	2 	0..1	External document location	The URL (Uniform Resource Locator) that identifies where the external document is located.	T
/Invoice/cac:ProjectReference	0..n						
/Invoice/cac:ProjectReference/cbc:ID	1..1	BT-11	1 	0..1	Project reference	The identification of the project the invoice refers to.	0 
/Invoice/cac:AccountingSupplierParty	1..1	BG-4	1 	1..1	SELLER	A group of business terms providing information about the Seller.	
/Invoice/cac:AccountingSupplierParty/cac:Party	0..1						
/Invoice/cac:AccountingSupplierParty/cac:Party/cbc:EndpointID	0..1	BT-34	2 	0..1	Seller electronic address	Identifies the Seller's electronic address to which a business document may be delivered.	I
/Invoice/cac:AccountingSupplierParty/cac:Party/cbc:EndpointID/@schemeID	 0..1	BT-34-1	3 	1..1	Seller electronic address identification scheme identifier	The identification scheme identifier of the Seller electronic address	S
/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification	0..n						
/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification/cbc:ID	1..1	BT-29	2 	0..n	Seller identifier	An identification of the Seller.	I
/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification/cbc:ID	1..1	BT-90	3 	0..1	Bank assigned creditor identifier	Unique banking reference identifier of the Payee or Seller assigned by the Payee or Seller bank.	I
/Invoice/cac:AccountingSupplierParty/cac:Party/cac;PartyIdentification/cbc:ID/@schemeID	0..1	BT-29-1	3 	0..1	Seller identifier identification scheme identifier	The identification scheme identifier of the Seller identifier.	S
/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyName	0..n						
/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyName/cbc:Name	1..1	BT-28	2 	0..1	Seller trading name	"A name by which the Seller is known, other than Seller name (also known as Business name)."	T
/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress	0..1	BG-5	2 	1..1	SELLER POSTAL ADDRESS	A group of business terms providing information about the address of the Seller.	
/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:StreetName	0..1	BT-35	3 	0..1	Seller address line 1   	The main address line in an address.	T
/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:AdditionalStreetName	0..1	BT-36	3 	0..1	Seller address line 2	An additional address line in an address that can be used to give further details supplementing the main line.	T
/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:CityName	0..1	BT-37	3 	0..1	Seller city	"The common name of the city, town or village, where the Seller address is located."	T
/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:PostalZone	0..1	BT-38	3 	0..1	Seller post code	The identifier for an addressable group of properties according to the relevant postal service.	T
/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:CountrySubentity	0..1	BT-39	3 	0..1	Seller country subdivision	The subdivision of a country.	T
/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cac:AddressLine	0..n						
/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cac:AddressLine/cbc:Line	1..1	BT-162		0..1	Seller address line 3	An additional address line in an address that can be used to give further details supplementing the main line.	T
/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cac:Country	0..1						
/Invo!ce/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cac:Country/cbc:IdentificationCode	0..1	BT-40	3 	1..1	Seller country code	A code that identifies the country.	C
/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme	0..n						
/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cbc:CompanyID	0..1	BT-31	2 	0..1	Seller VAT identifier	The Seller's VAT identifier (also known as Seller VAT identification number].	I
/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cbc:CompanyID	0..1	BT-32	2 	0..1	Seller tax registration identifier	The local identification (defined by the Seller's address) of the Seller for tax purposes or a reference that enables the Seller to state his registered tax status.	I
/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cac:TaxScheme	1..1						
/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cac:TaxScheme/cbc:ID	0..1					Mandatory element. Use 'VAT'	
/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity	0..n						
/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:RegistrationName	0..1	BT-27	2 	1..1	Seller name	The full formal name by which the Seller is registered in the national registry of legal entities or as a Taxable person or otherwise trades as a person or persons.	T
/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID	0..1	BT-30	2 	0..1	Seller legal registration identifier	An identifier issued by an official registrar that identifies the Seller as a legal entity or person.	I
/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID/@schemeID	0..1	BT-30-1	3 	0..1	Seller legal registration identifier identification scheme identifier	The identification scheme identifier of the Seller legal registration identifier.	S
/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyLegalForm	0..1	BT-33	2 	0..1	Seller additional legal information	Additional legal information relevant for the Seller.	T
/Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact	0..1	BG-6	2 	0..1	SELLER CONTACT	A group of business terms providing contact information about the Sellers	
/Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact/cbc:Name	0..1	BT-41	3 	0..1	Seller contact point	A contact point for a legal entity or person.	T
/Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact/cbc:Telephone	0..1	BT-42	3 	0..1	Seller contact telephone number	A phone number for the contact point.	T
/Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact/cbc:ElectronicMail	0..1	BT-43	3 	0..1	Seller contact email address	An e-mail address for the contact point.	T
/Invoice/cac:AccountingCustomerParty	1..1	BG-7	1 	1..1	BUYER	A group of business terms providing information about the Buyer.	
/Invoice/cac:AccountingCustomerParty/cac:Party	0..1						
/Invoice/cac:AccountingCustomerParty/cac:Party/cbc:EndpointID	0..1	BT-49	2 	0..1	Buyer electronic address	Identifies the Buyer's electronic address to which a business document should be delivered.	I
/Invoice/cac:AccountingCustomerParty/cac:Party/cbc:EndpointID/@schemeID	0..1	BT-49-1	3 	1..1	Buyer electronic address identification scheme identifier	The identification scheme identifier of the Buyer electronic address.	S
/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyIdentification	0..n						
/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyIdentification/cbc:ID	1..1	BT-46	2 	0..1	Buyer identifier	An identifier of the Buyer.	I
/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyIdentification/cbc:ID/@schemeID	0..1	BT-46-1	3 	0..1	Buyer identifier identification scheme identifier	The identification scheme identifier of the Buyer identifier.	S
/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyName	0..n						
/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyName/cbc:Name	1..1	BT-45	2 	0..1	Buyer trading name	"A name by which the Buyer is known, other than Buyer name (also known as Business name)."	T
/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostaIAddress	0..1	BG-8	2 	1..1	BUYER POSTAL ADDRESS	A group of business terms providing information about the postal address for the Buyer.	
/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:StreetName	0..1	BT-50	3 	0..1	Buyer address line 1	The main address line in an address.	T
/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:AdditionalStreetName	0..1	BT-51	3 	0..1	Buyer address line 2	An additional address line in an address that can be used to give further details supplementing the main line.	T
/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:CityName	0..1	BT-52	3 	0..1	Buyer city	"The common name of the city, town or village, where the Buyer's address is located."	T
/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:PostalZone	0..1	BT-53	3 	0..1	Buyer post code	The identifier for an addressable group of properties according to the relevant postal service.	T
/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:CountrySubentity	0..1	BT-54	3 	0..1	Buyer country subdivision	The subdivision of a country.	T
/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cac:AddressLine	0..n						
/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cac:AddressLine/cbc:Line	1..1	BT-163		0..1	Buyer address line 3	An additional address line in an address that can be used to give further details supplementing the main line.	T
/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cac:Country	0..1						
/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cac:Country/cbc:IdentificationCode	0..1	BT-55	3 	1..1	Buyer country code	A code that identifies the country.	C
/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyTaxScheme	0..n						
/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyTaxScheme/cbc:CompanyID	0..1	BT-48	2 	0..1	Buyer VAT identifier	The Buyer's VAT identifier (also known as Buyer VAT identification number).	I
/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyTaxScheme/cac:TaxScheme	1..1						
/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyTaxScheme/cac:TaxScheme/cbc:ID	0..1					Mandatory element. Use 'VAT'	
/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity	0..n						
/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity/cbc:RegistrationName	0..1	BT-44	2 	1..1	Buyer name	The full name of the Buyer.	T
/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID	0..1	BT-47	2 	0..1	Buyer legal registration identifier	An identifier issued by an official registrar that identifies the Buyer as a legal entity or person.	I
/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID/@schemeID	0..1	BT-47-1	3 	0..1	Buyer legal registration identifier identification scheme identifier	The identification scheme identifier of the Buyer legal registration identifier.	S
/Invoice/cac:AccountingCustomerParty/cac:Party/cac:Contact	0..1	BG-9	2 	0..1	BUYER CONTACT	A group of business terms providing contact information relevant for the Buyer.	
/Invoice/cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:Name	0..1	BT-56	3 	0..1	Buyer contact point	A contact point for a legal entity or person.	T
/Invoice/cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:Telephone	0..1	BT-57	3 	0..1	Buyer contact telephone number	A phone number for the contact point.	T
/Invoice/cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:ElectronicMail	0..1	BT-58	3 	0..1	Buyer contact email address	An e-mail address for the contact point.	T
/Invoice/cac:PayeeParty	0..1	BG-10	1 	0..1	PAYEE	"A group of business terms providing information about the Payee, i.e. the role that receives the payment."	
/Invoice/cac:PayeeParty/cac:PartyIdentification	0..n						
/Invoice/cac:PayeeParty/cac:PartyIdentification/cbc:ID	1..1	BT-60	2 	0..1	Payee identifier	An identifier for the Payee.	I
/Invoice/cac:PayeeParty/cac:Partyldentification/cbc:ID	1..1	BT-90	3 	0..1	Bank assigned creditor identifier	Unique banking reference identifier of the Payee or Seller assigned by the Payee or Seller bank.	I
/Invoice/cac:PayeeParty/cac:PartyIdentification/cbc:ID/@schemelD	0..1	BT-60-1	3 	0..1	Payee identifier identification scheme identifier	The identification scheme identifier of the Payee identifier.	S
/Invoice/cac:PayeeParty/cac:PartyName	0..n						
/Invoice/cac:PayeeParty/cac:PartyName/cbc:Name	1..1	BT-59	2 	1..1	Payee name	The name of the Payee.	T
/Invoice/cac:PayeeParty/cac:PartyLegalEntity	0..n						
/Invoice/cac:PayeeParty/cac:PartyLegalEntity/cbc:CompanyID	0..1	BT-61	2 	0..1	Payee legal registration identifier	An identifier issued by an official registrar that identifies the Payee as a legal entity or person.	I
/Invoice/cac:PayeeParty/cac:PartyLegalEntity/cbc:CompanyID/@schemeID	0..1	BT-61-1	3 	0..1	Payee legal registration identifier identification scheme identifier	The identification scheme identifier of the Payee legal registration identifier.	S
/Invoice/cac:TaxRepresentativeParty	0..1	BG-11	1 	0..1	SELLER TAX REPRESENTATIVE PARTY	A group of business terms providing information about the Seller's tax representative.	
/Invoice/cac:TaxRepresentativeParty/cac:PartyName	0..n						
/Invoice/cac:TaxRepresentativeParty/cac:PartyName/cbc:Name	1..1	BT-62	2 	1..1	Seller tax representative name	The full name of the Seller's tax representative party.	T
/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress	0..1	BG-12	2 	1..1	SELLER TAX TIVE POSTAL ADDRESS	A group of business terms providing information about the postal address for the tax representative party.	
/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:StreetName	0..1	BT-64	3 	0..1	Tax representative address line 1	The main address line in an address.	T
/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:AdditionalStreetName	0..1	BT-65	3 	0..1	Tax representative address line 2	An additional address line in an address that can be used to give further details supplementing the main line.	T
/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:CityName	0..1	BT-66	3 	0..1	Tax representative city	"The common name of the city, town or village, where the tax representative address is located."	T
/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:PostalZone	0..1	BT-67	3 	0..1	Tax representative post code	The identifier for an addressable group of properties according to the relevant postal service.	T
/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:CountrySubentity	0..1	BT-68	3 	0..1	Tax representative country subdivision	The subdivision of a country.	T
/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cac:AddressLine	0..n						
/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cac:AddressLine/cbc:Line	1..1	BT-164		0..1	Tax representative address line 3	An additional address line in an address that can be used to give further details supplementing the main line.   	T
/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cac:Country	0..1						
/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cac:Country/cbc:IdentificationCode	0..1	BT-69	3 	1..1	Tax representative country code	A code that identifies the country.	C
/Invoice/cac:TaxRepresentativeParty/cac:PartyTaxScheme	0..n						
/Invoice/cac:TaxRepresentativeParty/cac:PartyTaxScheme/cbc:CompanyID	0..1	BT-63	2 	1..1	Seller tax representative VAT identifier	The VAT identifier of the Seller's tax representative party.	I
/Invoice/cac:TaxRepresentativeParty/cac:PartyTaxScheme/cac:TaxScheme	1..1						
/Invoice/cac:TaxRepresentativeParty/cac:PartyTaxScheme/cac:TaxScheme/cbc:ID	0..1					Mandatory element. Use 'VAT'	
/Invoice/cac:Delivery	0..n	BG-13	1 	0..1	DELIVERY INFORMATION	A group of business terms providing information about where and when the goods and services invoiced are delivered.	
/Invoice/cac:Delivery/cbc:ActualDeliveryDate	0..1	BT-72	2 	0..1	Actual delivery date	The date on which the delivery is made.	D
/Invoice/cac:Delivery/cac:DeliveryLocation	0..1						
/Invoice/cac:Delivery/cac:DeliveryLocation/cbc:ID	0..1	BT-71	2 	0..1	Deliver to location identifier	An identifier for the location at which the goods and services are delivered.	I
/Invoice/cac:Delivery/cac:DeliveryLocation/cbc:ID/@schemeID	0..1	BT-71-1	3 	0..1	Deliver to location identifier identification scheme identifier	The identification scheme identifier of the Deliver to location identifier.	S
/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address	0..1	BG-15	2 	0..1	DELIVER ADDRESS	A group of business terms providing information about the address to which goods and services invoiced were or are delivered.	
/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:StreetName	0..1	BT-75	3 	0..1	Deliver to address line 1	The main address line in an address.	T
/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:AdditionalStreetName	0..1	BT-76	3 	0..1	Deliver to address line 2	An additional address line in an address that can be used to give further details supplementing the main line.	T
/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:CityName	0..1	BT-77	3 	0..1	Deliver to city	"The common name of the city, town or village, where the deliver to address is located."	T
/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:PostalZone	0..1	BT-78	3 	0..1	Deliver to post code	The identifier for an addressable group of properties according to the relevant postal service.	T
/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:CountrySubentity	0..1	BT-79	3 	0..1	Deliver to country subdivision	The subdivision of a country.	T
/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cac:AddressLine	0..n						
/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cac:AddressLine/cbc:Line	1..1	BT-165		0..1	Deliver to address line 3	An additional address line in an address that can be used to give further details supplementing the main line.	T
/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cac:Country	0..1						
/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cac:Country/cbc:IdentificationCode	0..1	BT-80	3 	1..1	Deliver to country code	A code that identifies the country.	C
/Invoice/cac:Delivery/cac:DeliveryParty	0..1						
/Invoice/cac:Delivery/cac:DeliveryParty/cac:PartyName	0..n						
/Invoice/cac:Delivery/cac:DeliveryParty/cac:PartyName/cbc:Name	1..1	BT-70	2 	0..1	Deliver to party name	The name of the party to which the goods and services are delivered.	T
/Invoice/cac:PaymentMeans	0..n	BG-16	1 	0..1	PAYMENT INSTRUCTIONS	A group of business terms providing information about the payment.	
/Invoice/cac:PaymentMeans/cbc:PaymentMeansCode	1..1	BT-81	2 	1..1	Payment means code	"The means, expressed as code, for how a payment is expected to be or has been settled."	C
/Invoice/cac:PaymentMeans/cbc:PaymentMeansCode/@name	0..n	BT-82	2 	0..1	Payment means text	"The means, expressed as text, for how a payment is expected to be or has been settled."	T
/Invoice/cac:PaymentMeans/cbc:PaymentID	0..n	BT-83	2 	0..1	Remittance information	"A textual value used to establish a link between the payment and the Invoice, issued by the Seller."	T
/Invoice/cac:PaymentMeans/cac:CardAccount	0..1	BG-18	2 	0..1	PAYMENT CARD INFORMATION	A group of business terms providing information about card used for payment contemporaneous with invoice issuance.	
/Invoice/cac:PaymentMeans/cac:CardAccount/cbc:PrimaryAccountNumberlD	1..1	BT-87	3 	1..1	Payment primary account number	The Primary Account Number (PAN) of the card used for payment.	T
/Invoice/cac:PaymentMeans/cac:CardAccount/cbc:NetworkID	1..1					Mandatory element. Use card Network identifier.	
/Invoice/cac:PaymentMeans/cac:CardAccount/cbc:HolderName	0..1	BT-88	3 	0..1	Payment card holder name	The name of the payment card holder.	T
/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount	0..1	BG-17	2 	0..n	CREDIT TRANSFER	A group of business terms to specify credit transfer payments.	
/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cbc:ID	0..1	BT-84	3 	1..1	Payment account identifier	"A unique identifier of the financial payment account, at a payment service provider, to which payment should be made."	I
/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cbc:Name	0..1	BT-85	3 	0..1	Payment account name	"The name of the payment account, at a payment service provider, to which payment should be made."	T
/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinanciallnstitutionBranch	0..1						
/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cbc:ID	0..1	BT-86	3 	0..1	Payment service provider identifier	An identifier for the payment service provider where a payment account is located.	I
/Invoice/cac:PaymentMeans/cac:PaymentMandate	0..1	BG-19	2 	0..1	DIRECT DEBIT	A group of business terms to specify a direct debit.	
/Invoice/cac:PaymentMeans/cac:PaymentMandate/cbc:ID	0..1	BT-89	3 	0..1	Mandate reference identifier	Unique identifier assigned by the Payee for referencing the direct debit mandate.	I
/Invoice/cac:PaymentMeans/cac:PaymentMandate/cac:PayerFinancialAccount	0..1						
/Invoice/cac:PaymentMeans/cac:PaymentMandate/cac:PayerFinancialAccount/cbc:ID	0..1	BT-91	3 	0..1	Debited account identifier	The account to be debited by the direct debit.	I
/Invoice/cac:PaymentTerms	0..n						
/Invoice/cac:PaymentTerms/cbc:Note	0..n	BT-20	1 	0..1	Payment terms	A textual description of the payment terms that apply to the amount due for payment (Including description of possible penalties).	T
/Invoice/cac:AllowanceCharge	0..n	BG-20	1 	0..n	DOCUMENT LEVEL ALLOWANCES	A group of business t providing information ; allowances applicable to Invoice as a whole.	
/Invoice/cac:AllowanceCharge	0..n	BG-21	1 	0..n	DOCUMENT LEVEL CHARGES	"A group of business terms providing information about charges and taxes other than VAT, applicable to the Invoice as a whole."	
/Invoice/cac:AllowanceCharge/cbc:ChargeIndicator	1..1					Mandatory element. Use 'true' when informing about Charges and 'false' when informing about Allowances.	
/Invoice/cac:AllowanceCharge/cbc:AllowanceChargeReasonCode	0..1	BT-98	2 	0..1	Document level allowance reason code	"The reason for the document level allowance, expressed as a code."	C
/Invoice/cac:AllowanceCharge/cbc:AllowanceChargeReasonCode	0..1	BT-105	2 	0..1	Document level charge reason code	"The reason for the document level charge, expressed as a code."	C
/Invoice/cac:AllowanceCharge/cbc:AllowanceChargeReason	0..n	BT-97	2 	0..1	Document level allowance reason	"The reason for the document level allowance, expressed as text."	T
/Invoice/cac:AllowanceCharge/cbc:AllowanceChargeReason	0..n	BT-104	2 	0..1	Document level charge reason	"The reason for the document level charge, expressed as text."	T
/Invoice/cac:AllowanceCharge/cbc:MultiplierFactorNumeric	0..1	BT-94	2 	0..1	Document level allowance percentage	"The percentage that may be used, in conjunction with the document level allowance base amount, to calculate the document level allowance amount."	P
/Invoice/cac:AllowanceCharge/cbc:MultiplierFactorNumeric	0..1	BT-101	2 	0..1	Document level charge percentage	"The percentage that may be used, in conjunction with the document level charge base amount, to calculate the document level charge amount.   "	P
/Invoice/cac:AllowanceCharge/cbc:Amount	1..1	BT-92	2 	1..1	Document level allowance amount	"The amount of an allowance, without VAT."	A
/Invoice/cac:AllowanceCharge/cbc:Amount	1..1	BT-99	2 	1..1	Document level charge amount	"The amount of a charge, without VAT."	A
/Invoice/cac:AllowanceCharge/cbc:Amount/@currencyID	1..1					Mandatory attribute. Use BT-5	
