EN_Parent	EN_ID	EN_Level	EN_Card	EN_BT	EN_Desc	EN_DT	UBL_Path	UBL_Type	UBL_Card	UBL_Match	UBL_Rules
BG-1	BT-21	2 	0..1	Invoice note subject code	The subject of the following textual note.	C	/Invoice/cbc:Note	T	0..n	"SYN-2, SEM-2"	Use #subject code# Code list UNTDID 4451
BG-1	BT-22	2 	1..1	Invoice note	A textual note that gives unstructured information that is relevant to the Invoice as a whole.	T	/Invoice/cbc:Note	T	0..n		
root	BG-2	1 	1..1	PROCESS CONTROL	A group of business terms providing information on the business process and rules applicable to the						
BG-2	BT-23	2	0..1	Business process type	"Identifies the business process context in which the transaction appears, to enable the Buyer to process the Invoice in an appropriate way."	T	/Invoice/cbcProfilelD	I	0..1		
BG-2	BT-24	2 	1..1	Specification identifier	"An identification of the specification containing the total set of rules regarding semantic content, cardinalities and business rules to which the data contained in the instance document conforms."	I	/Invoice/cbc:CustomizationID	I	0..1	CAR-2	
root	BG-3	1 	0..n	PRECEDING INVOICE REFERENCE	A group of business terms providing information on one or more preceding Invoices.		/Invoice/cac:BillingReference/cac:InvoiceDocumentReference		0..n	CAR-3	
BG-3	BT-25	2 	1..1	Preceding Invoice number	The identification of an Invoice that was previously sent by the Seller.	0 	/Invoice/cac:BillingReference/cac:InvoiceDocumentReference/cbc:ID	I	1..1		
BG-3	BT-26	2 	0..1	Preceding Invoice issue date	The date when the Preceding Invoice was issued.	D	/Invoice/cac:BillingReference/cac:InvoiceDocumentReference/cbc:IssueDate	D	0..1		
root	BG-4	1 	1..1	SELLER	A group of business terms providing information about the Seller.		/Invoice/cac:AccountingSupplierParty		1..1		
BG-4	BT-27	2 	1..1	Seller name	The full formal name by which the Seller is registered in the national registry of legal entities or as a Taxable person or otherwise trades as a person or persons.	T	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:RegistrationName	N	0..n	"CAR-2, CAR-3"	
BG-4	BT-28	2 	0..1	Seller trading name	"A name by which the Seller is known, other than Seller name (also known as Business name)."	T	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyName/cbc:Name	N	0..n	CAR-3	
BG-4	BT-29	2 	0..n	Seller identifier	An identification the Seller.	I	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification/cbc:ID	I	0..n	CAR-3	
BT-29	BT29-1	3 	0..1	Seller identifier identification scheme identifier	The identification scheme identifier of the Seller identifier.	S	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification/cbc:ID/@schemelD	I	0..1		
BG-4	BT-30	2 	0..1	Seller legal registration identifier	An identifier issued by an official registrar that identifies the Seller as a legal entity or person.	I	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID		0..n	CAR-3	
BT-30	BT30-1	3 	0..1	Seller legal registration identifier identification scheme identifier	The identification scheme identifier of the Seller legal registration identifier.	S	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID/@schemeID	I	0..1		
BG-4	BT-31	2 	0..1	Seller VAT identifier	The Seller's VAT identifier (also known as Seller VAT identification number).	I	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cbc:CompanyID	I	0..n	CAR-3	with cac:TaxScheme/cbc:ID = 'VAT'
BG-4	BT-32	2 	0..1	Seller tax registration identifier	The local identification (defined by the Seller's address) of the Seller for tax purposes or a reference that enables the Seller to state his registered tax status.	I	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cbc:CompanyID	I	0..n	CAR-3	with cac:TaxScheme/cbc:ID ! = 'VAT'
BG-4	BT-33	2 	0..1	Seller additional legal information	Additional legal information relevant for the Seller.	T	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyLegalForm	T	0..n	CAR-3	
BG-4	BT-34	2 	0..1	Seller electronic address	Identifies the Seller's electronic address to which a business document may be delivered.	I	/Invoice/cac;AccountingSupplierParty/cac:Party/cbc:EndpointID	I	0..1		
BT-34	BT34-1	3 	1..1	Seller electronic address identification scheme identifier	The identification scheme identifier of the Seller electronic address	S	/Invoice/cac:AccountingSupplierParty/cac:Party/cbc:EndpointID/@schemeID	I	0..1	CAR-2	
BG-4	BG-5	2 	1..1	SELLER POSTAL ADDRESS	A group of business terms providing information about the address of the Seller.		/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress		0..1	CAR-2	
BG-5	BT-35	3 	0..1	Seller address 1	The main address line in an address.	T	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:StreetName		0..1	STR-5	
BG-5	BT-36	3 	0..1	Seller address line 2	An additional address line in an address that can be used to give further details supplementing the main line.   	T	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:AdditionalStreetName	N	0..1	STR-5	
BG-5	BT-162	3	0..1	Seller address line 3	An additional address line in an address that can be used to give further details supplementing the main line.	T	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cac:AddressLine/cbc:Line	T	0..n	CAR-3	
BG-5	BT-37	3 	0..1	Seller city	"The common name of the city, town or village, where the Seller address is located."	T	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:CityName	N	0..1		
BG-5	BT-38	3 	0..1	Seller post code	The identifier for an addressable group of properties according to the relevant postal service.	T	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:PostalZone	T	0..1		
BG-5	BT-39	3 	0..1	Seller country subdivision	The subdivision of a country.	T	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:CountiySubentity	T	0..1		
BG-5	BT-40	3 	1..1	Seller country code	A code that identifies the country.	C	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cac:Country/cbc:IdentificationCode	C	0..1	CAR-2	
BG-4	BG-6	2 	0..1	SELLER CONTACT	A group of business terms providing contact information about the Seller.s		/Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact		0..1		
BG-6	BT-41	3 	0..1	Seller contact point	A contact point for a legal entity or person.	T	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact/cbc:Name	N	0..1		
BG-6	BT-42	3 	0..1	Seller contact telephone number	A phone number for the contact point.	T	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact/cbc:Telephone	T	0..1		
BG-6	BT-43	3 	0..1	Seller contact email address	An e-mail address for the contact point.	T	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact/cbc:ElectronicMail	T	0..1		
root	BG-7	1 	1..1	BUYER	A group of business terms providing information about the Buyer.		/Invoice/cac:AccountingCustomerParty		1..1		
BG-7	BT-44	2 	1..1	Buyer name	The full name Buyer.	T	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity/cbc:RegistrationName	N	0..n	"CAR-2, CAR-3"	
BG-7	BT-45	2 	0..1	Buyer trading name	"A name by which the Buyer is known, other than Buyer name (also known as Business name)."	T	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyName/cbc:Name	N	0..n	CAR-3	
BG-7	BT-46	2 	0..n	Buyer identifier	An identifier Buyer.	I	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyIdentification/cbc:ID		"0,.n"	CAR-3	
BT-46	BT46-1	3 	0..1	Buyer identifier identification scheme identifier	The identification scheme identifier of the Buyer identifier.	S	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyIdentification/cbc:ID/@schemelD	I	0..1		
BG-7	BT-47	2 	0..1	Buyer legal registration identifier	An identifier issued by an official registrar that identifies the Buyer as a legal entity or person.		/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID	I	0..n	CAR-3	
BT-47	BT47-1	3 	0..1	Buyer legal registration identifier identification scheme identifier	The identification scheme identifier of the Buyer legal registration identifier.	S	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID/@schemeID	I	0..1		
BG-7	BT-48	2 	0..1	Buyer VAT identifier	The Buyer's VAT identifier (also known as Buyer VAT identification number).	I	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyTaxScheme/cbc:CompanylD	I	0..n	"CAR-3, SEM-2"	
BG-7	BT-49	2 	0..1	Buyer electronic address	Identifies the Buyer's electronic address to which a business document should be delivered.	I	/Invoice/cac:AccountingCustomerParty/cac:Party/cbc:EndpointID	I	0..1		
BT-49	BT49-1	3 	1..1	Buyer electronic address identification scheme identifier	The identification scheme identifier of the Buyer electronic address.	S	/Invoice/cac:AccountingCustomerParty/cac:Party/cbc:EndpointID/@schemeID	I	0..1	CAR-2	
BG-7	BG-8	2 	1..1	BUYER POSTAL ADDRESS	A group of business terms providing information about the postal address for the Buyer.		/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress		0..1	CAR-2	
BG-8	BT-50	3 	0..1	Buyer address 1	The main address line in an address.	T	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:StreetName	N	0..1	STR-5	
BG-8	BT-51	3 	0..1	Buyer address 2	An additional address line in an address that can be used to give further details supplementing the main line.	T	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:AdditionalStreetName	N	0..1	STR-5	
BG-8	BT-163	3	0..1	Buyer address 3	An additional address line in an address that can be used to give further details supplementing the main line.	T	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cac:AddressLine/cbc:Line	T	0..n	CAR-3	
BG-8	BT-52	3 	0..1	Buyer city	"The common name of the city, town or village, where the Buyer's address is located."	T	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:CityName	N	0..1		
BG-8	BT-53	3 	0..1	Buyer post code	The identifier for an addressable group of properties according to the relevant postal service.	T	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:PostalZone	T	0..1		
BG-8	BT-54	3 	0..1	Buyer country subdivision	The subdivision of a country.	T	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:CountrySubentity	T	0..1		
BG-8	BT-55	3 	1..1	Buyer country code	A code that identifies the country.	C	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cac:Country/cbc:IdentificationCode	C	0..1	CAR-2	
BG-7	BG-9	2 	0..1	BUYER CONTACT	A group of business terms providing contact information relevant for the Buyer.		/Invoice/cac:AccountingCustomerParty/cac:Party/cac:Contact		0..1		
BG-9	BT-56	3 	0..1	Buyer contact point	A contact point for a legal entity or person.	T	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:Name	N	0..1		
BG-9	BT-57	3 	0..1	Buyer contact telephone number	A phone number for the contact point.	T	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:Telephone	T	0..1		
BG-9	BT-58	3 	0..1	Buyer contact email address	An e-mail address for the contact point.	T	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:ElectronicMail	T	0..1		
root	BG-10	1 	0..1	PAYEE	"A group of business terms providing information about the Payee, i.e. the role that receives the payment."		/Invoice/cac:PayeeParty		0..1		
BG-10	BT-59	2 	1..1	Payee name	The name of the Payee.	T	/Invoice/cac:PayeeParty/cac:PartyName/cbc:Name	N	0..n	"CAR-2, CAR-3"	
BG-10	BT-60	2 	0..1	Payee identifier	An identifier for the Payee.	I	/Invoice/cac:PayeeParty/cac:PartyIdentification/cbc:ID	I	0..n	CAR-3	
BT-60	BT60-1	3 	0..1	Payee identifier identification scheme identifier	The identification scheme identifier of the Payee identifier.	S	/Invoice/cac:PayeeParty/cac:PartyIdentification/cbc:ID/@schemeID	I	0..1		
BG-10	BT-61	2 	0..1	Payee legal registration identifier	An identifier issued by an official registrar that identifies the Payee as a legal entity or person.	I	/Invoice/cac:PayeeParty/cac:PartyLegalEntity/cbc:CompanylD	I	0..n	CAR-3	
BT-61	BT61-1	3 	0..1	Payee legal registration identifier identification scheme identifier	The identification scheme identifier of the Payee legal registration identifier.	S	/Invoice/cac:PayeeParty/cac:PartyLegalEntity/cbc:CompanyID/@schemeID	I	0..1		
root	BG-11	1 	0..1	SELLER TAX REPRESENTATIVE PARTY	A group of business terms providing information about the Seller's tax representative.		/Invoice/cac:TaxRepresentativeParty		0..1		
BG-11	BT-62	2 	1..1	Seller tax representative name	The full name of the Seller's tax representative party.	T	/Invoice/cac:TaxRepresentativeParty/cac:PartyName/cbc:Name	N	0..n	"CAR-2, CAR-3"	
BG-11	BT-63	2 	1..1	Seller tax representative VAT identifier	The VAT identifier of the Seller's tax representative party.	I	/Invoice/cac:TaxRepresentativeParty/cac:PartyTaxScheme/cbc:CompanyID	I	0..n	"CAR-2, CAR-3"	
BG-11	BG-12	2 	1..1	SELLER TAX REPRESENTATIVE POSTAL ADDRESS	A group of business terms providing information about the postal address for the tax representative party.		/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress		0..1	CAR-2	
BG-12	BT-64	3 	0..1	Tax representative address line 1	The main address line in an address.   	T	/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:StreetName	N	0..1	STR-5	
BG-12	BT-65	3 	0..1	Tax representative address line 2	An additional address line in an address that can be used to give further details supplementing the main line.	T	/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:AdditionalStreetName	N	0..1	STR-5	
BG-12	BT-164	3	0..1	Tax representative address line 3	An additional address line in an address that can be used to give further details supplementing the main line.	T	/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cac:AddressLine/cbc:Line	T	0..n	CAR-3	
BG-12	BT-66	3 	0..1	Tax representative city	"The common name of the city, town or village, where the tax representative address is located."	T	/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:CityName	N	0..1		
BG-12	BT-67	3 	0..1	Tax representative post code	The identifier for an addressable group of properties according to the relevant postal service.	T	/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:PostalZone	T	0..1		
BG-12	BT-68	3 	0..1	Tax representative country subdivision	The subdivision of a country.	T	/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:CountrySubentity	T	0..1		
BG-12	BT-69	3 	1..1	Tax representative country code	A code that identifies the country.	C	/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cac:Country/cbc:IdentificationCode	C	0..1	CAR-2	
root	BG-13	1 	0..1	DELIVERY INFORMATION	A group of business terms providing information about where and when the goods and services invoiced are delivered.		/Invoice/cac:Delivery		0..n	CAR-3	
BG-13	BT-70	2 	0..1	Deliver to party name	The name of the party to which the goods and services are delivered.	T	/Invoice/cac:Delivery/cac:DeliveryParty/cac:PartyName/cbc:Name	N	0..n	CAR-3	
BG-13	BT-71	2 	0..1	Deliver to location identifier	An identifier for the location at which the goods and services are delivered.	I	/Invoice/cac:Delivery/cac:DeliveryLocation/cbc:ID	I	0..1		
BT-71	BT71-1	3 	0..1	Deliver to location identifier identification scheme identifier	The identification scheme identifier of the Deliver to location identifier.	S	/Invoice/cac:Delivery/cac:DeliveryLocation/cbc:ID/@schemeID		0..1		
BG-13	BT-72	2 	0..1	Actual delivery date	The date on which the delivery is made.	D	/Invoice/cac:Delivery/cbc:ActualDeliveryDate	D	0..1		
BG-13	BG-14	2 	0..1	DELIVERY OR INVOICE PERIOD	A group of business terms providing information on the invoice period.		/Invoice/cacInvoicePeriod		0..n	CAR-3	
BG-14	BT-73	3 	0..1	Invoicing period start date	The date when the Invoice period starts.	D	/Invoice/cac:InvoicePeriod/cbc:StartDate	D	0..1		
BG-14	BT-74	3 	0..1	Invoicing period end date	The date when the Invoice period ends.	D	/Invoice/cac:InvoicePeriod/cbc:EndDate	D	0..1		
BG-13	BG-15	2 	0..1	DELIVER TO ADDRESS	A group of business terms providing information about the address to which goods and services invoiced were or are delivered.		/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address		0..1		
BG-15	BT-75	3 	0..1	Deliver to address line 1	The main address line in an address.	T	/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:StreetName	N	0..1	STR-5	
BG-15	BT-76	3 	0..1	Deliver to address line 2	An additional address line in an address that can be used to give further details supplementing the main line.	T	/Invoice/cac:Deliveiy/cac:DeliveryLocation/cac:Address/cbc:AdditionalStreetName	N	0..1	STR-5	
BG-15	BT-165	3	0..1	Deliver to address line 3	An additional address line in an address that can be used to give further details supplementing the main line.	T	/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cac:AddressLine/cbc:Line	T	0..n	CAR-3	
BG-15	BT-77	3 	0..1	Deliver to city	"The common name of the city, town or village, where the deliver to address is located."	T	/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:CityName	N	0..1		
BG-15	BT-78	3 	0..1	Deliver to postcode	The identifier for an addressable group of properties according to the relevant postal service.	T	/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:PostalZone	T	0..1		
BG-15	BT-79	3 	0..1	Deliver to country subdivision	The subdivision of a country.   	T	/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:CountrySubentity	T	0..1		
BG-15	BT-80	3 	1..1	Deliver to country code	A code that identifies the country.	C	/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cac:Countiy/cbc:IdentificationCode	C	0..1	CAR-2	
root	BG-16	1 	0..1	PAYMENT INSTRUCTIONS	A group of business terms providing information about the payment.		/Invoice/cac:PaymentMeans		0..n	CAR-3	
BG-16	BT-81	2 	1..1	Payment means type code	"The means, expressed as code, for how a payment is expected to be or has been settled."	C	/Invoice/cac:PaymentMeans/cbc:PaymentMeansCode	C	1..1		
BG-16	BT-82	2 	0..1	Payment means text	"The means, expressed as text, for how a payment is expected to be or has been settled."	T	/Invoice/cac:PaymentMeans/cbc:PaymentMeansCode/@name	T	0..n	"CAR-3, SEM-2"	
BG-16	BT-83	2 	0..1	Remittance information	"A textual value used to establish a link between the payment and the Invoice, issued by the Seller."	T	/Invoice/cac:PaymentMeans/cbc:PaymentID	I	0..n	CAR-3	
BG-16	BG-17	2 	0..n	CREDIT TRANSFER	A group of business terms to specify credit transfer payments.		/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount		0..1	CAR-2	
BG-17	BT-84	3 	1..1	Payment account identifier	"A unique identifier of the financial payment account, at a payment service provider, to which payment should be made."	I	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cbc:ID	I	1..1		
BG-17	BT-85	3 	0..1	Payment account name	"The name of the payment account, at a payment service provider, to which payment should be made."	T	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cbc:Name	N	0..1		
BG-17	BT-86	3 	0..1	Payment service provider identifier	An identifier for the payment service provider where a payment account is located.	I	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cbc:ID	I	0..1		
BG-16	BG-18	2 	0..1	PAYMENT CARD INFORMATION	A group of business terms providing information about card used for payment contemporaneous with invoice issuance.		/Invoice/cac:PaymentMeans/cac:CardAccount		0..1		
BG-18	BT-87	3 	1..1	Payment card primary account number	The Primary Account Number (PAN) of the card used for payment.	T	/Invoice/cac:PaymentMeans/cac:CardAccount/cbc:PrimaryAccountNumberID	I	1..1		
BG-18	BT-88	3 	0..1	Payment card holder name	The name of the payment card holder.	T	/Invoice/cac:PaymentMeans/cac:CardAccount/cbc:HolderName	N	0..1		
BG-16	BG-19	2 	0..1	DIRECT DEBIT	A group of business terms to specify a direct debit.		/Invoice/cac:PaymentMeans/cac:PaymentMandate		0..1		
BG-19	BT-89	3 	0..1	Mandate reference identifier	Unique identifier assigned by the Payee for referencing the direct debit mandate.	I	/Invoice/cac:PaymentMeans/cac:PaymentMandate/cbc:ID	I	0..1		
BG-19	BT-90	3 	0..1	Bank assigned creditor identifier	Unique banking reference identifier of the Payee or Seller assigned by the Payee or Seller bank.	I	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification/cbc:ID	I	0..n	CAR-3	with @schemeID = 'SEPA' when the identifier refers to the Seller.
BG-19	BT-90	3 	0..1	Bank assigned creditor identifier	Unique banking reference identifier of the Payee or Seller assigned by the Payee or Seller bank.	I	/Invoice/cac:PayeeParty/cac:PartyIdentification/cbc:ID	I	0..n	CAR-3	with @schemeID = 'SEPA' when the identifier refers to the Payee
BG-19	BT-91	3 	0..1	Debited account identifier	The account to be debited by the direct debit.	I	/Invoice/cac:PaymentMeans/cac:PaymentMandate/cac:PayerFinancialAccount/cbc:ID	I	0..1		
root	BG-20	1 	0..n	DOCUMENT LEVEL ALLOWANCES	A group of business terms providing information about allowances applicable to the Invoice as a whole.		/Invoice/cacrAllowanceCharge		0..n	SEM-2	with cbc:ChargeIndicator = 'false'
BG-20	BT-92	2 	1..1	Document level allowance amount	"The amount of an allowance, without VAT."	A	/Invoice/cac:AllowanceCharge/cbc:Amount	A	1..1		with cbc:Chargelndicator = 'false'
BG-20	BT-93	2 	0..1	Document level allowance base amount	"The base amount that may be used, in conjunction with the document level allowance percentage, to calculate the document level allowance amount.   "	A	/Invoice/cac:AllowanceCharge/cbc:BaseAmount	A	0..1		with cbc:ChargeIndicator = 'false'
BG-20	BT-94	2 	0..1	Document level allowance percentage	"The percentage that may be used, in conjunction with the document level allowance base amount, to calculate the document level allowance amount."	P	/Invoice/cac:AllowanceCharge/cbc:MuItiplierFactorNumeric	N	0..1	SEM-2	with cbc:ChargeIndicator = 'false'
BG-20	BT-95	2 	1..1	Document level allowance VAT category code	A coded identification of what VAT category applies to the document level allowance.	C	/Invoice/cac:AllowanceCharge/cac:TaxCategory/cbc:ID	I	0..n	"CAR-2, CAR-3, SEM-2"	with cbc:ChargeIndicator = 'false' with cac:TaxScheme/cbc:ID = 'VAT'
BG-20	BT-96	2 	0..1	Document level allowance VAT rate	"The VAT rate, represented as percentage that applies to the document level allowance."	P	/Invoice/cac:AllowanceCharge/cac:TaxCategory/cbc:Percent	P	0..n	"CAR-3, SEM-2"	with cbc:ChargeIndicator = 'false'
BG-20	BT-97	2 	0..1	Document level allowance reason	"The reason for the document level allowance, expressed as text."	T	/Invoice/cac:AllowanceCharge/cbc:AllowanceChargeReason	T	0..n	CAR-3	with cbc:ChargeIndicator = 'false'
BG-20	BT-98	2 	0..1	Document level allowance reason code	"The reason for the document level allowance, expressed as a code."	C	/Invoice/cac:AllowanceCharge/cbc:AllowanceChargeReasonCode	C	0..1		with cbc:ChargeIndicator = 'false'
root	BG-21	1 	0..n	DOCUMENT LEVEL CHARGES	"A group of business terms providing information about charges and taxes other than VAT, applicable to the Invoice as a whole."		/Invoice/cac:AllowanceCharge		0..n	SEM-2	with cbc:ChargeIndicator = 'true'
BG-21	BT-99	2 	1..1	Document level charge amount	"The amount of a charge, without VAT."	A	/Invoice/cac:AllowanceCharge/cbc:Amount	A	1..1		with cbc:ChargeIndicator = 'true'
BG-21	BT-100	2 	0..1	Document level charge base amount	"The base amount that may be used, in conjunction with the document level charge percentage, to calculate the document level charge amount."	A	/Invoice/cac:AIlowanceCharge/cbc:BaseAmount	A	0..1		with cbc:ChargeIndicator = 'true'
BG-21	BT-101	2 	0..1	Document level charge percentage	"The percentage that may be used, in conjunction with the document level charge base amount, to calculate the document level charge amount."	P	/Invoice/cac:AllowanceCharge/cbc:MultiplierFactorNumeric	N	0..1	SEM-2	with cbc:ChargeIndicator = 'true'
BG-21	BT-102	2 	1..1	Document level charge VAT category code	A coded identification of what VAT category applies to the document charge.	C	/Invoice/cac:AllowanceCharge/cac:TaxCategory/cbc:ID	I	0..n	"CAR-2, CAR-3, SEM-2"	with cbc:ChargeIndicator = 'true'
BG-21	BT-103	2 	0..1	Document level charge VAT rate	"The VAT rate, represented as percentage that applies to the document level charge."	P	/Invoice/cac:AllowanceCharge/cac:TaxCategory/cbc:Percent	P	0..n	"CAR-3, SEM-2"	with cbc:ChargeIndicator = 'true'
BG-21	BT-104	2 	0..1	Document level charge reason	"The reason for the document level charge, expressed as text."	T	/Invoice/cac:AllowanceCharge/cbc:AllowanceChargeReason	T	0..n	CAR-3	with cbc:ChargeIndicator = 'true'
