SemSort	BT_ID	PINT_ID	Level	BusinessTerm	ビジネス用語名	Definition	説明	Explanation	追加説明	Example	Card	DataType	Section	Extension	SynSort	XPath	Attributes	Rules	DataType	Cardinality	Alignment
1100	IBT-12	ibt-012	1	Contract reference 	契約書参照	The identification of a contract.	参照する契約書に記載の文書番号。				0..1	Document Reference	Shared		1310	/Invoice/cac:ContractDocumentReference/cbc:ID			IdentifierType	1..1	CAR-1
1110	IBT-13	ibt-013	1	Purchase order reference	購買発注参照	"An identifier of a referenced purchase order	 issued by the Buyer."	買い手が発行した購買発注を参照する場合の当該購買発注に記載の文書番号。			AA-123-AA	0..1	Document Reference	Shared		1180	/Invoice/cac:OrderReference/cbc:ID			IdentifierType	1..1	CAR-1
1120	IBT-14	ibt-014	1	Sales order reference	受注参照	An identifier of a referenced sales order issued by the Seller. 	売り手が発行した受注を参照する場合の当該受注に記載の文書番号。				0..1	Document Reference	Shared		1190	/Invoice/cac:OrderReference/cbc:SalesOrderID			IdentifierType	0..1	
1130	IBT-15	ibt-015	1	Receiving advice reference	受取通知書(検収書)参照	An identifier of a referenced receiving advice.	参照する受取通知書（検収書）に売り手が付番した番号。				0..1	Document Reference	Shared		1270	/Invoice/cac:ReceiptDocumentReference/cbc:ID			IdentifierType	1..1	CAR-1
1140	IBT-16	ibt-016	1	Despatch advice reference	出荷案内書(納品書)参照	An identifier of a referenced despatch advice.	参照する出荷案内書（納品書）に売り手が付番した番号。				0..n	Document Reference	Aligned	crd from 0..1	1250	/Invoice/cac:DespatchDocumentReference/cbc:ID			IdentifierType	1..1	CAR-4
1150	IBT-17	ibt-017	1	Tender or lot reference	入札又はロット参照	The identification of the call for tender or lot the invoice relates to.	参照する入札またはロットの番号。				0..1	Document Reference	Shared		1290	/Invoice/cac:OriginatorDocumentReference/cbc:ID			IdentifierType	1..1	CAR-1
1160	IBT-18	ibt-018	1	Invoiced object identifier	請求されるオブジェクトID	"An identifier for an object on which the invoice is based	 given by the Seller."	請求書の根拠となるIDで、売り手が指定。請求書の根拠となるオブジェクトのIDで、売り手が指定したもの。				0..1	Identifier	Shared		1340	/Invoice/cac:AdditionalDocumentReference/cbc:ID			IdentifierType	1..1	CAR-1
1170	IBT-18	ibt-018-1	2	The identification scheme identifier of the Invoiced object identifier.	請求されるオブジェクトIDのスキーマID	"If it may be not clear for the receiver what scheme is used for the identifier	 a conditional scheme identifier should be used that shall be chosen from the UNTDID 1153 code list [6] entries."	受信者にとって、IDにどのスキーマが使用されているかが明確でない場合は、UNTDID1153コードリストから選択される条件付きスキーマIDを使用する必要がある。				0..1	Scheme	Shared		1350	/Invoice/cac:AdditionalDocumentReference/cbc:ID/@schemeID					
1175	IBT-201	ibt-201	1	Invoiced object identifier	請求されるオブジェクトID	"An identifier for an object on which the invoice is based	 given by the Seller.\nwith cbc:DocumentTypeCode='130'"	請求書の根拠となるIDで、売り手が指定。請求書の根拠となるオブジェクトのIDで、売り手が指定したもの。\ncbc:DocumentTypeCode=130				0..1	Identifier	Shared		1422	/Invoice/cac:AdditionalDocumentReference[cbc:DocumentTypeCode='130']/cbc:ID	with cbc:DocumentTypeCode='130'		IdentifierType	1..1	CAR-1
1177	IBT-201	ibt-201-1	2	The identification scheme identifier of the Invoiced object identifier.	請求されるオブジェクトIDのスキーマID	"If it may be not clear for the receiver what scheme is used for the identifier	 a conditional scheme identifier should be used that shall be chosen from the UNTDID 1153 code list [6] entries."	受信者にとって、IDにどのスキーマが使用されているかが明確でない場合は、UNTDID1153コードリストから選択される条件付きスキーマIDを使用する必要がある。				0..1	Scheme	Shared		1423	/Invoice/cac:AdditionalDocumentReference[cbc:DocumentTypeCode='130']/cbc:ID/@schemeID					
1180	IBT-19	ibt-019	1	Buyer accounting reference	買い手会計参照	A textual value that specifies where to book the relevant data into the Buyer's financial accounts.	買い手の財務勘定科目に関連データを記帳する場所を指定する。買い手のどの勘定に関連データを記帳すべきかを指定するためのテキスト値。				0..1	Text	Shared		1110	/Invoice/cbc:AccountingCost			TextType	0..1	
1189	IBG-33	ibg-33	1	INVOICE TERMS	支払条件	Information about the terms that apply to the settlement of the invoice amount.	請求額の決済に適用される条件に関する情報。	"For further details	 see EIPA_SDC_Payment検討.pptx."	詳細については、EIPA_SDC_Payment検討.pptx を参照。 		0..n	Group	Aligned	Added as class	2700	/Invoice/cac:PaymentTerms			PaymentTermsType	0..n	
1191	IBT-20	ibt-020	2	Payment terms	支払条件	A textual description of the payment terms that apply to the amount due for payment (Including description of possible penalties).	支払額に適用される支払条件の説明(罰則の記載を含む)。支払条件の文字による説明。	Common description in English\nPIA - Payment in advance\nNet 30 - Payment 30 days after invoice date\nEOM - End of month\n21 MFI - 21st of the month following invoice date\n1% 10 Net 30 - 1% discount if payment received within ten days otherwise payment 30 days after invoice date\nCOD - Cash on delivery\n1MD - Monthly credit payment of a full month's supply\netc.\nsource: https://examples.yourdictionary.com/payment-terms-examples.html	英語での慣用例文\nPIA - Payment in advance\nNet 30 - Payment 30 days after invoice date\nEOM - End of month\n21 MFI - 21st of the month following invoice date\n1% 10 Net 30 - 1% discount if payment received within ten days otherwise payment 30 days after invoice date\nCOD - Cash on delivery\n1MD - Monthly credit payment of a full month's supply\netc.\nsource: https://examples.yourdictionary.com/payment-terms-examples.html		0..1	Text	Shared	crd to 0..n via class	2710	/Invoice/cac:PaymentTerms/cbc:Note		ibr-co-25	TextType	0..n	CAR-3
1192	IBT-187	ibt-187	2	Terms payment instructions ID	支払条件指示ID	The payment instructions that apply to these payment terms.	これらの支払条件を適用する支払指示。				0..1	Identifier	Aligned	Added	2712	/Invoice/cac:PaymentTerms/cbc:PaymentMeansID			IdentifierType	0..n	CAR-3
1193	IBT-176	ibt-176	2	Terms amount	支払条件金額	The payment amount that these terms apply to.	これらの条件が適用される支払金額。	"In the numerical representation	 for data type amount	 only the integer is allowed and the integer part is not separated by 1000 units."	数値表現は、データ型 Amount については、整数、整数部分の1000単位の区切りはなし。		0..1	Amount	Aligned	Added	2713	/Invoice/cac:PaymentTerms/cbc:Amount			AmountType	0..1	
1194	IBT-177	ibt-177	2	Terms installment due date	分割支払支払期日	The date before end of which the terms amount shall be settled.	分割支払の場合の各支払期日。	The date is described in the Christian era and is YYYY-MM-DD according to the rule PEPPOL-EN16931-F001. 	日付表示は西暦表示で、ルール PEPPOL-EN16931-F001 に従い、YYYY-MM-DD となる。		0..1	Date	Aligned	Added	2714	/Invoice/cac:PaymentTerms/cbc:InstallmentDueDate			DateType	0..1	
1200	IBG-1	ibg-01	1	INVOICE NOTE	請求書注釈	"A group of business terms providing textual notes that are relevant for the invoice	 together with an indication of the note subject."	請求書についての注釈。				0..n	Group									
1210	IBT-21	ibt-021	2	Invoice note subject code	請求書注釈表題コード	The subject of the textual note in EN BT-22.	注釈の表題。	Use #subjectcode# Code list UNTDID 4451	UNTDID 4451のコードを使用		0..1	Text	Shared		1060	/Invoice/cbc:Note	Use #subjectcode# Code list UNTDID 4451		TextType	0..n	CAR-3
1220	IBT-22	ibt-022	2	Invoice note	請求書注釈内容	A textual note that gives unstructured information that is relevant to the Invoice as a whole.	注釈の内容を入力するフリースペース。				0..1	Text	Shared		1070	/Invoice/cbc:Note			TextType	0..n	CAR-3
1230	IBG-2	ibg-02	1	PROCESS CONTROL	プロセスコントロール	A group of business terms providing information on the business process and rules applicable to the Invoice document.	取引プロセスに関する情報。請求書に適用するビジネスプロセス及びルールについての情報。				1..1	Group									
1240	IBT-23	ibt-023	2	Business process type	ビジネスプロセスタイプ	"Identifies the business process context in which the transaction appears	 to enable the Buyer to process the Invoice in an appropriate way."	取引プロセスの名称。買い手が適切な方法で請求書を処理することができるように、取引が行われたビジネスプロセスを識別する。		"JP Summarized Invoice	 Summarized Self-Billing Invoice"	urn:fdc:peppol.eu:2017:poacc:billing:01:1.0	0..1	Text	Shared		1010	/Invoice/cbc:ProfileID			IdentifierType	0..1	
1250	IBT-24	ibt-024	2	Specification identifier	仕様ID	"An identification of the specification containing the total set of rules regarding semantic content	 cardinalities and business rules to which the data contained in the instance document conforms."	取引プロセスのID。セマンティックコンテンツ、カーディナリティや、インスタンス文書に含まれているデータが準拠すべきビジネスルールに関するルール一式を含む、仕様を識別する。		[NOTE Japanese Summarized Invoice] Identifying the Jpanese month-end closing invoice & aggregated purchase statement Extension	urn:cen.eu:en16931:2017#compliant#urn:fdc:peppol.eu:2017:poacc:billing:3.0	1..1	Identifier	Shared		1000	/Invoice/cbc:CustomizationID		ibr-01	IdentifierType	0..1	CAR-2
1260	IBG-3	ibg-03	1	PRECEDING INVOICE REFERENCE	先行請求書への参照	A group of business terms providing information on one or more preceding Invoices.	1つ以上の先行請求書に関する情報。				0..n	Group			1200	/Invoice/cac:BillingReference		ibr-55	BillingReferenceType	0..n	
1270	IBT-25	ibt-025	2	Preceding Invoice reference	先行請求書への参照	The identification of an Invoice that was previously sent by the Seller.	売り手が以前に送付した請求書番号。				1..1	Document Reference	Shared		1220	/Invoice/cac:BillingReference/cac:InvoiceDocumentReference/cbc:ID		ibr-55	IdentifierType	1..1	
1280	IBT-26	ibt-026	2	Preceding Invoice issue date	先行請求書発行日	The date when the Preceding Invoice was issued.	先行請求書の発行日。	The date is described in the Christian era and is YYYY-MM-DD according to the rule PEPPOL-EN16931-F001. 	日付表示は西暦表示で、ルール PEPPOL-EN16931-F001 に従い、YYYY-MM-DD となる。		0..1	Date	Shared		1230	/Invoice/cac:BillingReference/cac:InvoiceDocumentReference/cbc:IssueDate			DateType	0..1	
1290	IBG-4	ibg-04	1	SELLER	売り手	A group of business terms providing information about the Seller.	売り手に係る情報。					Group			1450	/Invoice/cac:AccountingSupplierParty		"ibr-17	ibr-18	ibr-19	ibr-20"	SupplierPartyType	1..1	
1310	IBT-27	ibt-027	2	Seller name	売り手名称	The full formal name by which the Seller is registered in the national registry of legal entities or as a Taxable person or otherwise trades as a person or persons.	売り手を表す名称。売り手を表す法的に正式な名称。			株式会社 ○○商事	1..1	Text	Shared		1710	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:RegistrationName		ibr-06	NameType	0..1	CAR-2
1320	IBT-28	ibt-028	2	Seller trading name	売り手商号	"A name by which the Seller is known	 other than Seller name (also known as Business name)."	売り手名称以外で、知られているビジネス上の名称。			株式会社 ○○商事	0..1	Text	Shared		1540	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyName/cbc:Name			NameType	1..1	CAR-1
1330	IBT-29	ibt-029	2	Seller identifier 	売り手ID	An identification of the Seller.	売り手を表すID。			123456:000123:0147:1	0..n	Identifier	Shared		1500	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification/cbc:ID		ibr-co-26	IdentifierType	1..1	CAR-4
1340	IBT-29	ibt-029-1	3	Scheme identifier	スキーマID	"If used	 the identification scheme identifier shall be chosen from the entries of the list published by the ISO/IEC 6523 maintenance agency."	使用する場合、スキーマIDは、ISO / IEC6523 の保守機関によって公開されたリストから選択しなければならない。	"For example	 0147 Standard Company CodePartner identification code which is registered with JIPDEC/ECPC. Issuing agency: JIPDEC	 Japan. It consists of company identification number (6 digit) + sub-number (6 digit). Company identification number (6 digit) is issued by JIPDEC	 on the other hand	 sub-number (6 digit)	 which is for identifying branch or division inside company	 is issued and managed by each company."	例えば、0147 Standard Company Code は、JIPDEC が発番する標準企業コードであるが、企業識別コード6桁＋枝番6桁の合計12桁で構成されており、企業識別コード6桁は　JIPDEC が発番するが、枝番6桁は、支店や部署の識別のため、各企業が採番・管理を行うものであり、JIPDECのコードを用いて、支店や部署まで特定することが可能である。	0147	0..1	Scheme	Shared		1510	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification/cbc:ID/@schemeID					
1350	IBT-30	ibt-030	2	Seller legal registration identifier	売り手登録企業ID	An identifier issued by an official registrar that identifies the Seller as a legal entity or person.	売り手を表す国際企業ID。			123456789::0170:0	0..1	Identifier	Shared		1720	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID			IdentifierType	0..1	
1360	IBT-30	ibt-030-1	3	Scheme identifier	スキーマID	"If used	 the identification scheme shall be chosen from the entries of the list published by the ISO/IEC 6523 maintenance agency."	使用する場合、識別スキーマは、ISO / IEC6523 の保守機関によって公開されたリストから選択しなければならない。	"For example	 0170 Teikoku Company Code"	例えば、0170 Teikoku Company Code(帝国データバンクの企業コード(TDB企業コード))	0170	0..1	Scheme	Shared		1730	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID/@schemeID		"ibr-cl-11	ibr-co-26"			
1370	IBT-31	ibt-031	2	Seller TAX identifier	売り手税ID	The Seller's TAX identifier (also known as Seller TAX identification number).	売り手の税ID番号。日本の場合は、適格請求書発行事業者登録番号T+法人番号（国税庁）。			T1234567890123	0..1	Identifier	Aligned		1660	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cbc:CompanyID	"id qualifier is cac:TaxScheme/cbc:ID	 e.g. VAT or GST"	"ibr-co-26	jp-s-02	jp-s-03	jp-s-04"	IdentifierType	0..1	
1380	IBT-32	ibt-032	2	Seller TAX registration identifier	売り手税登録ID	The local identification (defined by the Seller’s address) of the Seller for tax purposes or a reference that enables the Seller to state his registered tax status.	売り手住所により決まるローカルの売り手ID。 売り手が登録済みであることを示すための税登録ID。		日本では使用しない		0..1	Identifier	Aligned		1670	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cbc:CompanyID	id qualifier is cac:TaxScheme/cbc:ID 	"jp-br-01	jp-s-02	jp-s-03	jp-s-04"	IdentifierType	0..1	
1386	IBT-32a	ibt-032a	2	Tax Scheme	税スキーマ	A code indicating the type of tax	税の種類を示すコード。	"""VAT"" is used for Japan Consumption Tax."	日本の消費税については、VAT を使用する。		0..1	Scheme			1690	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cac:TaxScheme/cbc:ID			IdentifierType	0..1	
1390	IBT-33	ibt-033	2	Seller additional legal information	売り手追加法的情報	Additional legal information relevant for the Seller. 	売り手に関する追加の法的情報。				0..1	Text	Shared		1740	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyLegalForm			TextType	0..1	
1400	IBT-34	ibt-034	2	Seller electronic address	売り手電子アドレス	Identifies the Seller's electronic address to which the application level response to the invoice may be delivered.	請求書に対するアプリケーションレベルの応答が配信される売り手の電子アドレスを識別する。			JP1234567890123	0..1	Identifier	Shared		1470	/Invoice/cac:AccountingSupplierParty/cac:Party/cbc:EndpointID		"ibr-62	ibr-cl-25"	IdentifierType	0..1	
1410	IBT-34	ibt-034-1	3	Scheme identifier	スキーマID	The scheme identifier shall be chosen from a list to be maintained by the Connecting Europe Facility.	スキーマIDは、Connecting Europe Facility (CEF) が管理するリストから選択しなければならない。	ibr-62 requests just to specify scheme ID. Scheme ID does not have to be listed in Connecting Europe Facility (CEF).	ibr-62は単にスキーマIDを指定することを要求しており、スキーマIDがConnecting Europe Facility (CEF) が管理するリストに登録されている必要はない。	0188	1..1	Scheme	Shared		1480	/Invoice/cac:AccountingSupplierParty/cac:Party/cbc:EndpointID/@schemeID					
1415	IBG-5	ibg-05	2	SELLER POSTAL ADDRESS	売り手住所	A group of business terms providing information about the address of the Seller.	売り手の住所に関する情報。		請求書を発行する法人の登録済住所で、請求書が本社によって発行される場合は本社の住所、支社によって発行される場合は支社の住所となる。		1..1	Group			1550	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress		"ibr-08	ibr-09"	AddressType	0..1	CAR-2
1420	IBT-35	ibt-035	3	Seller address line 1 	売り手住所欄1	The main address line in an address. 	売り手の住所欄1。			四谷4-29-X	0..1	Text	Shared		1560	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:StreetName			NameType	0..1	
1430	IBT-36	ibt-036	3	Seller address line 2	売り手住所欄2	An additional address line in an address that can be used to give further details supplementing the main line.	売り手の住所欄2。			〇〇商事ビル	0..1	Text	Shared		1570	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:AdditionalStreetName			NameType	0..1	
1440	IBT-162	ibt-162	3	Seller address line 3	売り手住所欄3	An additional address line in an address that can be used to give further details supplementing the main line.	売り手の住所欄3。				0..1	Text	Shared		1610	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cac:AddressLine/cbc:Line			TextType	1..1	CAR-1
1450	IBT-37	ibt-037	3	Seller city	売り手住所 市区町村	"The common name of the city	 town or village	 where the Seller address is located."	売り手住所 市区町村。			新宿区	0..1	Text	Shared		1580	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:CityName			NameType	0..1	
1460	IBT-38	ibt-038	3	Seller post code	売り手郵便番号	The identifier for an addressable group of properties according to the relevant postal service.	売り手の郵便番号。			160-0044	0..1	Text	Shared		1590	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:PostalZone			TextType	0..1	
1470	IBT-39	ibt-039	3	Seller country subdivision 	売り手住所 都道府県	The subdivision of a country. 	売り手住所の地方区分。日本の場合は、都道府県。			東京都	0..1	Text	Shared		1595	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:CountrySubentity			TextType	0..1	
1480	IBT-40	ibt-040	3	Seller country code 	売り手国コード	A code that identifies the country.	売り手の国コード。			JP	1..1	Code	Shared		1640	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cac:Country/cbc:IdentificationCode		"ibr-09	ibr-cl-14"	CodeType	0..1	CAR-2
1490	IBG-6	ibg-06	2	SELLER CONTACT 	売り手連絡先	A group of business terms providing contact information about the Seller. 	売り手の連絡先に係る情報。				0..1	Group			1750	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact			ContactType	0..1	
1500	IBT-41	ibt-041	3	Seller contact point 	売り手連絡先	A contact point for a legal entity or person.	売り手の連絡先の個人の、文字で表現された名前（部門名を含む）。			青木　志郎	0..1	Text	Shared		1760	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact/cbc:Name			NameType	0..1	
1510	IBT-42	ibt-042	3	Seller contact telephone number	売り手連絡先電話番号	A phone number for the contact point. 	売り手の連絡先電話番号。			03-3xxx-0001	0..1	Text	Shared		1770	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact/cbc:Telephone			TextType	0..1	
1520	IBT-43	ibt-043	3	Seller contact email address	売り手連絡先電子メールアドレス	An e-mail address for the contact point. 	売り手の連絡先電子メールアドレス。			shirou_aoki@〇〇co.jp	0..1	Text	Shared		1780	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact/cbc:ElectronicMail			TextType	0..1	
1530	IBG-7	ibg-07	1	BUYER 	買い手	A group of business terms providing information about the Buyer. 	買い手に係る情報。				1..1	Group			1790	/Invoice/cac:AccountingCustomerParty			CustomerPartyType	1..1	
1540	IBT-44	ibt-044	2	Buyer name 	買い手名称	The full name of the Buyer. 	買い手の名称。			株式会社 藤山物産 札幌支社	1..1	Text	Shared		2030	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity/cbc:RegistrationName		ibr-07	NameType	0..1	CAR-2
1550	IBT-45	ibt-045	2	Buyer trading name	買い手商号	"A name by which the Buyer is known	 other than Buyer name (also known as Business name)."	買い手名称以外で、知られているビジネス上の名称。			株式会社 藤山物産	0..1	Text	Shared		1870	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyName/cbc:Name			NameType	1..1	CAR-1
1560	IBT-46	ibt-046	2	Buyer identifier 	買い手ID	An identifier of the Buyer.	買い手を表すID。			0000001020	0..n	Identifier	Shared		1840	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyIdentification/cbc:ID			IdentifierType	1..1	CAR-4
1570	IBT-46	ibt-046-1	3	Scheme identifier	スキーマID	"If used	 the identification scheme shall be chosen from the entries of the list published by the ISO/IEC 6523 maintenance agency."	使用する場合、識別スキーマは、ISO / IEC6523 の保守機関によって公開されたリストから選択しなければならない。	"For example	 0147 Standard Company CodePartner identification code which is registered with JIPDEC/ECPC. Issuing agency: JIPDEC	 Japan. It consists of company identification number (6 digit) + sub-number (6 digit). Company identification number (6 digit) is issued by JIPDEC	 on the other hand	 sub-number (6 digit)	 which is for identifying branch or division inside company	 is issued and managed by each company."	例えば、0147 Standard Company Code は、JIPDEC が発番する標準企業コードであるが、企業識別コード6桁＋枝番6桁の合計12桁で構成されており、企業識別コード6桁は　JIPDEC が発番するが、枝番6桁は、支店や部署の識別のため、各企業が採番・管理を行うものであり、JIPDECのコードを用いて、支店や部署まで特定することが可能である。		0..1	Scheme	Shared		1850	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyIdentification/cbc:ID/@schemeID					
1580	IBT-47	ibt-047	2	Buyer legal registration identifier	買い手登録企業ID	An identifier issued by an official registrar that identifies the Buyer as a legal entity or person.	買い手を表す国際企業ID。			654321:000321:0147:1	0..1	Identifier	Shared		2040	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID			IdentifierType	0..1	
1590	IBT-47	ibt-047-1	3	Scheme identifier	スキーマID	"If used	 the identification scheme shall be chosen from the entries of the list published by the ISO/IEC 6523 maintenance agency."	使用する場合、識別スキーマは、ISO / IEC6523 の保守機関によって公開されたリストから選択しなければならない。	"For example	 0147 Standard Company CodePartner identification code which is registered with JIPDEC/ECPC. Issuing agency: JIPDEC	 Japan. It consists of company identification number (6 digit) + sub-number (6 digit). Company identification number (6 digit) is issued by JIPDEC	 on the other hand	 sub-number (6 digit)	 which is for identifying branch or division inside company	 is issued and managed by each company."	例えば、0147 Standard Company Code は、JIPDEC が発番する標準企業コードであるが、企業識別コード6桁＋枝番6桁の合計12桁で構成されており、企業識別コード6桁は　JIPDEC が発番するが、枝番6桁は、支店や部署の識別のため、各企業が採番・管理を行うものであり、JIPDECのコードを用いて、支店や部署まで特定することが可能である。	0147	0..1	Scheme	Shared		2050	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID/@schemeID					
