SemanticSort	prent	ID	Level	BusinessTerm	BusinessTermJP	Card.	Data Type	SyntaxSort	xPath
74	ibg-05	ibt-039	3	Seller country subdivision	売り手住所 都道府県	0..1	Text	1595	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:CountrySubentity
								1630	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cac:Country
76	ibg-05	ibt-040	3	Seller country code	売り手国コード	1..1	Code	1640	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cac:Country/cbc:IdentificationCode
77	ibg-04	ibg-06	2	SELLER CONTACT	売り手連絡先	0..1	Group	1750	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact
78	ibg-06	ibt-041	3	Seller contact point	売り手連絡先	0..1	Text	1760	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact/cbc:Name
79	ibg-06	ibt-042	3	Seller contact telephone number	売り手連絡先電話番号	0..1	Text	1770	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact/cbc:Telephone
80	ibg-06	ibt-043	3	Seller contact email address	売り手連絡先電子メールアドレス	0..1	Text	1780	/Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact/cbc:ElectronicMail
81	ibg-00	ibg-07	1	BUYER	買い手	1..1	Group	1790	/Invoice/cac:AccountingCustomerParty
								1800	/Invoice/cac:AccountingCustomerParty/cac:Party
								2020	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity
84	ibg-07	ibt-044	2	Buyer name	買い手名称	1..1	Text	2030	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity/cbc:RegistrationName
								1860	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyName
86	ibg-07	ibt-045	2	Buyer trading name	買い手商号	0..1	Text	1870	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyName/cbc:Name
								1830	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyIdentification
88	ibg-07	ibt-046	2	Buyer identifier	買い手ID	0..n	Identifier	1840	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyIdentification/cbc:ID
89	ibt-046	ibt-046-1	3	Scheme identifier	スキーマID	0..1	Scheme	1850	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyIdentification/cbc:ID/@schemeID
90	ibg-07	ibt-047	2	Buyer legal registration identifier	買い手法的企業ID	0..1	Identifier	2040	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID
91	ibt-047	ibt-047-1	3	Scheme identifier	スキーマID	0..1	Scheme	2050	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID/@schemeID
								1980	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyTaxScheme
93	ibg-07	ibt-048	2	Buyer TAX identifier	買い手税ID	0..1	Identifier	1990	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyTaxScheme/cbc:CompanyID
								2000	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyTaxScheme/cac:TaxScheme
95	ibt-048	ibt-048-1	3	Tax Scheme	税スキーマ	0..1	Scheme	2010	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyTaxScheme/cac:TaxScheme/cbc:ID
96	ibg-07	ibt-049	2	Buyer electronic address	買い手電子アドレス	0..1	Identifier	1810	/Invoice/cac:AccountingCustomerParty/cac:Party/cbc:EndpointID
97	ibt-049	ibt-049-1	3	Scheme identifier	スキーマID	1..1	Scheme	1820	/Invoice/cac:AccountingCustomerParty/cac:Party/cbc:EndpointID/@schemeID
98	ibg-07	ibg-08	2	BUYER POSTAL ADDRESS	買い手住所	1..1	Group	1880	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress
99	ibg-08	ibt-050	3	Buyer address line 1	買い手住所欄1	0..1	Text	1890	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:StreetName
100	ibg-08	ibt-051	3	Buyer address line 2	買い手住所欄2	0..1	Text	1900	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:AdditionalStreetName
								1940	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cac:AddressLine
102	ibg-08	ibt-163	3	Buyer address line 3	買い手住所欄3	0..1	Text	1950	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cac:AddressLine/cbc:Line
103	ibg-08	ibt-052	3	Buyer city	買い手住所 市区町村	0..1	Text	1910	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:CityName
104	ibg-08	ibt-053	3	Buyer post code	買い手郵便番号	0..1	Text	1920	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:PostalZone
105	ibg-08	ibt-054	3	Buyer country subdivision	買い手住所 都道府県	0..1	Text	1930	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:CountrySubentity
								1960	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cac:Country
107	ibg-08	ibt-055	3	Buyer country code	買い手国コード	1..1	Code	1970	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cac:Country/cbc:IdentificationCode
108	ibg-07	ibg-09	2	BUYER CONTACT	買い手連絡先	0..1	Group	2060	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:Contact
109	ibg-09	ibt-056	3	Buyer contact point	買い手連絡先	0..1	Text	2070	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:Name
110	ibg-09	ibt-057	3	Buyer contact telephone number	買い手連絡先電話番号	0..1	Text	2080	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:Telephone
111	ibg-09	ibt-058	3	Buyer contact email address	買い手連絡先電子メールアドレス	0..1	Text	2090	/Invoice/cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:ElectronicMail
112	ibg-00	ibg-10	1	PAYEE	支払先	0..1	Group	2100	/Invoice/cac:PayeeParty
								2130	/Invoice/cac:PayeeParty/cac:PartyName
114	ibg-10	ibt-059	2	Payee name	支払先名称	1..1	Text	2140	/Invoice/cac:PayeeParty/cac:PartyName/cbc:Name
								2110	/Invoice/cac:PayeeParty/cac:PartyIdentification
116	ibg-10	ibt-060	2	Payee identifier	支払先ID	0..1	Identifier	2120	/Invoice/cac:PayeeParty/cac:PartyIdentification/cbc:ID
117	ibt-060	ibt-060-1	3	Scheme identifier	スキーマID	0..1	Scheme	2125	/Invoice/cac:PayeeParty/cac:PartyIdentification/cbc:ID/@schemeID
								2160	/Invoice/cac:PayeeParty/cac:PartyLegalEntity
119	ibg-10	ibt-061	2	Payee legal registration identifier	支払先登録企業ID	0..1	Identifier	2170	/Invoice/cac:PayeeParty/cac:PartyLegalEntity/cbc:CompanyID
120	ibt-061	ibt-061-1	3	Scheme identifier	スキーマID	0..1	Scheme	2180	/Invoice/cac:PayeeParty/cac:PartyLegalEntity/cbc:CompanyID/@schemeID
121	ibg-00	ibg-11	1	SELLER TAX REPRESENTATIVE PARTY	売り手納税管理人	0..1	Group	2190	/Invoice/cac:TaxRepresentativeParty
								2200	/Invoice/cac:TaxRepresentativeParty/cac:PartyName
123	ibg-11	ibt-062	2	Seller tax representative name	売り手納税管理人名称	1..1	Text	2210	/Invoice/cac:TaxRepresentativeParty/cac:PartyName/cbc:Name
								2352	/Invoice/cac:TaxRepresentativeParty/cac:PartyTaxScheme
125	ibg-11	ibt-063	2	Seller tax representative TAX identifier	売り手納税管理人税ID	1..1	Identifier	2354	/Invoice/cac:TaxRepresentativeParty/cac:PartyTaxScheme/cbc:CompanyID
								2356	/Invoice/cac:TaxRepresentativeParty/cac:PartyTaxScheme/cac:TaxScheme
127	ibg-11	ibt-063-1	2	Tax Scheme	税スキーマ	0..1	Scheme	2358	/Invoice/cac:TaxRepresentativeParty/cac:PartyTaxScheme/cac:TaxScheme/cbc:ID
128	ibg-11	ibg-12	2	SELLER TAX REPRESENTATIVE POSTAL ADDRESS	売り手納税管理人住所	1..1	Group	2260	/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress
129	ibg-12	ibt-064	3	Tax representative address line 1	納税管理人住所欄1	0..1	Text	2270	/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:StreetName
130	ibg-12	ibt-065	3	Tax representative address line 2	納税管理人住所欄2	0..1	Text	2280	/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:AdditionalStreetName
								2320	/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cac:AddressLine
132	ibg-12	ibt-164	3	Tax representative address line 3	納税管理人住所欄3	0..1	Text	2330	/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cac:AddressLine/cbc:Line
133	ibg-12	ibt-066	3	Tax representative city	納税管理人住所 市区町村	0..1	Text	2290	/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:CityName
134	ibg-12	ibt-067	3	Tax representative post code	納税管理人郵便番号	0..1	Text	2300	/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:PostalZone
135	ibg-12	ibt-068	3	Tax representative country subdivision	納税管理人住所 都道府県	0..1	Text	2310	/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:CountrySubentity
								2340	/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cac:Country
137	ibg-12	ibt-069	3	Tax representative country code	納税管理人国コード	1..1	Code	2350	/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cac:Country/cbc:IdentificationCode
138	ibg-00	ibg-13	1	DELIVERY INFORMATION	納入先	0..1	Group	2360	/Invoice/cac:Delivery
								2510	/Invoice/cac:Delivery/cac:DeliveryParty
								2520	/Invoice/cac:Delivery/cac:DeliveryParty/cac:PartyName
141	ibg-13	ibt-070	2	Deliver to party name	納入先名称	0..1	Text	2530	/Invoice/cac:Delivery/cac:DeliveryParty/cac:PartyName/cbc:Name
								2380	/Invoice/cac:Delivery/cac:DeliveryLocation
143	ibg-13	ibt-071	2	Deliver to location identifier	納入先ID	0..1	Identifier	2390	/Invoice/cac:Delivery/cac:DeliveryLocation/cbc:ID
144	ibt-071	ibt-071-1	3	Scheme identifier	スキーマID	0..1	Scheme	2400	/Invoice/cac:Delivery/cac:DeliveryLocation/cbc:ID/@schemeID
145	ibg-13	ibt-072	2	Actual delivery date	実際納入日	0..1	Date	2370	/Invoice/cac:Delivery/cbc:ActualDeliveryDate
146	ibg-13	ibg-14	2	INVOICING PERIOD	請求期間	0..1	Group	1130	/Invoice/cac:InvoicePeriod
147	ibg-14	ibt-073	3	Invoicing period start date	請求期間開始日	0..1	Date	1140	/Invoice/cac:InvoicePeriod/cbc:StartDate
148	ibg-14	ibt-074	3	Invoicing period end date	請求期間終了日	0..1	Date	1150	/Invoice/cac:InvoicePeriod/cbc:EndDate
149	ibg-13	ibg-15	2	DELIVER TO ADDRESS	納入先住所	0..1	Group	2410	/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address
150	ibg-15	ibt-075	3	Deliver to address line 1	納入先住所欄1	0..1	Text	2420	/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:StreetName
151	ibg-15	ibt-076	3	Deliver to address line 2	納入先住所欄2	0..1	Text	2430	/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:AdditionalStreetName
152	ibg-15	ibt-165	3	Deliver to address line 3	納入先住所欄3	0..1	Text	2480	/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cac:AddressLine/cbc:Line
153	ibg-15	ibt-077	3	Deliver to city	納入先住所 市区町村	0..1	Text	2440	/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:CityName
154	ibg-15	ibt-078	3	Deliver to post code	納入先郵便番号	0..1	Text	2450	/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:PostalZone
155	ibg-15	ibt-079	3	Deliver to country subdivision	納入先住所 都道府県	0..1	Text	2460	/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:CountrySubentity
								2490	/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cac:Country
157	ibg-15	ibt-080	3	Deliver to country code	納入先国コード	1..1	Code	2500	/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cac:Country/cbc:IdentificationCode
158	ibg-00	ibg-16	1	PAYMENT INSTRUCTIONS	支払指示	0..n	Group	2540	/Invoice/cac:PaymentMeans
159	ibg-16	ibt-178	2	Payment Instructions ID	支払指示ID	0..1	Identifier	2545	/Invoice/cac:PaymentMeans/cbc:ID
160	ibg-16	ibt-081	2	Payment means type code	支払手段タイプコード	1..1	Code	2550	/Invoice/cac:PaymentMeans/cbc:PaymentMeansCode
161	ibg-16	ibt-082	2	Payment means text	支払手段内容説明	0..1	Text	2560	/Invoice/cac:PaymentMeans/cbc:PaymentMeansCode/@Name
162	ibg-16	ibt-083	2	Remittance information	送金情報	0..n	Text	2570	/Invoice/cac:PaymentMeans/cbc:PaymentID
163	ibt-083	ibt-083-1	3	Scheme identifier	スキーマID	0..1	Code	2571	/Invoice/cac:PaymentMeans/cbc:PaymentID/@SchemeID
164	ibg-16	ibg-17	2	CREDIT TRANSFER	銀行振込	0..n	Group	2580	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount
165	ibg-17	ibt-084	3	Payment account identifier	支払先口座ID	1..1	Identifier	2590	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cbc:ID
166	ibg-17	ibt-084-1	3	Scheme identifier	スキーマID	0..1	Code	2591	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cbc:ID/@SchemeID
167	ibg-17	ibt-085	3	Payment account name	支払先口座名義人名	0..1	Text	2600	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cbc:Name
								2610	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch
169	ibg-17	ibt-086	3	Payment service provider identifier	支払先金融機関ID	0..1	Identifier	2619	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cbc:ID
170	ibg-17	ibg-34	3	ADDRESS	住所	0..1	Group	2620	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cac:Address
171	ibg-34	ibt-169	4	Account address line 1	支払先口座住所欄1	0..1	Text	2621	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cac:Address/cbc:StreetName
172	ibg-34	ibt-170	4	Account address line 2	支払先口座住所欄2	0..1	Text	2622	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cac:Address/cbc:AdditionalStreetName
173	ibg-34	ibt-171	4	Account city	支払先口座住所 市区町村	0..1	Text	2623	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cac:Address/cbc:CityName
174	ibg-34	ibt-172	4	Account post code	支払先口座郵便番号	0..1	Text	2624	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cac:Address/cbc:PostalZone
175	ibg-34	ibt-173	4	Account country subdivision	支払先口座住所 都道府県	0..1	Text	2625	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cac:Address/cbc:CountrySubentity
								2626	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cac:Address/cac:AddressLine
177	ibg-34	ibt-174	4	Account address line 3	支払先口座住所欄3	0..1	Text	2627	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cac:Address/cac:AddressLine/cbc:Line
								2628	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cac:Address/cac:Country
179	ibg-34	ibt-175	4	Account country code	支払先口座国コード	0..1	Code	2629	/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cac:Address/cac:Country/cbc:IdentificationCode
180	ibg-16	ibg-18	2	PAYMENT CARD INFORMATION	支払カード情報	0..1	Group	2630	/Invoice/cac:PaymentMeans/cac:CardAccount
181	ibg-18	ibt-087	3	Payment card primary account number	支払カード番号	1..1	Text	2640	/Invoice/cac:PaymentMeans/cac:CardAccount/cbc:PrimaryAccountNumberID
								2650	/Invoice/cac:PaymentMeans/cac:CardAccount/cbc:NetworkID
183	ibg-18	ibt-088	3	Payment card holder name	カード名義人氏名	0..1	Text	2660	/Invoice/cac:PaymentMeans/cac:CardAccount/cbc:HolderName
184	ibg-16	ibg-19	2	DIRECT DEBIT	自動口座引落	0..1	Group	2670	/Invoice/cac:PaymentMeans/cac:PaymentMandate
185	ibg-19	ibt-089	3	Mandate reference identifier	マンデーション参照ID	0..1	Identifier	2680	/Invoice/cac:PaymentMeans/cac:PaymentMandate/cbc:ID
								2685	/Invoice/cac:PaymentMeans/cac:PaymentMandate/cac:PayerFinancialAccount
187	ibg-19	ibt-091	3	Debited account identifier	自動引落口座ID	0..1	Identifier	2690	/Invoice/cac:PaymentMeans/cac:PaymentMandate/cac:PayerFinancialAccount/cbc:ID
188	ibg-00	ibg-35	1	PAID AMOUNTS	支払済金額	0..n	Group	2720	/Invoice/cac:PrepaidPayment
189	ibg-35	ibt-179	2	Payment identifier	支払ID	0..1	Identifier	2721	/Invoice/cac:PrepaidPayment/cbc:ID
190	ibg-35	ibt-180	2	Paid amount	支払済金額	1..1	Amount	2722	/Invoice/cac:PrepaidPayment/cbc:PaidAmount
191	ibg-35	ibt-181	2	The date when the paid amount is debited to the invoice	支払済金額が請求書に差引記載される日	0..1	Date	2723	/Invoice/cac:PrepaidPayment/cbc:ReceivedDate
192	ibg-35	ibt-182	2	Payment type	支払タイプ	0..1	Code	2724	/Invoice/cac:PrepaidPayment/cbc:InstructionID
193	ibg-00	ibg-20	1	DOCUMENT LEVEL ALLOWANCES	ドキュメントレベルの返還請求	0..n	Group	2730	/Invoice/cac:AllowanceCharge[cbc:ChargeIndicator=false()]
