Sem Sort,ID,Level,Business term name ,日本語訳,Term semantic definition,説明,Additional explanation,追加説明,Example Value (値の例),Card.,Data Type,Section,BIS Extension,Synt Sort,UBL syntax binding Xpath,selectors,Attributes - adjustments,Codel list,Cardinality,Cardinality Alignment
1030,ibt-005,1,Invoice currency code,請求書通貨コード,"The currency in which all Invoice amounts are given, except for the Total TAX amount in accounting currency.",請求書に記載された通貨を表すコード。会計通貨での請求書消費税合計金額を除き、請求書に記載されている全て金額の表示の通貨コード。,The currency code must be the one listed in the ISO 4217 Currency codes. ,通貨コードは、ISO 4217 Currency codes で定められているものを使用しなければならない。,JPY,1..1,Code,Shared,,1090,/Invoice/cbc:DocumentCurrencyCode,,,,0..1,CAR-2
1040,ibt-006,1,Tax accounting currency,税会計報告用通貨コード,The currency used for TAX accounting and reporting purposes as accepted or required in the country of the Seller.,会計報告や財務報告に使用する通貨を表すコード。売り手の国で認められたもしくは要求された会計報告や財務報告に使用する通貨を表すコード。,The currency code must be the one listed in the ISO 4217 Currency codes. ,通貨コードは、ISO 4217 Currency codes で定められているものを使用しなければならない。,,0..1,Code,Aligned,,1100,/Invoice/cbc:TaxCurrencyCode,,,,0..1,
1180,ibt-019,1,Buyer accounting reference,買い手会計参照,A textual value that specifies where to book the relevant data into the Buyer's financial accounts.,買い手の財務勘定科目に関連データを記帳する場所を指定する。買い手のどの勘定に関連データを記帳すべきかを指定するためのテキスト値。,,,,0..1,Text,Shared,,1110,/Invoice/cbc:AccountingCost,,,,0..1,
1080,ibt-010,1,Buyer reference ,買い手参照,An identifier assigned by the Buyer used for internal routing purposes.,買い手によって割り当てられたIDで、買い手の内部ルーティングの目的で使用。買い手が付したIDで、買い手内部での後続処理目的で使用。,,,,0..1,Text,Shared,,1120,/Invoice/cbc:BuyerReference,,,,0..1,
1970,ibg-14,2,INVOICING PERIOD ,請求期間,A group of business terms providing information on the invoice period.,請求期間に関わる情報。,"To present ""date of the transfer of taxable assets, etc"", in case that ""date of the transfer of taxable assets, etc"" is a single date,  ibt-007 tax point date can be used. In case that ""date of the transfer of taxable assets, etc"" is a period, ibg-14 INVOICING PERIOD on document level can be used. ibg-14 defines period during which the goods or services that are invoiced were provided. The main use case is for metered service. As example online data consumption or utililities but it can also be used for goods delivered during a period, as is the case for the summarized invoice. In the same way IBG-26 INVOICE LINE PERIOD on line level can be used when there are different dates for each line.",課税資産の譲渡等の日を表すために、課税資産の譲渡等の日が単一の日付の場合は、ibt-007 課税基準日の日付を使用できる。課税資産の譲渡等の日が期間の場合、ドキュメントレベルの IBG-14 請求期間を使用できる。IBG-14は、請求される商品またはサービスが提供された期間を定義している。主な使用例は、従量制サービスであり、 例としてはオンラインデータの消費あるいは電気ガス水道といった公益料金であるが、合算請求書のケースのように、期間中に提供された商品の場合にも使用できる。同様に、各行ごとに課税資産の譲渡等の日が異なる場合、請求書明細行レベルのIBG-26 請求書明細行の期間を使用できる。,,0..1,Group,,,1130,/Invoice/cac:InvoicePeriod,,,,0..1,
1980,ibt-073,3,Invoicing period start date,請求期間開始日,The date when the Invoice period starts.,請求期間開始日。,The date is described in the Christian era and is YYYY-MM-DD according to the rule PEPPOL-EN16931-F001. ,日付表示は西暦表示で、ルール PEPPOL-EN16931-F001 に従い、YYYY-MM-DD となる。,,0..1,Date,Shared,,1140,/Invoice/cac:InvoicePeriod/cbc:StartDate,,,,0..1,
1990,ibt-074,3,Invoicing period end date,請求期間終了日,The date when the Invoice period ends.,請求期間終了日。,The date is described in the Christian era and is YYYY-MM-DD according to the rule PEPPOL-EN16931-F001. ,日付表示は西暦表示で、ルール PEPPOL-EN16931-F001 に従い、YYYY-MM-DD となる。,,0..1,Date,Shared,,1150,/Invoice/cac:InvoicePeriod/cbc:EndDate,,,,0..1,
1060,ibt-008,1,TAX point date code,課税基準日コード,The code of the date when the TAX becomes accountable for the Seller and for the Buyer.,売り手、買い手が税を記帳する日付が何であるかを示すコード。,"The TAX point date code must be the one listed in the UNCL2005 subset. \n3 Invoice document issue date time \n35 Delivery date/time, actual\n432 Paid to date","VAT date code (UNCL2005 subset) から選択する。\n3 Invoice document issue date time (請求書発行日付時刻)\n35 Delivery date/time, actual (実際納入日付時刻)\n432 Paid to date (支払日)",3,0..1,Code,Aligned,,1160,/Invoice/cac:InvoicePeriod/cbc:DescriptionCode,,,UNCL2005,0..n,CAR-3
,,,,,,,,,,,,,,1170,/Invoice/cac:OrderReference,,,,0..1,
1110,ibt-013,1,Purchase order reference,購買発注参照,"An identifier of a referenced purchase order, issued by the Buyer.",買い手が発行した購買発注を参照する場合の当該購買発注に記載の文書番号。,,,AA-123-AA,0..1,Document reference,Shared,,1180,/Invoice/cac:OrderReference/cbc:ID,,,,1..1,CAR-1
1120,ibt-014,1,Sales order reference,受注参照,An identifier of a referenced sales order issued by the Seller. ,売り手が発行した受注を参照する場合の当該受注に記載の文書番号。,,,,0..1,Document reference,Shared,,1190,/Invoice/cac:OrderReference/cbc:SalesOrderID,,,,0..1,
1260,ibg-03,1,PRECEDING INVOICE REFERENCE,先行請求書への参照,A group of business terms providing information on one or more preceding Invoices.,1つ以上の先行請求書に関する情報。\n,,,,0..n,Group,,,1200,/Invoice/cac:BillingReference,,,,0..n,
,,,,,,,,,,,,,,1210,/Invoice/cac:BillingReference/cac:InvoiceDocumentReference,,,,0..1,
1270,ibt-025,2,Preceding Invoice reference,先行請求書への参照,The identification of an Invoice that was previously sent by the Seller.,売り手が以前に送付した請求書番号。,,,,1..1,Document reference,Shared,,1220,/Invoice/cac:BillingReference/cac:InvoiceDocumentReference/cbc:ID,,,,1..1,
1280,ibt-026,2,Preceding Invoice issue date,先行請求書発行日,The date when the Preceding Invoice was issued.,先行請求書の発行日。,The date is described in the Christian era and is YYYY-MM-DD according to the rule PEPPOL-EN16931-F001. ,日付表示は西暦表示で、ルール PEPPOL-EN16931-F001 に従い、YYYY-MM-DD となる。,,0..1,Date,Shared,,1230,/Invoice/cac:BillingReference/cac:InvoiceDocumentReference/cbc:IssueDate,,,,0..1,
,,,,,,,,,,,,,,1240,/Invoice/cac:DespatchDocumentReference,,,,0..n,
1140,ibt-016,1,Despatch advice reference,出荷案内書(納品書)参照,An identifier of a referenced despatch advice.,参照する出荷案内書（納品書）に売り手が付番した番号。,,,,0..n,Document reference,Aligned,Cardinality from 0..1 to 0..n,1250,/Invoice/cac:DespatchDocumentReference/cbc:ID,,,,1..1,CAR-4
,,,,,,,,,,,,,,1260,/Invoice/cac:ReceiptDocumentReference,,,,0..n,
1130,ibt-015,1,Receiving advice reference,受取通知書(検収書)参照,An identifier of a referenced receiving advice.,参照する受取通知書（検収書）に売り手が付番した番号。,,,,0..1,Document reference,Shared,,1270,/Invoice/cac:ReceiptDocumentReference/cbc:ID,,,,1..1,CAR-1
,,,,,,,,,,,,,,1280,/Invoice/cac:OriginatorDocumentReference,,,,0..n,
1150,ibt-017,1,Tender or lot reference,入札又はロット参照,The identification of the call for tender or lot the invoice relates to.,参照する入札またはロットの番号。,,,,0..1,Document reference,Shared,,1290,/Invoice/cac:OriginatorDocumentReference/cbc:ID,,,,1..1,CAR-1
,,,,,,,,,,,,,,1300,/Invoice/cac:ContractDocumentReference,,,,0..n,
1100,ibt-012,1,Contract reference ,契約書参照,The identification of a contract.,参照する契約書に記載の文書番号。,,,,0..1,Document reference,Shared,,1310,/Invoice/cac:ContractDocumentReference/cbc:ID,,,,1..1,CAR-1
2570,ibg-24,1,ADDITIONAL SUPPORTING DOCUMENTS,添付書類,A group of business terms providing information about additional supporting documents substantiating the claims made in the Invoice.,請求書内で行われたクレームを実証する添付書類についての情報。大規模な添付ファイルの場合や、個人関連サービスなどの機密情報を請求書自体から分離する必要がある場合など、外部ドキュメントにリンクするオプションが必要になる。,,添付文書は、売り手が知っていると予想される文書番号を参照するために、外部文書(URLによって参照される)として、または埋め込み文書(PDF形式の時間レポートなど)として使用することができる。セキュリティの観点から、外部文書(URLによって参照される)は、用いない方が望ましい。,,0..n,Group,,,1320,/Invoice/cac:AdditionalDocumentReference[not(cbc:DocumentTypeCode='130')],,,,0..n,
2580,ibt-122,2,Supporting document reference,添付書類への参照,An identifier of the supporting document. ,添付書類のID。,,,,1..1,Document reference,Shared,,1330,/Invoice/cac:AdditionalDocumentReference[not(cbc:DocumentTypeCode='130')]/cbc:ID,,,,1..1,
1160,ibt-018,1,Invoiced object identifier,請求されるオブジェクトID,"An identifier for an object on which the invoice is based, given by the Seller.",請求書の根拠となるIDで、売り手が指定。請求書の根拠となるオブジェクトのIDで、売り手が指定したもの。,,,,0..1,Identifier,Shared,,1340,/Invoice/cac:AdditionalDocumentReference[cbc:DocumentTypeCode='130']/cbc:ID,with cbc:DocumentTypeCode = 130,with cbc:DocumentTypeCode = '130',,1..1,CAR-1
1170,ibt-018-1,2,The identification scheme identifier of the Invoiced object identifier.,請求されるオブジェクトIDのスキーマID,"If it may be not clear for the receiver what scheme is used for the identifier, a conditional scheme identifier should be used that shall be chosen from the UNTDID 1153 code list [6] entries.",受信者にとって、IDにどのスキーマが使用されているかが明確でない場合は、UNTDID1153コードリストから選択される条件付きスキーマIDを使用する必要がある。,,,,0..1,Scheme identifier of Identifier,Shared,,1350,/Invoice/cac:AdditionalDocumentReference[cbc:DocumentTypeCode='130']/cbc:ID/@schemeID,,,UNCL1153,-,
,,,,,,,,,,,,,,1355,/Invoice/cac:AdditionalDocumentReference[not(cbc:DocumentTypeCode='130')]/cbc:DocumentTypeCode,,#N/A,,#N/A,
2590,ibt-123,2,Supporting document description,添付書類の説明,A description of the supporting document. ,添付書類の説明。,,,,0..1,Text,Shared,,1360,/Invoice/cac:AdditionalDocumentReference[not(cbc:DocumentTypeCode='130')]/cbc:DocumentDescription,,,,0..n,CAR-3
,,,,,,,,,,,,,,1370,/Invoice/cac:AdditionalDocumentReference[not(cbc:DocumentTypeCode='130')]/cac:Attachment,,,,0..1,
2610,ibt-125,2,Attached document,添付書類,An attached document embedded as binary object or sent together with the invoice.,バイナリオブジェクトとして埋め込まれた、または請求書と一緒に送られた添付書類。,,,,0..1,Binary objects,Shared,,1380,/Invoice/cac:AdditionalDocumentReference[not(cbc:DocumentTypeCode='130')]/cac:Attachment/cbc:EmbeddedDocumentBinaryObject,check BT-18,check BT-18,,0..1,
2630,ibt-125-2,3,Attached document Filename,添付書類ファイル名,,添付書類のファイル名。,,,,1..1,Filename of Binary objects,Shared,,1390,/Invoice/cac:AdditionalDocumentReference[not(cbc:DocumentTypeCode='130')]/cac:Attachment/cbc:EmbeddedDocumentBinaryObject/@filename,,,,-,
2620,ibt-125-1,3,Attached document Mime code,添付書類MIMEコード,Allowed mime codes:\n- application/pdf\n- image/png\n- image/jpeg\n- text/csv\n- application/vnd.openxmlformats-officedocument.spreadsheetml.sheet\n- application/vnd.oasis.opendocument. spreadsheet,許可されているMIMEコード:\n- application/pdf \n- image/png \n- image/jpeg \n- text/csv \n- application/vnd.openxmlformats-officedocument.spreadsheetml.sheet \n- application/vnd.oasis.opendocument.spreadsheet,,,,1..1,Mime Code of Binary objects,Aligned,,1400,/Invoice/cac:AdditionalDocumentReference[not(cbc:DocumentTypeCode='130')]/cac:Attachment/cbc:EmbeddedDocumentBinaryObject/@mimeCode,,,MimeCode,-,
,,,,,,,,,,,,,,1410,/Invoice/cac:AdditionalDocumentReference[not(cbc:DocumentTypeCode='130')]/cac:Attachment/cac:ExternalReference,,,,0..1,
2600,ibt-124,3,External document location,添付書類の保管場所(外部),The URL (Uniform Resource Locator) that identifies where the external document is located.,添付書類が存在する場所を識別するための URL。,,例えば、http://または ftp://.と買い手が請求書を補足するために追加情報を必要とする場合は、外部文書保管場所を使用するものとする。外部文書は請求書の一部ではない。外部文書へのアクセスにはリスクが伴う。外部文書にアクセスできなくても請求書を処理できなければならない。,,0..1,Text,Shared,,1420,/Invoice/cac:AdditionalDocumentReference[not(cbc:DocumentTypeCode='130')]/cac:Attachment/cac:ExternalReference/cbc:URI,,,,0..1,
,,,,,,,,,,,,,,1430,/Invoice/cac:ProjectReference,,,,0..n,
1090,ibt-011,1,Project reference,プロジェクト参照,The identification of the project the invoice refers to ,発注品に関するプロジェクト・工事案件等を管理するための番号。インボイスが参照するプロジェクトのID。,,,,0..1,Document reference,Shared,,1440,/Invoice/cac:ProjectReference/cbc:ID,,,,1..1,CAR-1
1290,ibg-04,1,SELLER,売り手,A group of business terms providing information about the Seller.,売り手に係る情報。,,,,1..1,Group,,,1450,/Invoice/cac:AccountingSupplierParty,,,,1..1,
,,,,,,,,,,,,,,1460,/Invoice/cac:AccountingSupplierParty/cac:Party,,,,0..1,
1400,ibt-034,2,Seller electronic address,売り手電子アドレス,Identifies the Seller's electronic address to which the application level response to the invoice may be delivered.,請求書に対するアプリケーションレベルの応答が配信される売り手の電子アドレスを識別する。,"In case of Japan, it is supposed that ibt-029, ibt-030, ibt-031 and ibt-034 are used in the following way. ibt-029 is used to set identifier issued by numbering agencies (such as JIPDEC, TDB, TSR), ibt-030 is used to set  identifier issued by government/tax authority, ibt-031 is used to set Japan consumption tax registration number, and ibt-034 is used to set user ID of Peppol eDelivery Network.","日本の場合、ibt-029: 民間等発行の識別番号(JIPDEC, TDB, TSR等)、ibt-30: 国/税務当局発行の識別番号(国税庁法人番号)、ibt-031: 適格請求書発行事業者登録番号、ibt-034: Peppol eDelivery NetworkのユーザーID のように使い分けることが想定されている。",JP1234567890123,0..1,Identifier,Shared,,1470,/Invoice/cac:AccountingSupplierParty/cac:Party/cbc:EndpointID,,,,0..1,
1410,ibt-034-1,3,Scheme identifier,スキーマID,The scheme identifier shall be chosen from a list to be maintained by the Connecting Europe Facility.,スキーマIDは、Connecting Europe Facility (CEF) が管理するリストから選択しなければならない。,"Request for Change has been submitted to OpenPEPPOL to add 0147 Standard Company Code, 0170 Teikoku Company Code and 0188 Corporate Number of The Social Security and Tax Number System to EAS list. ","0147 Standard Company Code (JIPDECが発番/管理しているコード), 0170 Teikoku Company Code (帝国データバンクの企業コード), 0188 Corporate Number of The Social Security and Tax Number System (社会保障・税制度の法人番号) をEASリストに追加してもらうよう、変更リクエストをOpenPEPPOLに提出済。",188,1..1,Scheme identifier of Identifier,Shared,,1480,/Invoice/cac:AccountingSupplierParty/cac:Party/cbc:EndpointID/@schemeID,,,eas,-,
,,,,,,,,,,,,,,1490,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification,,,,0..n,
1330,ibt-029,2,Seller identifier ,売り手ID,An identification of the Seller.,売り手を表すID。,"The difference between ibt-029 and ibt-030 is in the semantics. ibt-29 is an identifier for the seller and any ICD registered identifier scheme can be used. ibt-30 is however specifically defined as the sellers legal registration identifier and is usually related to the companies registration with the country registrar or tax authorities. For each country there is usually only one identifiers scheme allowed as legal id. It is not uncommon that the seller identifier (ibt-29) is the same as the legal identifier (ibt-30) but their semantic meaning is different, in ibt-29 it is identifying it from a business perspective but in ibt-30 from a legal perspective. In case of Japan, it is supposed that ibt-029, ibt-030, ibt-031 and ibt-034 are used in the following way. ibt-029 is used to set identifier issued by numbering agencies (such as JIPDEC, TDB, TSR), ibt-030 is used to set  identifier issued by government/tax authority, ibt-031 is used to set Japan consumption tax registration number, and ibt-034 is used to set user ID of Peppol eDelivery Network.","ibt-029とibt-030の違いは、セマンティック(意味)の違いである。 ibt-29は売り手のID/識別子であり、ICDに登録されているID/識別子スキーマであれば何でも使用できる。しかしながら、ibt-30は、売り手の法的登録IDとして具体的に定義されており、通常、国の登録機関または税務当局への企業登録に関連している。 各国ごとに、通常、法的IDとして認められているID/識別子スキーマは、ひとつだけである。売り手ID (ibt-29) が法的ID (ibt-30) と同じであることは珍しいことではないが、意味は異なる。ibt-29では、ビジネスの観点からのID/識別子であるが、ibt-30では、法的観点からのID/識別子である。日本の場合、ibt-029: 民間等発行の識別番号(JIPDEC, TDB, TSR等)、ibt-30: 国/税務当局発行の識別番号(国税庁法人番号)、ibt-031: 適格請求書発行事業者登録番号、ibt-034: Peppol eDelivery NetworkのユーザーID のように使い分けることが想定されている。",123456:000123:0147:1,0..n,Identifier,Shared,,1500,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification/cbc:ID,,,,1..1,CAR-4
1340,ibt-029-1,3,Scheme identifier,スキーマID,"If used, the identification scheme identifier shall be chosen from the entries of the list published by the ISO/IEC 6523 maintenance agency.",使用する場合、スキーマIDは、ISO / IEC6523 の保守機関によって公開されたリストから選択しなければならない。,"For example, 0147 Standard Company Code. Partner identification code which is registered with JIPDEC/ECPC. Issuing agency: JIPDEC, Japan. It consists of company identification number (6 digit) + sub-number (6 digit). Company identification number (6 digit) is issued by JIPDEC, on the other hand, sub-number (6 digit), which is for identifying branch or division inside company, is issued and managed by each company. Another example is 0170 Teikoku Company Code (123456789::0170:0).",例えば、0147 Standard Company Code は、JIPDEC が発番する標準企業コードであるが、企業識別コード6桁＋枝番6桁の合計12桁で構成されており、企業識別コード6桁は　JIPDEC が発番するが、枝番6桁は、支店や部署の識別のため、各企業が採番・管理を行うものであり、JIPDECのコードを用いて、支店や部署まで特定することが可能である。別の例としては、0170 Teikoku Company Code (帝国データバンクの企業コード(TDB企業コード))がある(123456789::0170:0)。,147,0..1,Scheme identifier of Identifier,Shared,,1510,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification/cbc:ID/@schemeID,,,"ICD,SEPA",-,
2210,ibt-090,3,Bank assigned creditor identifier,銀行が割り当てた債権者ID,Unique banking reference identifier of the Payee or Seller assigned by the Payee or Seller bank.,受取人(支払先)または売り手の取引銀行によって割り当てられた受取人(支払先)または売り手の取引銀行参照ID。,,SEPA口座振替を買い手に事前に通知するために使用。,,0..1,Identifier,Aligned,,1520,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification/cbc:ID,,,,1..1,CAR-1
,,,,,,,,,,,,,,1530,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyName,,,,0..n,
1320,ibt-028,2,Seller trading name,売り手商号,"A name by which the Seller is known, other than Seller name (also known as Business name).",売り手名称以外で、知られているビジネス上の名称。,,,株式会社 ○○商事,0..1,Text,Shared,,1540,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyName/cbc:Name,,,,1..1,CAR-1
1415,ibg-05,2,SELLER POSTAL ADDRESS,売り手住所,A group of business terms providing information about the address of the Seller.,売り手の住所に関する情報。,,請求書を発行する法人の登録済住所で、請求書が本社によって発行される場合は本社の住所、支社によって発行される場合は支社の住所となる。,,1..1,Group,,,1550,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress,,,,0..1,CAR-2
1420,ibt-035,3,Seller address line 1 ,売り手住所欄1,The main address line in an address. ,売り手の住所欄1。,,,四谷4-29-X,0..1,Text,Shared,,1560,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:StreetName,,,,0..1,
1430,ibt-036,3,Seller address line 2,売り手住所欄2,An additional address line in an address that can be used to give further details supplementing the main line.,売り手の住所欄2。,,,〇〇商事ビル,0..1,Text,Shared,,1570,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:AdditionalStreetName,,,,0..1,
1450,ibt-037,3,Seller city,売り手住所 市区町村,"The common name of the city, town or village, where the Seller address is located.",売り手住所 市区町村。,,,新宿区,0..1,Text,Shared,,1580,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:CityName,,,,0..1,
1460,ibt-038,3,Seller post code,売り手郵便番号,The identifier for an addressable group of properties according to the relevant postal service.,売り手の郵便番号。,,,160-0044,0..1,Text,Shared,,1590,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:PostalZone,,,,0..1,
1470,ibt-039,3,Seller country subdivision ,売り手住所 都道府県,The subdivision of a country. ,売り手住所の地方区分。日本の場合は、都道府県。,,,東京都,0..1,Text,Shared,,1595,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:CountrySubentity,,,,0..1,
,,,,,,,,,,,,,,1600,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cac:AddressLine,,,,0..n,
