num	行番号	ヘッダ/明細	国連CEFACT BIE辞書ID番号	項目種	DictionaryEntryName	"項目名 =SUBSTITUTE(G1,CHAR(10),"""")"	項目定義	繰返し	補足１	補足２	補足３	制定/改定	非公開	中小基本必須	適格請求書対応	情報項目名	備考
1_29_37	36	ヘッダ部	UN01005876	ASBIE	CIIH_ Exchanged_ Document. Included. CI_ Note	請求文書／注釈アソシ エーション	請求書に含まれる注釈のアソシエーション ん。	0..n				v1					
1_29_37_0	37	ヘッダ部	UN01005557	ABIE	CI_ Note. Details	請求注釈クラス	注釈を記述するためのクラス	-				v1					
1_29_37_38	38	ヘッダ部	UN01005558	BBIE	CI_ Note. Subject. Text	請求注釈表題ｎ	注釈内容の表題を示す。	0..1	言語コード			v1					
1_29_37_39	39	ヘッダ部	UN01005560	BBIE	CI_ Note. Content. Text	請求注釈内容ｎ	注釈項目ごとの内容情報を入力するフリースペース。	0..1	言語コード			v1					
1_29_37_40	40	ヘッダ部	UN01005562	BBIE	CI_ Note. Identification. Identifier	請求注釈識別子	注釈の識別番号	0..1				v1	△				
1_41	41	ヘッダ部	UN01005936	ASMA	CIIH_ Supply Chain_ Trade Transaction. Details	請求取引内容クラス	請求で伝達される個別取引の内容に関する情報からなるクラス。	1..1				v1					
1_41_43	42	ヘッダ部	UN01005937	ASBIE	CIIH_ Supply Chain_ Trade Transaction. Applicable. CIIH_ Supply Chain_ Trade Agreement	請求取引内容／請求契 約アソシエーション	請求取引に適用される取引契約内容に係る アソシエーション。	0..1				v1					
1_41_43_0	43	ヘッダ部	UN01005878	ABIE	CIIH_ Supply Chain_ Trade Agreement. Details	請求契約クラス	請求に関わる取引契約に係る情報からなるクラス。	−				v1					
1_41_43_45	44	ヘッダ部	UN01005879	ASBIE	CIIH_ Supply Chain_ Trade Agreement. Seller. CI_ Trade_ Party	請求契約／受注者アソ シエーション	請求に関わる取引契約の受注者に関するア ソシエーション。	0..1				v1					
1_41_43_45_0	45	ヘッダ部	UN01005756	ABIE	CI_ Trade_ Party. Details	受注者クラス	受注者に係る情報からなるクラス。	−				v1					
1_41_43_45_46	46	ヘッダ部	UN01005757	BBIE	CI_ Trade_ Party. Identification. Identifier	受注者コード	注文を受ける企業等を表すコード。	0..1				v1		〇			
1_41_43_45_47	47	ヘッダ部	UN01005758	BBIE	CI_ Trade_ Party. Global_ Identification. Identifier	受注者国際企業コード	注文を受ける企業を表す法人コード。	0..1	コード表識別子	コード表管理者コード	コード表管理者名	v1					
1_41_43_45_48	48	ヘッダ部	UN01005759	BBIE	CI_ Trade_ Party. Name.  Text	受注者名称	注文を受ける企業等を表す名称。	0..1	言語コード			v1		〇			
1_41_43_45_50	49	ヘッダ部	UN01005761	ASBIE	CI_ Trade_ Party. Defined. CI_ Trade_ Contact	受注者／連絡先アソシエーション	受注者の連絡先に関わる情報	0..1				v1					
1_41_43_45_50_0	50	ヘッダ部	UN01005718	ABIE	CI_ Trade_ Contact. Details	連絡先クラス	連絡先に係る情報からなるクラス。	−				v1					
1_41_43_45_50_51	51	ヘッダ部	UN01005719	BBIE	CI_ Trade_ Contact. Identification. Identifier	受注部門コード	受注者の受注部門を表すコード。	0..1				v1					
1_41_43_45_50_52	52	ヘッダ部	UN01005720	BBIE	CI_ Trade_ Contact. Person Name.  Text	受注者担当名	取引連絡先の個人の、文字で表現された名前。	0..1	言語コード			v1					
1_41_43_45_50_53	53	ヘッダ部	UN01005721	BBIE	CI_ Trade_ Contact. Department Name.  Text	受注者部門名	受注者の受注部門の名称。	0..1	言語コード			v1					
1_41_43_45_50_55	54	ヘッダ部	UN01005726	ASBIE	CI_ Trade_ Contact. Telephone. CI_ Universal_Communication	連絡先／電話情報アソシエーション	連絡先の電話に関わるアソシエーション。	0..1				v1					
1_41_43_45_50_55_0	55	ヘッダ部	UN01005857	ABIE	CI_ Universal_ Communication. Details	電話通信クラス	通信（電話）に関わる情報からなるクラス。	−				v1					
1_41_43_45_50_55_56	56	ヘッダ部	UN01005860	BBIE	CI_ Universal_ Communication. CompleteNumber. Text	受注者電話番号	受注者の電話番号。	0..1				v1					
1_41_43_58	57	ヘッダ部	UN01005880	ASBIE	CIIH_ Supply Chain_ Trade Agreement. Buyer. CI_ Trade_ Party	請求契約／発注者アソ シエーション	請求に関わる取引契約の発注者に係るアソ シエーション。	0..1				v1					
1_41_43_58_0	58	ヘッダ部	UN01005756	ABIE	CI_ Trade_ Party. Details	発注者クラス	発注者に係る情報からなるクラス。	−				v1					
1_41_43_58_59	59	ヘッダ部	UN01005757	BBIE	CI_ Trade_ Party. Identification. Identifier	発注者コード	注文を行う企業等を表すコード。	0..1				v1		〇			
1_41_43_58_60	60	ヘッダ部	UN01005758	BBIE	CI_ Trade_ Party. Global_ Identification. Identifier	発注者国際企業コード	注文を行う企業を表す法人コード。	0..1	コード表識別子	コード表管理者コード	コード表管理者名	v1					
1_41_43_58_61	61	ヘッダ部	UN01005759	BBIE	CI_ Trade_ Party. Name.  Text	発注者名称	発注を行う企業等の名称	0..1	言語コード			v1		〇			
1_41_43_58_63	62	ヘッダ部	UN01005761	ASBIE	CI_ Trade_ Party. Defined. CI_ Trade_ Contact	発注者／連絡先アソシ エーション	発注者の連絡先に関わるアソシエーション	0..1				v1					
1_41_43_58_63_0	63	ヘッダ部	UN01005718	ABIE	CI_ Trade_ Contact. Details	連絡先クラス	連絡先に係る情報からなるクラス。	−				v1					
1_41_43_58_63_64	64	ヘッダ部	UN01005719	BBIE	CI_ Trade_ Contact. Identification. Identifier	発注者部門コード	発注者の発注部門を表すコード。	0..1				v1					
1_41_43_58_63_65	65	ヘッダ部	UN01005720	BBIE	CI_ Trade_ Contact. Person Name.  Text	発注者担当名	発注者の発注担当者の名称	0..1	言語コード			v1					
1_41_43_58_63_66	66	ヘッダ部	UN01005721	BBIE	CI_ Trade_ Contact. Department Name.  Text	発注者部門名	発注者の発注部門を表す名称	0..1	言語コード			v1					
1_41_43_58_63_68	67	ヘッダ部	UN01005726	ASBIE	CI_ Trade_ Contact. Telephone. CI_ Universal_Communication	連絡先／電話情報アソシエーション	連絡先の電話に関わるアソシエーション。	0..1				v1					
1_41_43_58_63_68_0	68	ヘッダ部	UN01005857	ABIE	CI_ Universal_ Communication. Details	電話通信クラス	通信（電話）に関わる情報からなるクラス。	−				v1					
1_41_43_58_63_68_69	69	ヘッダ部	UN01005860	BBIE	CI_ Universal_ Communication. CompleteNumber. Text	発注者電話番号	発注者の電話番号。	0..1				v1					
1_41_43_71	70	ヘッダ部	UN01005890	ASBIE	CIIH_ Supply Chain_ Trade Agreement. Contract_ Referenced. CI_ Referenced_ Document	請求契約／参照文書ア ソシエーション	この請求書が参照する文書のアソシエー ション	0..1				v1					
1_41_43_71_0	71	ヘッダ部	UN01005579	ABIE	CI_ Referenced_ Document. Details	参照文書クラス	参照文書に関する情報のクラス	−				v1					
1_41_43_71_72	72	ヘッダ部	UN01005580	BBIE	CI_ Referenced_ Document. Issuer Assigned_ Identification. Identifier	参照文書番号	この請求書が参照する契約を特定するために参照文書発行者が参照文書を特定するた めに付番した管理番号。	0..1				v1					
1_41_43_71_73	73	ヘッダ部	UN01005582	BBIE	CI_ Referenced_ Document. Issue. Date  Time	参照文書発行日	この請求書が参照する参照文書に参照文書 発行者が記載した契約を行った日付，また は参照文書の書面上の発行日付。	0..1	日時様式			v1					
1_41_43_71_74	74	ヘッダ部	UN01005589	BBIE	CI_ Referenced_ Document. Name.  Text	参照文書の書名	この請求書が参照する参照文書発行者が参 照文書に付与した文書名称	0..1	言語コード			v1				契約名	***
1_41_43_71_75	75	ヘッダ部	UN01009672	BBIE	CI_ Referenced_ Document. Type. Code	参照文書タイプコード	参照文書の種別（例えば契約書、納品書な ど）	0..1				v1					
1_41_43_77	76	ヘッダ部	UN01011516	ASBIE	CIIH_ Supply Chain_ Trade Agreement. Specified. Procuring_ Project	請求契約／プロジェクト調達アソシエーショ ン	取引契約に関係するプロジェクト調達のア ソシエーション	0..1				v1					
1_41_43_77_0	77	ヘッダ部	UN01000371	ABIE	Procuring_ Project. Details	プロジェクト調達クラ ス	プロジェクト調達に関する情報のクラス	−				v1					
1_41_43_77_78	78	ヘッダ部	UN01000372	BBIE	Procuring_ Project. Identification. Identifier	プロジェクト番号	発注品に関するプロジェクト・工事案件等を管理するための番号。	0..1				v1					
1_41_43_77_79	79	ヘッダ部	UN01000374	BBIE	Procuring_ Project. Name.  Text	プロジェクト名	発注品に関するプロジェクト・工事案件等 の名称。	0..1	言語コード			v1					
1_41_81	80	ヘッダ部	UN01005938	ASBIE	CIIH_ Supply Chain_ Trade Transaction. Applicable. CIIH_ Supply Chain_ Trade Delivery	請求取引内容／請求配 送アソシエーション	商取引に適用される取引配送。	0..1				v1					
1_41_81_0	81	ヘッダ部	UN01005896	ABIE	CIIH_ Supply Chain_ Trade Delivery. Details	請求配送クラス	発送、荷渡を含む製品またはサービスの配送取り決めに関わるクラス	−				v1					
1_41_81_83	82	ヘッダ部	UN01005898	ASBIE	CIIH_ Supply Chain_ Trade Delivery. Ship To. CI_ Trade_ Party	請求配送／納入先アソシエーション	この請求書と納入先のアソシエーション	0..1				v1					
1_41_81_83_0	83	ヘッダ部	UN01005756	ABIE	CI_ Trade_ Party. Details	納入先クラス	納入先に係る情報からなるクラス。	−				v1					
1_41_81_83_84	84	ヘッダ部	UN01005757	BBIE	CI_ Trade_ Party. Identification. Identifier	納入先コード	納入先の企業/工場・事業所・事業部門等を表す発注者が付与したコード。	0..1	企業コード表識別子	企業コード発番機関識別子	企業コード発番機関名	v1					
1_41_81_83_85	85	ヘッダ部	UN01005758	BBIE	CI_ Trade_ Party. Global_ Identification. Identifier	納入先国際企業コード	納入先企業を表す国際企業コード。	0..1	企業コード表識別子	企業コード発番機関識別子	企業コード発番機関名	v1	△				
1_41_81_83_86	86	ヘッダ部	UN01005759	BBIE	CI_ Trade_ Party. Name.  Text	納入先名称	納入先の企業/工場・事業所・事業部門等の名称	0..1	言語コード			v1					
1_41_81_88	87	ヘッダ部	UN01005905	ASBIE	CIIH_ Supply Chain_ Trade Delivery. Despatch Advice_ Referenced. CI_ Referenced_ Document	請求配送／参照出荷案 内書アソシエーション	この請求書が参照する出荷案内書のアソシ エーション	0..1				v1					
1_41_81_88_0	88	ヘッダ部	UN01005579	ABIE	CI_ Referenced_ Document. Details	（参照）出荷案内書ク ラス	参照出荷案内書（納品書）に関する情報の クラス	−				v1					
1_41_81_88_89	89	ヘッダ部	UN01005580	BBIE	CI_ Referenced_ Document. Issuer Assigned_ Identification.Identifier	（参照）出荷案内書番 号	この文書が参照する受注者が出荷案内書を 特定するために付番した管理番号。	0..1				v1					
1_41_81_88_90	90	ヘッダ部	UN01005582	BBIE	CI_ Referenced_ Document. Issue. Date  Time	（参照）出荷案内書発 行日	この文書が参照する出荷案内書に受注者が記載した発送を行った日付，または出荷案 内書の書面上の発行日付。	0..1	日時様式			v1					
1_41_81_88_91	91	ヘッダ部	UN01005589	BBIE	CI_ Referenced_ Document. Name.  Text	（参照）出荷案内書名	この文書が参照する受注者が出荷案内書に 付与した文書名称	0..1	言語コード			v1					
1_41_81_88_92	92	ヘッダ部	UN01009672	BBIE	CI_ Referenced_ Document. Type. Code	（参照）文書タイプ コード	この文書が参照する文書が出荷案内書であ ることを識別する区分コード	0..1	コード表識別子	コード表管理者コード	コード表管理者名	v1					
1_41_81_88_93	93	ヘッダ部	JPS1900002	BBIE	CI_ Referenced_ Document. Category. Code	（参照）出荷案内書類 型コード	この参照文書の類型（適格請求書対応、適 格請求書非対応など）を識別するコード	0..1	コード表識別子	コード表管理者コード	コード表管理者名	v2					
1_41_95	94	ヘッダ部	UN01005939	ASBIE	CIIH_ Supply Chain_ Trade Transaction. Applicable. CIIH_ Supply Chain_ Trade Settlement	請求取引内容／請求決 済アソシエーション	請求取引内容の請求決済に関わるアソシ エーション	0..1				v2					
1_41_95_0	95	ヘッダ部	UN01005909	ABIE	CIIH_ Supply Chain_ Trade Settlement. Details	請求決済クラス	請求時の決済に係る情報からなるクラス。	−				v2					
1_41_95_97	96	ヘッダ部	UN01005916	ASBIE	CIIH_ Supply Chain_ Trade Settlement. Invoicer. CI_ Trade_ Party	請求決済／請求者アソシエーション	請求決済の請求者にかかわる情報	0..1				v2					
1_41_95_97_0	97	ヘッダ部	UN01005756	ABIE	CI_ Trade_ Party. Details	請求者クラス	請求者に係る情報からなるクラス。	−				v2					
1_41_95_97_98	98	ヘッダ部	UN01005757	BBIE	CI_ Trade_ Party. Identification. Identifier	請求者コード	請求者のコード。	0..1				v2					
1_41_95_97_99	99	ヘッダ部	UN01005758	BBIE	CI_ Trade_ Party. Global_ Identification. Identifier	請求者国際企業コード	請求者の法人コード。	0..1	コード表識別子	コード表管理者コード	コード表管理者名	v2				受取人企業法人コード	**
1_41_95_97_100	100	ヘッダ部	UN01005759	BBIE	CI_ Trade_ Party. Name.  Text	請求者名称	請求者の企業等を表す名称。	0..1	言語コード			v2		（◎）		受取人企業名	**
1_41_95_97_101	101	ヘッダ部	UN01013039	BBIE	CI_ Trade_ Party. Registered_ Identification. Identifier	請求者事業者登録番号	登録された請求者の適格請求書発行事業者 番号	0..1	コード表識別子	コード表管理者コード	コード表管理者名	v2			◎		
1_41_95_97_103	102	ヘッダ部	UN01005761	ASBIE	CI_ Trade_ Party. Defined. CI_ Trade_ Contact	請求者／連絡先アソシエーション	請求者の連絡先に関わる情報	0..1				v2					
1_41_95_97_103_0	103	ヘッダ部	UN01005718	ABIE	CI_ Trade_ Contact. Details	連絡先クラス	連絡先に係る情報からなるクラス。	−				v2					
1_41_95_97_103_104	104	ヘッダ部	UN01005719	BBIE	CI_ Trade_ Contact. Identification. Identifier	請求部門コード	請求者の請求部門を表すコード。	0..1				v2					
1_41_95_97_103_105	105	ヘッダ部	UN01005720	BBIE	CI_ Trade_ Contact. Person Name.  Text	請求者担当名	請求者個人の、文字で表現された名前。	0..1	言語コード			v2					
1_41_95_97_103_106	106	ヘッダ部	UN01005721	BBIE	CI_ Trade_ Contact. Department Name.  Text	請求者部門名	請求者の請求部門の名称。	0..1	言語コード			v2					
1_41_95_97_103_108	107	ヘッダ部	UN01005726	ASBIE	CI_ Trade_ Contact. Telephone. CI_ Universal_Communication	連絡先／電話情報アソシエーション	連絡先の電話に関わるアソシエーション。	0..1				v2					
1_41_95_97_103_108_0	108	ヘッダ部	UN01005857	ABIE	CI_ Universal_ Communication. Details	電話通信クラス	通信（電話）に関わる情報からなるクラス。	−				v2					
1_41_95_97_103_108_109	109	ヘッダ部	UN01005860	BBIE	CI_ Universal_ Communication. CompleteNumber. Text	請求者電話番号	請求者の電話番号。	0..1				v2				受取人企業連絡先電話番号	***
1_41_95_111	110	ヘッダ部	UN01005917	ASBIE	CIIH_ Supply Chain_ Trade Settlement. Invoicee. CI_ Trade_ Party	請求決済／請求先アソシエーション	請求決済の請求先にかかわる情報	0..1				v2					
1_41_95_111_0	111	ヘッダ部	UN01005756	ABIE	CI_ Trade_ Party. Details	請求先クラス	請求先に係る情報からなるクラス。	−				v2					
1_41_95_111_112	112	ヘッダ部	UN01005757	BBIE	CI_ Trade_ Party. Identification. Identifier	請求先コード	請求を受ける企業等を表すコード。	0..1				v2					
1_41_95_111_113	113	ヘッダ部	UN01005758	BBIE	CI_ Trade_ Party. Global_ Identification. Identifier	請求先国際企業コード	請求を受ける企業等を表す法人コード。	0..1	コード表識別子	コード表管理者コード	コード表管理者名	v2				請求先企業法人コード	**
1_41_95_111_114	114	ヘッダ部	UN01005759	BBIE	CI_ Trade_ Party. Name.  Text	請求先名称	請求を受ける企業等の名称	0..1	言語コード			v2		（◎）		請求先企業名	**
1_41_95_111_116	115	ヘッダ部	UN01005761	ASBIE	CI_ Trade_ Party. Defined. CI_ Trade_ Contact	請求先／連絡先アソシ エーション	請求先の連絡先に関わるアソシエーション	0..1				v2					
1_41_95_111_116_0	116	ヘッダ部	UN01005718	ABIE	CI_ Trade_ Contact. Details	連絡先クラス	連絡先に係る情報からなるクラス。	−				v2					
1_41_95_111_116_117	117	ヘッダ部	UN01005719	BBIE	CI_ Trade_ Contact. Identification. Identifier	請求先部門コード	請求先の部門を表すコード。	0..1				v2					
1_41_95_111_116_118	118	ヘッダ部	UN01005720	BBIE	CI_ Trade_ Contact. Person Name.  Text	請求先担当名	請求先の担当者の名称	0..1	言語コード			v2				請求先連絡担当者	***
1_41_95_111_116_119	119	ヘッダ部	UN01005721	BBIE	CI_ Trade_ Contact. Department Name.  Text	請求先部門名	請求先の部門を表す名称	0..1	言語コード			v2				請求先連絡先部門	***
1_41_95_111_116_121	120	ヘッダ部	UN01005726	ASBIE	CI_ Trade_ Contact. Telephone. CI_ Universal_ Communication	連絡先／電話情報アソシエーション	連絡先の電話に関わるアソシエーション。	0..1				v2					
1_41_95_111_116_121_0	121	ヘッダ部	UN01005857	ABIE	CI_ Universal_ Communication. Details	電話通信クラス	通信（電話）に関わる情報からなるクラス。	−				v2					
1_41_95_111_116_121_122	122	ヘッダ部	UN01005860	BBIE	CI_ Universal_ Communication. Complete Number. Text	請求先電話番号	請求先の電話番号。	0..1				v2				支払人企業連絡先電話番号	***
1_41_95_124	123	ヘッダ部	UN01005923	ASBIE	CIIH_ Supply Chain_ Trade Settlement. Specified. CI_ Trade Settlement_ Payment Means	請求決済／支払手段ア ソシエーション	取引決済に特定される取引決済支払手段の アソシエーション。	0..1				v1					
1_41_95_124_0	124	ヘッダ部	UN01005670	ABIE	CI_ Trade Settlement_ Payment Means. Details	支払手段クラス	取引決済の目的で支払が行われる、あるい は行われた手段。	−				v1					
1_41_95_124_126	125	ヘッダ部	UN01005677	ASBIE	CI_ Trade Settlement_ Payment Means. Payee_ Party. CI_ Creditor_ Financial Account	支払手段／金融口座ア ソシエーション	取引決済の支払手段に関する受取人である 当事者の債権者金融口座。	0..1				v1					
1_41_95_124_126_0	126	ヘッダ部	UN01005398	ABIE	CI_ Creditor_ Financial Account. Details	金融口座クラス	債権者の銀行口座	−				v1					
1_41_95_124_126_127	127	ヘッダ部	UN01005400	BBIE	CI_ Creditor_ Financial Account. Account Name. Text	口座名義	債権者金融口座の、文字で表現された口座 名。	0..1	言語コード			v1					
1_41_95_124_126_128	128	ヘッダ部	UN01005401	BBIE	CI_ Creditor_ Financial Account. Proprietary_ Identification. Identifier	口座番号	債権者金融口座の一意の所有者識別子。	0..1				v1					
1_41_95_124_130	129	ヘッダ部	UN01005679	ASBIE	CI_ Trade Settlement_ Payment Means. Payee_ Specified. CI_ Creditor_ Financial Institution	支払手段／金融機関ア ソシエーション	取引決済の支払手段に対して特定された受 取人である当事者の債権者金融機関。	0..1				v1					
1_41_95_124_130_0	130	ヘッダ部	UN01005402	ABIE	CI_ Creditor_ Financial Institution. Details	金融機関クラス	金額を受け取る当事者の銀行、住宅金融組合、信用金庫、証券会社、あるいはそれと 類似の事業機関。	−				v1					
1_41_95_124_130_131	131	ヘッダ部	UN01005426	BBIE	CI_ Creditor_ Financial Institution. Name.  Text	金融機関名	債権者金融機関の、文字で表現された名 前。	0..1	言語コード			v1					
1_41_95_124_130_132	132	ヘッダ部	UN01011521	BBIE	CI_ Creditor_ Financial Institution. Japan  FinancialInstitution Common_ Identification. Identifier	金融機関番号	債権者の金融機関番号（日本の場合）	0..1				v1					
1_41_95_124_130_134	133	ヘッダ部	UN01005428	ASBIE	CI_ Creditor_ Financial Institution. Sub-Division. Bran	金融機関／金融機関支 店アソシエーション	債権者金融機関の支店金融機関。	0..1				v1					
1_41_95_124_130_134_0	134	ヘッダ部	UN01003138	ABIE	Branch_ Financial Institution. Details	金融機関支店クラス	銀行、住宅金融組合、信用金庫、証券会社、あるいはそれと類似の事業の部門。主に金融サー ビスと金融取引を提供するために設立された機 関の支店。	-				v1					
1_41_95_124_130_134_135	135	ヘッダ部	UN01003139	BBIE	Branch_ Financial Institution. Identification. Identifier	金融機関支店番号	金融機関のこの支店の一意識別子	0..1				v1					
1_41_95_124_130_134_136	136	ヘッダ部	UN01003140	BBIE	Branch_ Financial Institution. Name.  Text	金融機関支店名	金融機関のこの支店の、文字で表現された名前	0..1	言語コード			v1					
1_41_95_138	137	ヘッダ部	UN01005921	ASBIE	CIIH_ Supply Chain_ Trade Settlement. Invoice_ Applicable. CI_ Trade_ Currency Exchange	請求決済／為替アソシ エーション	請求決済の為替に関わる情報	0..1				v1					
1_41_95_138_0	138	ヘッダ部	UN01005738	ABIE	CI_ Trade_ Currency Exchange. Details	為替クラス	為替に係る情報からなるクラス	−				v1					
1_41_95_138_139	139	ヘッダ部	UN01005739	BBIE	CI_ Trade_ Currency Exchange. Source Currency. Code	為替交換元通貨コード	為替における交換元通貨を表すコード	0..1	コード表識別子	コード表管理者コード	コード表管理者名	v1					
