
 CII	BRS : Cross Industry Invoicing Process				 	Header section				 
 	Grouping of Document Details				 
INV-0049	0..1	Ultimate Customer	End customer, the final recipient of goods or services.	Used to identify the end consumer. Mapping into Ultimate_ShipTo. Same mapping applies for 0048 and 0049. Details see CSC-PAR	Header_ Trade Delivery. Ultimate_ Ship To. Trade_ Party 
INV-0050	0..1	Country of supply of goods or services	The country from which the delivery has taken place		Trade_ Tax. Service Supply. Trade_ Country 
INV-0051	0..1	Transport mode	The code specifying the mode of transport.		Logistics_ Transport Movement. Mode. Code 
INV-0052	0..1	Transport means	"The entity contains details regarding the transport means (e.g., license plate of the lorry, wagon number, name of the vessel)."	Further details see Common BRS (CSC-TME)	Logistics_ Transport Movement. Used. Logistics_ Transport Means 					 	Grouping of Header Trade Settlement Details				 
INV-0053	0..*	Total to be paid amount	"The monetary value that constitutes the total to be paid on which the trade settlement is calculated."		Trade Settlement Header_ Monetary Summation. Total Prepaid. Amount 
INV-0056	0..*	Total prepaid amount	The monetary value that constitutes the total paid for an advance and on which the trade settlement is calculated.		Trade Settlement Header_ Monetary Summation. Total Prepaid. Amount 
INV-0058	0..*	Total line items amount of the invoice	The monetary value that constitutes the total line items on which the trade settlement is calculated.	"Cardinality changed during TBG 1 review"	Trade Settlement Header_ Monetary Summation. Line Total. Amount 
INV-0059	0..*	Total allowances charges amount of the invoice	The monetary value that constitutes the total allowances charges on which the trade settlement	"Cardinality changed during TBG 1 review"	Trade Settlement Header_ Monetary 
 			is calculated.		Summation. Allowance Total. Amount 
INV-0252	0..*	Total allowances amount of the invoice	The monetary value that constitutes the total allowances on which the trade settlement is calculated.	"Agreed in Paris TBG 1, 28- Aug2008 in addition to 
INV- 0059"	Trade Settlement Header_ Monetary Summation. Allowance Total. Amount 
INV-0253	0..*	Total charges amount of the invoice	The monetary value that constitutes the total charges on which the trade settlement is calculated.	"Agreed in Paris TBG 1, 28- Aug2008 in addition to 
INV- 0059"	Trade Settlement Header_ Monetary Summation. Charge Total. Amount 
INV-0060	0..*	Total amount	"The monetary value that constitutes the total invoice or credit note on which the trade settlement is calculated."	"Renamed to Total amount from Total invoice amount in order to cover invoice and credit note amount."	Trade Settlement Header_ Monetary Summation. Grand Total. Amount 
INV-0061	0..*	Total tax amount of the invoice	The monetary value that constitutes the total tax on which the trade settlement is calculated.		Trade Settlement Header_ Monetary Summation. Tax Total. Amount 
INV-0062	0..*	Total tax basis amount of the invoice	The monetary value that constitutes the total tax basis on which the trade settlement is calculated.		Trade Settlement Header_ Monetary Summation. Tax Basis Total. Amount 
INV-0063	0..*	Total rounding amount	The monetary value that constitutes the total rounding on which the trade settlement is calculated.		Trade Settlement Header_ Monetary Summation. Rounding. Amount 
INV-0064	0..*	Total Information amount	The monetary value that constitutes the information total on	Can be used for the monetary value that	Trade Settlement 
 			which the trade settlement is calculated.	"constitutes the total of a previous invoice to be paid. Code list needs to be developed (based on DE 5025) •      Total retail value •      Total returnable items deposit amount • Calculation basis excluding all taxes • Calculation basis including all taxes except VAT •      Message total duty/tax/fee amount"	Header_ Monetary Summation. Information. Amount 					 					 
INV-0065	0..1	Total amount subject to payment discount	Part of the invoice amount which is subject to payment discount.		Trade_ Payment Discount Terms. Actual Discount. Amount 
INV-0067	0..*	Adjustment	Specifying the adjustment.	Includes amount, reason, etc.	Header_ Trade Delivery. Specified. Delivery_ Adjustment 
INV-0068	0..1	Credit reason	Reason why credit was issued in credit note	Added in 10A.	Header_ Trade Settlement. Credit Reason. Code / Header_ Trade Settlement. Credit Reason. Text 
INV-0069	0..1	Tax point date	The date of the tax point when taxes are or will be applicable.	"covered within CSC-Tax within Common BRS"	Applied_ Tax. Tax Point. Date 
INV-0280	0..1	Tax due date code	A code indicating when the duty, tax, or fee payment will be due.	"Refer to EDIFACT, DE 5307. Added during CEFACT Forum Rome, 22-Apr-2009."	Trade_ Payment Terms. Due Date. Date Time 
INV-0070	0..1	Billing period	"A specific period of time such as the length of time between two known date/time points, from a start date onwards, or up to an end date."		Header_ Trade Settlement. Billing. Specified_ Period 
INV-0071	0..1	Invoicer party	"The invoicer is the person or organization making the invoice, claiming payment for the goods or services rendered."	Details see CSC- PAR	Header_ Trade Settlement. Invoicer. Trade_ Party 
INV-0072	0..1	Invoicee party	The invoicee party is the person or organization who will receive the invoice for the delivery of products or services.	Details see CSC- PAR	Header_ Trade Settlement. Invoicee. Trade_ Party 
INV-0073	0..1	Payer party	The payer is the person or organization responsible for the payment.	Details see CSC- PAR	Header_ Trade Settlement. Payer. Trade_ Party 
INV-0074	0..*	Payee party	The payee party is the person or organization to whom a payment should be or is made.	"Cardinality 0..* means that various payees can occur in one invoice, related to Payment Means and Payment Terms. The cardinality of 0..* needs further discussion. In 09A only a cardinality of 0..1 will be supported. Details see CSC- PAR"	Header_ Trade Settlement. Payee. Trade_ Party 
INV-0079	0..1	Invoice document	"Reference to invoice document (reference, issue date, involved parties, etc.) of a previously sent invoice"	Details see CSC- REF	Header_ Trade Settlement. Invoice. Referenced_ Document 
INV-0080	0..1	Pro-forma invoice document	Reference to pro- forma invoice document (reference, issue date, involved	Details see CSC- REF	Header_ Trade Settlement. Pro-Forma Invoice. 
 			parties, etc.)		Referenced_ Document 
INV-0081	0..1	Letter of credit reference	"Reference to a letter of credit document. This requirement refers to Stand-By Letter of Credit, also called Documentary Credit in Anglo- American."	"The Stand-By Letter of Credit is a guarantee of payment. Definition changed (see INV0082). Details see CSC- REF"	Header_ Trade Settlement. Letter Of Credit. Referenced_ Document 
INV-0083	0..*	Applicable Tax	"A levy or payment for the support of a government required of persons, groups, or businesses within the domain of that government."	"Further details see Common BRS (CSC-TAX) Note: Includes Place of Supply"	Header_ Trade Settlement. Applicable. Trade_ Tax 
INV-0316	0..*	Tax - Line Total Basis. Amount	"A monetary value used as the line total basis on which this trade related tax, levy or duty is calculated."	Added in 16A.1	Trade_ Tax. Line Total_ Basis. Amount 
INV-0317	0..*	Tax - Allowance Charge_ Basis. Amount	A monetary value used as the allowance and charge basis on which this trade related tax, levy or duty is calculated.	Added in 16A.1	Trade_ Tax. Allowance Charge_ Basis. Amount 
INV-0256	0..*	Calculated Tax	The calculated tax for the invoice.	Added in TBG 1 review. Further details see Common BRS (CSC-TAX)	Header_ Trade Settlement. Subtotal_ Calculated. Trade_ Tax 
INV-0257	0..*	Tax scheme	Specifying the tax scheme for the calculated or applicable tax.	Added in TBG 1 review. Further details see Common BRS (CSC-TXS)	Trade_ Tax. Category. Code 
INV-0088	0..*	Tax basis amount per rate	Total taxable amount for the given tax rate and tax category	"May 2009: Implemented as Subtotal_ Calculated. Trade_ Tax. For further details see Common BRS (CSC-TAX)."	Applied_ Tax. Details / Applied_ Tax. Basis. Amount 
INV-0089	0..*	Tax amount per rate	The total amount of tax per tax rate and tax category	"May 2009: Implemented as Subtotal_ Calculated. Trade_ Tax. For further details see Common BRS (CSC-TAX)."	Trade Settlement Header_ Monetary Summation. Tax Total. Amount 
INV-0090	0..*	Tax amount per rate in VAT currency	"The total amount of tax per tax rate and tax category in VAT currency"	"May 2009: Implemented as Subtotal_ Calculated. Trade_ Tax. For further details see Common BRS (CSC-TAX)."	Header_ Trade Settlement. Tax_ Currency. Code / Trade_ Tax. Category. Code 
INV-0091	0..*	Total allowances/charges amount per tax rate	Total allowances / charges amount per tax rate and category	"May 2009: Implemented as Subtotal_ Calculated. Trade_ Tax. For further details see Common BRS (CSC-TAX). Not covered in 09A, moved to 09B."	Line_ Trade Settlement. Specified. Trade_ Allowance Charge 
INV-0092	0..*	Total of all line item amounts per tax rate	Sum of all line item amounts per tax rate and category	"May 2009: Implemented as Subtotal_ Calculated. Trade_ Tax. For further details see Common BRS (CSC-TAX). Not covered in 09A, moved to 09B."	Header_ Trade Settlement. Specified. Trade Settlement Header_ Monetary Summation 
INV-0258	0..*	Payment Terms	Specifying payment terms for this document.	Added during TBG1 review to align with Common BRS. Further details see Common BRS (CSC-PYT) Note: Includes reference to direct debit mandate.	Header_ Trade Settlement. Specified. Trade_ Payment Terms 
INV-0097	0..1	Payment Terms Discount Due Date	"Date by which payment should be made if discount terms are to apply."		Header_ Trade Settlement. Specified. Trade_ Payment Terms 
 					Trade_ Payment Terms. Due Date. Date Time 
INV-0103	0..*	Payment Means	A payment means specified for this trade settlement.	"Usage of DE 4461 (Cheque, cash, bank account etc.) Including Accounts of payer, payee. Further details in Common. Supply Chain BRS. (CSC-PYM)"	Header_ Trade Settlement. Specified. Trade Settlement_ Payment Means 
INV-0104	0..*	Allowance and/or charge details	Details regarding allowances and charges	Further details in Common Supply Chain BRS. (CSC-ALC)	Header_ Trade Settlement. Specified. Trade_ Allowance Charge 
INV-0105	0..*	Allowance and/or charge rate	Rate per unit which the allowance or charge applies, e.g., the allowance/charge amount is 3 EUR per 10 tons.	Added in 09A.	Header_ Trade Settlement. Specified. Trade_ Allowance Charge. Calculation. Percent 
INV-0106	0..*	Allowance and/or charge rate basis	Basis for the rate per unit which the allowance or charge applies, e.g., the allowance/charge amount is 3 EUR per 10 tons.	Added in 09A.	Header_ Trade Settlement. Specified. Trade_ Allowance Charge. Basis. Amount / Header_ Trade Settlement. Specified. Trade_ Allowance Charge. Unit_ Basis. Amount 
INV-0107	0..*	Freight Charge	Charge for freight	If not included in allowances and charges	Supply Chain_ Consignment. Total Charge. Amount 
INV-0108	0..1	Invoice Currency	The name or symbol of the monetary unit used for calculation in an invoice.		Header_ Trade Settlement. Invoice_ Applicable. Trade_ Currency Exchange 
INV-0109	0..1	Tax Currency	The name or symbol of the monetary unit used for tax purposes.		Header_ Trade Settlement. Tax_ Applicable. Trade_ Currency Exchange 
INV-0110	0..1	Payment Currency	The name or symbol of the monetary unit used for payment.		Header_ Trade Settlement. Payment_ Applicable. Trade_ Currency Exchange 
INV-0263	0..1	Creditor Reference	The unique identifier of the creditor reference for this trade settlement, such as a specific identifier assigned by the creditor to refer to the financial transaction.	Added during TBG steering review Oct-2008.	Header_ Trade Settlement. Creditor Reference. Identifier 
INV-0270	0..1	Reconciliation Reference ID	"The unique identifier of the payment instruction, such as assigned by an instructing party for an instructed party to unambiguously identify the instruction."	"Added during CEFACT Forum Rome 22-Apr- 2009, requested by TBG 5"	Header_ Trade Settlement. Payment Reference. Text 
INV-0272	0..*	Payable Accounting Account	A payable accounting account specified for this trade settlement.	"Added during CEFACT Forum Rome 22-Apr- 2009,in agreement with TBG 12"	Header_ Trade Settlement. Payable_ Specified. Trade_ Accounting Account 
INV-0273	0..*	Receivable Accounting Account	A receivable accounting account specified for this trade settlement.	"Added during CEFACT Forum Rome 22-Apr- 2009,in agreement with TBG 12"	Header_ Trade Settlement. Receivable_ Specified. Trade_ Accounting Account 
INV-0274	0..*	Purchase Accounting Account	A purchase accounting account specified for this trade settlement.	"Added during CEFACT Forum Rome 22-Apr- 2009,in agreement with TBG 12"	Header_ Trade Settlement. Purchase_ Specified. Trade_ Accounting Account 
INV-0275	0..*	Sales Accounting Account	A sales accounting account specified for this trade settlement.	"Added during CEFACT Forum Rome 22-Apr- 2009,in agreement with TBG 12"	Header_ Trade Settlement. Sales_ Specified. Trade_ Accounting Account 
INV-0281	0..1	Factoring Agreement	Reference to a underlying factoring agreement between invoice seller and factoring service provider.	"Added during CEFACT Forum Rome 22-Apr- 2009, in agreement with TBG 5. Details see CSC-REF"	Header_ Trade Settlement. Factoring Agreement. Referenced_ Document 
INV-0282	0..1	Factoring List	Reference to a factoring transmission list. This list contains identification information of factored invoices.	"Added during CEFACT Forum Rome 22-Apr- 2009,in agreement with TBG 5 Details see CSC-REF"	Header_ Trade Settlement. Factoring List. Referenced_ Document 
INV-0293	0..*	Financial Card Details	Details to a financial card related to this trade settlement.	"Requirements reflected by CSCFCA in Common BRS. Added during CEFACT Forum Rome 22-Apr- 2009, in agreement with TBG 5"	Header_ Trade Settlement. Specified. Trade Settlement_ Financial Card Line Section					Supply Chain_ Trade Line Item. Details 	Grouping of Document Line Details				 
INV-0112	0..1	Invoice line number	"The unique reference given by the issuer to identify an invoice line within an invoice"		Document Line_ Document. Line. Identifier 
INV-0113	0..1	Invoice line status code	The code specifying the status of this document line.		Document Line_ Document. Line Status. Code 
INV-0114	0..1	Invoice line status reason code	The code specifying the reason for the status of this document line.		Document Line_ Document. Line Status Reason. Code 
INV-0115	0..*	Invoice line note	The free text information related to the invoice line.		Document Line_ Document. Included. Note 
INV-0116	0..1	Invoice parent line reference	Reference to the parent line, used in order to provide sublines of the line item.	Added in 10A.	Document Line_ Document. Parent_ Line. Identifier 
INV-0295	0..1	Line item description code	A code specifying the type of trade item e.g., invoicing unit, consumer unit etc.	Added in 16A1	Supply Chain_ Trade Line Item. Description. Code 
INV-0296	0..*	Sub-Line Item	"A collection of information specific for a line breakdown (a constituent part of a product)."	Added in 12B.	Subordinate_ Trade Line Item. Details 
INV-0297	0..*	Sub-Line Item Price	A product price specified in the sub line trade agreement details.	Added in 12B;	Subordinate Line_ Trade Agreement. Gross Price_ Product. Trade_ Price / Subordinate Line_ Trade Agreement. Net Price_ Product. Trade_ Price / Subordinate Line_ Trade Agreement. List_ Product. Trade_ Price
 					 
INV-0298	0..*	Sub-Line Item agreement reference.	A document referenced in the sub-line trade agreement details.	Added in 12B.	Subordinate Line_ Trade Agreement. Additional. Referenced_ Document 
INV-0299	0..1	Sub-Line Item package quantity.	The number of packages for this the sub-line item.	Added in 12B.	Subordinate Line_ Trade Delivery. Package. Quantity 
INV-0300	0..1	Sub-Line Item product unit quantity	The number of product units for this sub-line item.	Added in 12B.	Subordinate Line_ Trade Delivery. Product_ Unit. Quantity 
INV-0301	0..1	Sub-Line Item per package unit quantity	The number of units per package for this sub-line item.	Added in 12B.	Subordinate Line_ Trade Delivery. Per Package_ Unit. Quantity 
INV-0302	0..*	Sub-Line Item packaging	Packaging for this sub-line item.	Added in 12B.	Subordinate Line_ Trade Delivery. Included. Supply Chain_ Packaging 
INV-0303	0..1	Sub-Line Item applicable tax	The trade tax applicable to this sub-line item.	Added in 12B.	Subordinate Line_ Trade Settlement. Applicable. Trade_ Tax 
INV-0304	0..1	Sub-Line Item seller	The item seller party, such as an auction item seller, specified for this sub-line item.	Added in 12B.	Subordinate Line_ Trade Agreement. Item_ Seller. Trade_ Party 
INV-0305	0..1	Sub-Line Item buyer	The item buyer party, such as an auction item buyer, specified for this sub-line item.	Added in 12B.	Subordinate Line_ Trade Agreement. Item_ Buyer. Trade_ Party
 					 
INV-0306	0..1	Sub-Line Item marketplace	The marketplace included for this sub-line item.	Added in 12B.	Subordinate Line_ Trade Agreement. Included. Specified_ Marketplace 					 	Grouping of Line Trade Agreement Details				 
INV-0117	0..1	Seller Order document	"Reference to seller order document (reference, issue date, involved parties, line number etc.)"	Details see CSC- REF	Line_ Trade Agreement. Seller Order. Referenced_ Document 
INV-0118	0..1	Buyer order document	Reference to order document (reference, issue date, involved parties, line number etc.)	Details see CSC- REF	Line_ Trade Agreement. Buyer Order. Referenced_ Document 
INV-0119	0..1	Quotation document	Reference to quotation document (reference, issue date, involved parties, line number etc.)	Details see CSC- REF	Line_ Trade Agreement. Quotation. Referenced_ Document 
INV-0120	0..1	Contract document	"Reference to contract or agreement document (reference, issue date, involved parties, line number etc.)"	Details see CSC- REF	Line_ Trade Agreement. Contract. Referenced_ Document 
INV-0121	0..1	Demand forecast document	"Reference to demand forecast document (reference, issue date, involved parties, line number etc.)"	Details see CSC- REF	Line_ Trade Agreement. Demand Forecast. Referenced_ Document 
INV-0292	0..*	Requisitioner reference	The requisitioner document referenced in this supply chain trade agreement.	"Added during CEFACT Forum Rome by TBG1, 22-Apr-2009 Details see CSC- REF"	Line_ Trade Agreement. Requisitioner. Referenced_ Document 
INV-0123	0..*	Additional document reference	Reference to an additional document (reference, issue date, involved	Details see CSC- REF	Line_ Trade Delivery. Additional. Referenced_ Document 
 			parties, etc.)		 
INV-0124	0..1	Additional document type	A code specifying a type of additional document [Reference United Nations Code List (UNCL) 1153].		Referenced_ Document. Reference_ Type. Code 					 					 
INV-0125	0..1	End consumer order number	Indication of the ultimate consignee order number	Renamed from Ultimate Consignee Order number to End consumer order number, covered with additional document.	Header_ Trade Agreement. Additional_ Associated. Referenced_ Document 
INV-0126	0..1	Delivery terms	The entity contains the details of the delivery terms and the place if relevant for the delivery terms.		Line_ Trade Agreement. Applicable. Trade_ Delivery Terms 
INV-0127	0..1	Purchase Conditions	Reference to purchase conditions		Header_ Trade Agreement. Additional. Referenced_ Document 
INV-0128	0..*	Price details for gross price	including price amount, price type, base quantity, validity period, free of charge indicator etc.	"Further details see Common BRS (CSC-PRI)"	Line_ Trade Agreement. Gross Price_ Product. Trade_ Price 
INV-0129	0..*	Price details for net price	including price amount, price type, base quantity, validity period, free of charge indicator etc.	"Further details see Common BRS (CSC-PRI)"	Line_ Trade Agreement. Net Price_ Product. Trade_ Price 
INV-0290	0..*	Requisitioner	A trade party who is a buyer requisitioner in this trade agreement.	"Added during CEFACT Forum Rome by TBG1, 22-Apr-2009 Details see CSC- PAR"	Line_ Trade Agreement. Buyer_ Requisitioner. Trade_ Party 
INV-0307	0..1	Marketplace	An actual or nominal place where buyers and sellers interact (directly or through intermediaries) to	Added in 12B.	Line_ Trade Agreement. Included. Specified_ Marketplace 
 			trade goods or services.		 
INV-0308	0..1	Item seller	The item seller party, such as an auction item seller, specified in this trade agreement.	Added in 12B	Line_ Trade Agreement. Item_ Seller. Trade_ Party 
INV-0309	0..1	Item buyer	The item buyer party, such as an auction item buyer, specified in this trade agreement.	Added in 12B	Line_ Trade Agreement. Item_ Buyer. Trade_ Party 
INV-0321	0..*	Customer Order reference	"A customer order document referenced for this line trade agreement."	Postponed	 	Grouping of Line Trade Delivery Details				 
INV-0013	0..1	Despatched quantity	"The quantity of the goods of the invoice line despatched by the supplier."		Header_ Trade Delivery. Actual_ Despatch. Supply Chain_ Event / Supply Chain_ Event. Unit. Quantity 
INV-0134	0..1	Received quantity	The quantity received in this trade delivery.	Added to 16A.1	Line_ Trade Delivery. Received. Quantity / Supply Chain_ Event. Unit. Quantity 
INV-0135	0..1	Billed quantity	The quantity billed for this trade delivery		Line_ Trade Delivery. Billed. Quantity 
INV-0136	0..1	Free goods quantity	The quantity of free goods in this trade delivery		Line_ Trade Delivery. Charge Free. Quantity 
INV-0137	0..1	Delivered quantity	The quantity of articles or services which has been delivered to the delivery party.		Header_ Trade Delivery. Actual_ Delivery. Supply Chain_ Event / Supply Chain_ Event. Unit. Quantity
 					 
INV-0138	0..1	Returned quantity	The quantity of articles returned by the delivery party or receiving party to the shipper.	Postponed to 16B.	Line_ Trade Delivery. Due In_ Returned. Quantity 
INV-0139	0..1	Quantity per pack	The quantity contained in the currently identified pack.		Line_ Trade Delivery. Per Package_ Unit. Quantity 
INV-0140	0..1	Number of consumer	The number of consumer units (package size of a product agreed between trading partners as the unit crossing the retail point of sale) in a traded unit to be ordered, delivered and invoiced.		Line_ Trade Delivery. Product_ Unit. Quantity 					 
INV-0141	0..1	Number of units in higher packaging or configuration level	The number of units contained in higher packaging or configuration level.		Supply Chain_ Packaging. Details / Supply Chain_ Packaging. Level. Code 
INV-0143	0..1	Delivery Adjustment	Adjustment to the delivery.		Line_ Trade Delivery. Specified. Delivery_ Adjustment 
