Identifier,Flag,Message,Message_ja
ibr-cl-01,fatal,The document type code MUST be coded by the invoice and credit note related code lists of UNTDID 1001.,文書タイプコードは、UNTDID 1001のコードリストから、請求書、クレジットノートに関連するコードを選ばなければならない。
ibr-cl-03,fatal,currencyID MUST be coded using ISO code list 4217 alpha-3.,通貨IDは、ISO code list 4217 alpha-3 にあるコードを使わなければならない。
ibr-cl-04,fatal,Invoice currency code MUST be coded using ISO code list 4217 alpha-3,請求書通貨コードは、ISO code list 4217 alpha-3 にあるコードを使わなければならない。
ibr-cl-05,fatal,Tax currency code MUST be coded using ISO code list 4217 alpha-3,税通貨コードは、ISO code list 4217 alpha-3 にあるコードを使わなければならない。
ibr-cl-07,fatal,Object identifier identification scheme MUST be coded using a restriction of UNTDID 1153.,オブジェクトIDのスキーマIDは、UNTDID 1153 から選ばなければならない。
ibr-cl-10,fatal,Any identifier identification scheme MUST be coded using one of the ISO 6523 ICD list.,どのようなIDでも、IDのスキーマIDは、 ISO 6523 ICD の一覧から選ばなければならない。
ibr-cl-11,fatal,Any registration identifier identification scheme MUST be coded using one of the ISO 6523 ICD list.,登録IDのスキーマIDは、 ISO 6523 ICD の一覧から選ばなければならない。
ibr-cl-13,fatal,Item classification identifier identification scheme MUST be coded using one of the UNTDID 7143 list.,品目分類IDのスキーマIDは、 UNTDID 7143 の一覧から選ばなければならない。
ibr-cl-14,fatal,Country codes in an invoice MUST be coded using ISO code list 3166-1,請求書に記載される国コードは、 ISO code list 3166-1 から選ばなければならない。
ibr-cl-15,fatal,Origin country codes in an invoice MUST be coded using ISO code list 3166-1,請求書に記載される原産国コードは、 ISO code list 3166-1 から選ばなければならない。
ibr-cl-16,fatal,Payment means in an invoice MUST be coded using UNCL4461 code list (adding Z01 and Z02),請求書に記載される支払手段は、Z01及びZ02が追加されたUNCL4461 code list から選ばなければならない。
ibr-cl-19,fatal,Coded allowance reasons MUST belong to the UNCL 5189 code list,返還請求理由は、UNCL 5189 code list から選ばなければならない。
ibr-cl-20,fatal,Coded charge reasons MUST belong to the UNCL 7161 code list,追加請求理由は、UNCL 7161 code list から選ばなければならない。
ibr-cl-21,fatal,Item standard identifier scheme identifier MUST belong to the ISO 6523 ICD list.,品目標準IDのスキーマIDは、ISO 6523 ICD の一覧から選ばなければならない。
ibr-cl-23,fatal,Unit code MUST be coded according to the UN/ECE Recommendation 20 with Rec 21 extension,数量単位コードは、UN/ECE Recommendation 20 with Rec 21 extension に従ったものでなければならない。
ibr-cl-24,fatal,Mime code must be according to subset of IANA code list.,MIMEコードは、IANA code list に従ったものでなければならない。
ibr-cl-25,fatal,Endpoint identifier scheme identifier MUST belong to the CEF EAS code list.,エンドポイントIDのスキーマIDは、CEF EAS code list から選ばなければならない。
ibr-cl-26,fatal,Delivery location identifier scheme identifier MUST belong to the ISO 6523 ICD code list.,納入先IDのスキーマIDは、ISO 6523 ICD の一覧から選ばなければならない。
ibr-co-05,fatal,Document level allowance reason code (ibt-098) and Document level allowance reason (ibt-097) shall indicate the same type of allowance.,ドキュメントレベルの返還請求の理由コード(ibt-098)およびドキュメントレベルの返還請求の理由(ibt-097)は、同じ返還請求タイプを示していなければならない。
ibr-co-06,fatal,Document level charge reason code (ibt-105) and Document level charge reason (ibt-104) shall indicate the same type of charge.,ドキュメントレベルの追加請求の理由コード(ibt-105)およびドキュメントレベルの追加請求の理由(ibt-104)は、同じ追加請求タイプを示していなければならない。
ibr-co-07,fatal,When both Invoice line allowance reason code (iibt-140) and Invoice line allowance reason (iibt-139) the definition of the code is normative.,請求書明細行の返還請求理由コード(ibt-140)と請求書明細行の返還請求理由(ibt-139)両方の場合、コード定義がされていなければならない。
ibr-co-08,fatal,When both Invoice line charge reason code (iibt-145) and Invoice line charge reason (iibt-144) the definition of the code is normative.,請求書明細行の追加請求理由コード(ibt-145)と請求書明細行の追加請求理由(ibt-144)両方の場合、コード定義がされていなければならない。
ibr-co-10,fatal,Sum of Invoice line net amount (ibt-106) = Σ Invoice line net amount (ibt-131).,値引/割引後請求書明細行金額の合計(ibt-106) = ∑ 値引/割引後請求書明細行金額(税抜き)(ibt-131).
ibr-co-11,fatal,Sum of allowances on document level (ibt-107) = Σ Document level allowance amount (ibt-092).,ドキュメントレベルの返還請求の合計(ibt-107) = ∑ ドキュメントレベルの返還請求金額(税抜き)(ibt-092).
ibr-co-12,fatal,Sum of charges on document level (ibt-108) = Σ Document level charge amount (ibt-099).,ドキュメントレベルの追加請求の合計(ibt-108) = ∑ ドキュメントレベルの追加請求金額(ibt-099).
ibr-co-13,fatal,Invoice total amount without Tax (ibt-109) = Σ Invoice line net amount (ibt-131) - Sum of allowances on document level (ibt-107) + Sum of charges on document level (ibt-108).,請求書合計金額(税抜き)(ibt-0109) = ∑ 値引/割引後請求書明細行金額(税抜き)(ibt-131) - ドキュメントレベルの返還請求の合計(ibt-107) + ドキュメントレベルの追加請求の合計(ibt-108).
ibr-co-14,fatal,Invoice total Tax amount (ibt-110) = Σ Tax category tax amount (ibt-117).,請求書消費税合計金額(BT-110) = Σ 課税分類毎の消費税額(BT-117)
ibr-co-15,fatal,Invoice total amount with Tax (ibt-112) = Invoice total amount without Tax (ibt-109) + Invoice total Tax amount (ibt-110).,請求書合計金額(税込み)(ibt-112) = 請求書合計金額(税抜き)(ibt-109) + 請求書消費税合計金額(ibt-110).
ibr-co-16,fatal,Amount due for payment (ibt-115) = Invoice total amount with Tax (ibt-112) - Paid amount (ibt-113) + Rounding amount (ibt-114).,未払金額 (ibt-115) = 請求書合計金額(税込み)(ibt-112) - 支払済金額 (ibt-113) + 丸めた金額 (ibt-114).
ibr-co-19,fatal,"If Invoicing period (ibg-14) is used, the Invoicing period start date (ibt-073) or the Invoicing period end date (ibt-074) shall be filled, or both.",請求期間 (ibg-14) が使われている場合、請求期間開始日 (ibt-073) もしくは請求期間終了日 (ibt-074)、もしくはその両方が指定されていなければならない。
ibr-co-20,fatal,"If Invoice line period (ibg-26) is used, the Invoice line period start date (ibt-134) or the Invoice line period end date (ibt-135) shall be filled, or both.",請求書明細行の期間 (ibg-26) が使われている場合、請求書明細行の期間開始日 (ibt-134) もしくは請求書明細行の期間終了日 (ibt-135)、もしくはその両方が指定されていなければならない。
ibr-co-21,fatal,"Each Document level allowance (ibg-20) shall contain a Document level allowance reason (ibt-097) or a Document level allowance reason code (ibt-098), or both",個々のドキュメントレベルの返還請求(ibg-20)は、ドキュメントレベルの返還請求の理由(ibt-097)もしくはドキュメントレベルの返還請求の理由コード(ibt-098)、あるいはその両方を含まなければならない。
ibr-co-22,fatal,"Each Document level charge (ibg-21) shall contain a Document level charge reason (ibt-104) or a Document level charge reason code (ibt-105), or both.",個々のドキュメントレベルの追加請求(ibg-21)は、ドキュメントレベルの追加請求の理由(ibt-104)もしくはドキュメントレベルの追加請求の理由コード(ibt-105)、あるいはその両方を含まなければならない。
ibr-co-24,fatal,"Each Invoice line charge (ibg-28) shall contain an Invoice line charge reason (ibt-144) or an Invoice line charge reason code (ibt-145), or both.",個々の請求書明細行の追加請求(ibg-28)は、請求書明細行の追加請求理由(ibt-144)もしくは請求書明細行の追加請求理由コード(ibt-145)、あるいはその両方を含まなければならない。
ibr-co-25,fatal,"In case the Amount due for payment (ibt-115) is positive, either the Payment due date (ibt-009) or the Payment terms (ibt-020) shall be present.",未払金額(ibt-115)が正の値の場合、支払期日(ibt-009)もしくは支払条件(ibt-020)が指定されていなければならない。
ibr-co-26,fatal,"In order for the buyer to automatically identify a supplier, the Seller identifier (ibt-029), the Seller legal registration identifier (ibt-030) and/or the Seller Tax identifier (ibt-031) shall be present.",買い手が自動でサプライヤを識別できるように、売り手ID(ibt-029)、売り手登録企業ID(ibt-030) 及び/もしくは 売り手税ID(ibt-031)を指定しなければならない。
