Sort,UBL_Sort,SynSort,PINT_ID,Schematron,XPath,Level,CC,Datatype,Occurrence
1390,1390,,,not,/Invoice/cac:OrderReference/cac:DocumentReference,2,cac:DocumentReference,DocumentReferenceType,0..1
1400,3270,1200,ibg-03,,/Invoice/cac:BillingReference,1,cac:BillingReference,BillingReferenceType,0..n
1410,3280,1210,0,,/Invoice/cac:BillingReference/cac:InvoiceDocumentReference,2,cac:InvoiceDocumentReference,DocumentReferenceType,0..1
1420,3290,1220,ibt-025,,/Invoice/cac:BillingReference/cac:InvoiceDocumentReference/cbc:ID,3,cbc:ID,Identifier,1..1
1430,3300,,,not,/Invoice/cac:BillingReference/cac:InvoiceDocumentReference/cbc:CopyIndicator,3,cbc:CopyIndicator,Indicator,0..1
1440,3310,,,not,/Invoice/cac:BillingReference/cac:InvoiceDocumentReference/cbc:UUID,3,cbc:UUID,Identifier,0..1
1450,3320,1230,ibt-026,,/Invoice/cac:BillingReference/cac:InvoiceDocumentReference/cbc:IssueDate,3,cbc:IssueDate,Date,0..1
1460,3330,,,not,/Invoice/cac:BillingReference/cac:InvoiceDocumentReference/cbc:IssueTime,3,cbc:IssueTime,Time,0..1
1470,3340,,,not,/Invoice/cac:BillingReference/cac:InvoiceDocumentReference/cbc:DocumentTypeCode,3,cbc:DocumentTypeCode,Code,0..1
1480,3350,,,not,/Invoice/cac:BillingReference/cac:InvoiceDocumentReference/cbc:DocumentType,3,cbc:DocumentType,Text,0..1
1490,3360,,,not,/Invoice/cac:BillingReference/cac:InvoiceDocumentReference/cbc:XPath,3,cbc:XPath,Text,0..n
1500,3370,,,not,/Invoice/cac:BillingReference/cac:InvoiceDocumentReference/cbc:LanguageID,3,cbc:LanguageID,Identifier,0..1
1510,3380,,,not,/Invoice/cac:BillingReference/cac:InvoiceDocumentReference/cbc:LocaleCode,3,cbc:LocaleCode,Code,0..1
1520,3390,,,not,/Invoice/cac:BillingReference/cac:InvoiceDocumentReference/cbc:VersionID,3,cbc:VersionID,Identifier,0..1
1530,3400,,,not,/Invoice/cac:BillingReference/cac:InvoiceDocumentReference/cbc:DocumentStatusCode,3,cbc:DocumentStatusCode,Code,0..1
1540,3410,,,not,/Invoice/cac:BillingReference/cac:InvoiceDocumentReference/cbc:DocumentDescription,3,cbc:DocumentDescription,Text,0..n
1550,3420,,,not,/Invoice/cac:BillingReference/cac:InvoiceDocumentReference/cac:Attachment,3,cac:Attachment,AttachmentType,0..1
1560,3560,,,not,/Invoice/cac:BillingReference/cac:InvoiceDocumentReference/cac:ValidityPeriod,3,cac:ValidityPeriod,PeriodType,0..1
1570,3640,,,not,/Invoice/cac:BillingReference/cac:InvoiceDocumentReference/cac:IssuerParty,3,cac:IssuerParty,PartyType,0..1
1580,4880,,,not,/Invoice/cac:BillingReference/cac:InvoiceDocumentReference/cac:ResultOfVerification,3,cac:ResultOfVerification,ResultOfVerificationType,0..1
1590,5160,,,not,/Invoice/cac:BillingReference/cac:SelfBilledInvoiceDocumentReference,2,cac:SelfBilledInvoiceDocumentReference,DocumentReferenceType,0..1
1600,7040,,,not,/Invoice/cac:BillingReference/cac:CreditNoteDocumentReference,2,cac:CreditNoteDocumentReference,DocumentReferenceType,0..1
1610,8920,,,not,/Invoice/cac:BillingReference/cac:SelfBilledCreditNoteDocumentReference,2,cac:SelfBilledCreditNoteDocumentReference,DocumentReferenceType,0..1
1620,10800,,,not,/Invoice/cac:BillingReference/cac:DebitNoteDocumentReference,2,cac:DebitNoteDocumentReference,DocumentReferenceType,0..1
1630,12680,,,not,/Invoice/cac:BillingReference/cac:ReminderDocumentReference,2,cac:ReminderDocumentReference,DocumentReferenceType,0..1
1640,14560,,,not,/Invoice/cac:BillingReference/cac:AdditionalDocumentReference,2,cac:AdditionalDocumentReference,DocumentReferenceType,0..1
1650,16440,,,not,/Invoice/cac:BillingReference/cac:BillingReferenceLine,2,cac:BillingReferenceLine,BillingReferenceLineType,0..n
1660,16910,1240,0,,/Invoice/cac:DespatchDocumentReference,1,cac:DespatchDocumentReference,DocumentReferenceType,0..n
1670,16920,1250,ibt-016,,/Invoice/cac:DespatchDocumentReference/cbc:ID,2,cbc:ID,Identifier,1..1
1680,16930,,,not,/Invoice/cac:DespatchDocumentReference/cbc:CopyIndicator,2,cbc:CopyIndicator,Indicator,0..1
1690,16940,,,not,/Invoice/cac:DespatchDocumentReference/cbc:UUID,2,cbc:UUID,Identifier,0..1
1700,16950,,,not,/Invoice/cac:DespatchDocumentReference/cbc:IssueDate,2,cbc:IssueDate,Date,0..1
1710,16960,,,not,/Invoice/cac:DespatchDocumentReference/cbc:IssueTime,2,cbc:IssueTime,Time,0..1
1720,16970,,,not,/Invoice/cac:DespatchDocumentReference/cbc:DocumentTypeCode,2,cbc:DocumentTypeCode,Code,0..1
1730,16980,,,not,/Invoice/cac:DespatchDocumentReference/cbc:DocumentType,2,cbc:DocumentType,Text,0..1
1740,16990,,,not,/Invoice/cac:DespatchDocumentReference/cbc:XPath,2,cbc:XPath,Text,0..n
1750,17000,,,not,/Invoice/cac:DespatchDocumentReference/cbc:LanguageID,2,cbc:LanguageID,Identifier,0..1
1760,17010,,,not,/Invoice/cac:DespatchDocumentReference/cbc:LocaleCode,2,cbc:LocaleCode,Code,0..1
1770,17020,,,not,/Invoice/cac:DespatchDocumentReference/cbc:VersionID,2,cbc:VersionID,Identifier,0..1
1780,17030,,,not,/Invoice/cac:DespatchDocumentReference/cbc:DocumentStatusCode,2,cbc:DocumentStatusCode,Code,0..1
1790,17040,,,not,/Invoice/cac:DespatchDocumentReference/cbc:DocumentDescription,2,cbc:DocumentDescription,Text,0..n
1800,17050,,,not,/Invoice/cac:DespatchDocumentReference/cac:Attachment,2,cac:Attachment,AttachmentType,0..1
1810,17060,,,not,/Invoice/cac:DespatchDocumentReference/cac:Attachment/cbc:EmbeddedDocumentBinaryObject,3,cbc:EmbeddedDocumentBinaryObject,BinaryObject,0..1
1820,17070,,,not,/Invoice/cac:DespatchDocumentReference/cac:Attachment/cac:ExternalReference,3,cac:ExternalReference,ExternalReferenceType,0..1
1830,17190,,,not,/Invoice/cac:DespatchDocumentReference/cac:ValidityPeriod,2,cac:ValidityPeriod,PeriodType,0..1
1840,17270,,,not,/Invoice/cac:DespatchDocumentReference/cac:IssuerParty,2,cac:IssuerParty,PartyType,0..1
1850,20270,,,not,/Invoice/cac:DespatchDocumentReference/cac:ResultOfVerification,2,cac:ResultOfVerification,ResultOfVerificationType,0..1
1860,21590,1260,0,,/Invoice/cac:ReceiptDocumentReference,1,cac:ReceiptDocumentReference,DocumentReferenceType,0..n
1870,21600,1270,ibt-015,,/Invoice/cac:ReceiptDocumentReference/cbc:ID,2,cbc:ID,Identifier,1..1
1880,21610,,,not,/Invoice/cac:ReceiptDocumentReference/cbc:CopyIndicator,2,cbc:CopyIndicator,Indicator,0..1
1890,21620,,,not,/Invoice/cac:ReceiptDocumentReference/cbc:UUID,2,cbc:UUID,Identifier,0..1
1900,21630,,,not,/Invoice/cac:ReceiptDocumentReference/cbc:IssueDate,2,cbc:IssueDate,Date,0..1
1910,21640,,,not,/Invoice/cac:ReceiptDocumentReference/cbc:IssueTime,2,cbc:IssueTime,Time,0..1
1920,21650,,,not,/Invoice/cac:ReceiptDocumentReference/cbc:DocumentTypeCode,2,cbc:DocumentTypeCode,Code,0..1
1930,21660,,,not,/Invoice/cac:ReceiptDocumentReference/cbc:DocumentType,2,cbc:DocumentType,Text,0..1
1940,21670,,,not,/Invoice/cac:ReceiptDocumentReference/cbc:XPath,2,cbc:XPath,Text,0..n
1950,21680,,,not,/Invoice/cac:ReceiptDocumentReference/cbc:LanguageID,2,cbc:LanguageID,Identifier,0..1
1960,21690,,,not,/Invoice/cac:ReceiptDocumentReference/cbc:LocaleCode,2,cbc:LocaleCode,Code,0..1
1970,21700,,,not,/Invoice/cac:ReceiptDocumentReference/cbc:VersionID,2,cbc:VersionID,Identifier,0..1
1980,21710,,,not,/Invoice/cac:ReceiptDocumentReference/cbc:DocumentStatusCode,2,cbc:DocumentStatusCode,Code,0..1
1990,21720,,,not,/Invoice/cac:ReceiptDocumentReference/cbc:DocumentDescription,2,cbc:DocumentDescription,Text,0..n
2000,21730,,,not,/Invoice/cac:ReceiptDocumentReference/cac:Attachment,2,cac:Attachment,AttachmentType,0..1
2010,21870,,,not,/Invoice/cac:ReceiptDocumentReference/cac:ValidityPeriod,2,cac:ValidityPeriod,PeriodType,0..1
2020,21950,,,not,/Invoice/cac:ReceiptDocumentReference/cac:IssuerParty,2,cac:IssuerParty,PartyType,0..1
2030,24950,,,not,/Invoice/cac:ReceiptDocumentReference/cac:ResultOfVerification,2,cac:ResultOfVerification,ResultOfVerificationType,0..1
2040,26270,,,not,/Invoice/cac:StatementDocumentReference,1,cac:StatementDocumentReference,DocumentReferenceType,0..n
2050,26280,,,not,/Invoice/cac:StatementDocumentReference/cbc:ID,2,cbc:ID,Identifier,1..1
2060,26290,,,not,/Invoice/cac:StatementDocumentReference/cbc:CopyIndicator,2,cbc:CopyIndicator,Indicator,0..1
2070,26300,,,not,/Invoice/cac:StatementDocumentReference/cbc:UUID,2,cbc:UUID,Identifier,0..1
2080,26310,,,not,/Invoice/cac:StatementDocumentReference/cbc:IssueDate,2,cbc:IssueDate,Date,0..1
2090,26320,,,not,/Invoice/cac:StatementDocumentReference/cbc:IssueTime,2,cbc:IssueTime,Time,0..1
2100,26330,,,not,/Invoice/cac:StatementDocumentReference/cbc:DocumentTypeCode,2,cbc:DocumentTypeCode,Code,0..1
2110,26340,,,not,/Invoice/cac:StatementDocumentReference/cbc:DocumentType,2,cbc:DocumentType,Text,0..1
2120,26350,,,not,/Invoice/cac:StatementDocumentReference/cbc:XPath,2,cbc:XPath,Text,0..n
2130,26360,,,not,/Invoice/cac:StatementDocumentReference/cbc:LanguageID,2,cbc:LanguageID,Identifier,0..1
2140,26370,,,not,/Invoice/cac:StatementDocumentReference/cbc:LocaleCode,2,cbc:LocaleCode,Code,0..1
2150,26380,,,not,/Invoice/cac:StatementDocumentReference/cbc:VersionID,2,cbc:VersionID,Identifier,0..1
2160,26390,,,not,/Invoice/cac:StatementDocumentReference/cbc:DocumentStatusCode,2,cbc:DocumentStatusCode,Code,0..1
2170,26400,,,not,/Invoice/cac:StatementDocumentReference/cbc:DocumentDescription,2,cbc:DocumentDescription,Text,0..n
2180,26410,,,not,/Invoice/cac:StatementDocumentReference/cac:Attachment,2,cac:Attachment,AttachmentType,0..1
2190,26550,,,not,/Invoice/cac:StatementDocumentReference/cac:ValidityPeriod,2,cac:ValidityPeriod,PeriodType,0..1
2200,26630,,,not,/Invoice/cac:StatementDocumentReference/cac:IssuerParty,2,cac:IssuerParty,PartyType,0..1
2210,29630,,,not,/Invoice/cac:StatementDocumentReference/cac:ResultOfVerification,2,cac:ResultOfVerification,ResultOfVerificationType,0..1
2220,30950,1280,0,,/Invoice/cac:OriginatorDocumentReference,1,cac:OriginatorDocumentReference,DocumentReferenceType,0..n
2230,30960,1290,ibt-017,,/Invoice/cac:OriginatorDocumentReference/cbc:ID,2,cbc:ID,Identifier,1..1
2240,30970,,,not,/Invoice/cac:OriginatorDocumentReference/cbc:CopyIndicator,2,cbc:CopyIndicator,Indicator,0..1
2250,30980,,,not,/Invoice/cac:OriginatorDocumentReference/cbc:UUID,2,cbc:UUID,Identifier,0..1
2260,30990,,,not,/Invoice/cac:OriginatorDocumentReference/cbc:IssueDate,2,cbc:IssueDate,Date,0..1
2270,31000,,,not,/Invoice/cac:OriginatorDocumentReference/cbc:IssueTime,2,cbc:IssueTime,Time,0..1
2280,31010,,,not,/Invoice/cac:OriginatorDocumentReference/cbc:DocumentTypeCode,2,cbc:DocumentTypeCode,Code,0..1
2290,31020,,,not,/Invoice/cac:OriginatorDocumentReference/cbc:DocumentType,2,cbc:DocumentType,Text,0..1
2300,31030,,,not,/Invoice/cac:OriginatorDocumentReference/cbc:XPath,2,cbc:XPath,Text,0..n
2310,31040,,,not,/Invoice/cac:OriginatorDocumentReference/cbc:LanguageID,2,cbc:LanguageID,Identifier,0..1
2320,31050,,,not,/Invoice/cac:OriginatorDocumentReference/cbc:LocaleCode,2,cbc:LocaleCode,Code,0..1
2330,31060,,,not,/Invoice/cac:OriginatorDocumentReference/cbc:VersionID,2,cbc:VersionID,Identifier,0..1
2340,31070,,,not,/Invoice/cac:OriginatorDocumentReference/cbc:DocumentStatusCode,2,cbc:DocumentStatusCode,Code,0..1
2350,31080,,,not,/Invoice/cac:OriginatorDocumentReference/cbc:DocumentDescription,2,cbc:DocumentDescription,Text,0..n
2360,31090,,,not,/Invoice/cac:OriginatorDocumentReference/cac:Attachment,2,cac:Attachment,AttachmentType,0..1
2370,31230,,,not,/Invoice/cac:OriginatorDocumentReference/cac:ValidityPeriod,2,cac:ValidityPeriod,PeriodType,0..1
2380,31310,,,not,/Invoice/cac:OriginatorDocumentReference/cac:IssuerParty,2,cac:IssuerParty,PartyType,0..1
2390,34310,,,not,/Invoice/cac:OriginatorDocumentReference/cac:ResultOfVerification,2,cac:ResultOfVerification,ResultOfVerificationType,0..1
2400,35630,1300,0,,/Invoice/cac:ContractDocumentReference,1,cac:ContractDocumentReference,DocumentReferenceType,0..n
2410,35640,1310,ibt-012,,/Invoice/cac:ContractDocumentReference/cbc:ID,2,cbc:ID,Identifier,1..1
2420,35650,,,not,/Invoice/cac:ContractDocumentReference/cbc:CopyIndicator,2,cbc:CopyIndicator,Indicator,0..1
2430,35660,,,not,/Invoice/cac:ContractDocumentReference/cbc:UUID,2,cbc:UUID,Identifier,0..1
2440,35670,,,not,/Invoice/cac:ContractDocumentReference/cbc:IssueDate,2,cbc:IssueDate,Date,0..1
2450,35680,,,not,/Invoice/cac:ContractDocumentReference/cbc:IssueTime,2,cbc:IssueTime,Time,0..1
2460,35690,,,not,/Invoice/cac:ContractDocumentReference/cbc:DocumentTypeCode,2,cbc:DocumentTypeCode,Code,0..1
2470,35700,,,not,/Invoice/cac:ContractDocumentReference/cbc:DocumentType,2,cbc:DocumentType,Text,0..1
2480,35710,,,not,/Invoice/cac:ContractDocumentReference/cbc:XPath,2,cbc:XPath,Text,0..n
2490,35720,,,not,/Invoice/cac:ContractDocumentReference/cbc:LanguageID,2,cbc:LanguageID,Identifier,0..1
2500,35730,,,not,/Invoice/cac:ContractDocumentReference/cbc:LocaleCode,2,cbc:LocaleCode,Code,0..1
2510,35740,,,not,/Invoice/cac:ContractDocumentReference/cbc:VersionID,2,cbc:VersionID,Identifier,0..1
2520,35750,,,not,/Invoice/cac:ContractDocumentReference/cbc:DocumentStatusCode,2,cbc:DocumentStatusCode,Code,0..1
2530,35760,,,not,/Invoice/cac:ContractDocumentReference/cbc:DocumentDescription,2,cbc:DocumentDescription,Text,0..n
2540,35770,,,not,/Invoice/cac:ContractDocumentReference/cac:Attachment,2,cac:Attachment,AttachmentType,0..1
2550,35910,,,not,/Invoice/cac:ContractDocumentReference/cac:ValidityPeriod,2,cac:ValidityPeriod,PeriodType,0..1
2560,35990,,,not,/Invoice/cac:ContractDocumentReference/cac:IssuerParty,2,cac:IssuerParty,PartyType,0..1
2570,38990,,,not,/Invoice/cac:ContractDocumentReference/cac:ResultOfVerification,2,cac:ResultOfVerification,ResultOfVerificationType,0..1
2580,40310,1320,ibg-24,,/Invoice/cac:AdditionalDocumentReference,1,cac:AdditionalDocumentReference,DocumentReferenceType,0..n
2590,40320,1330,ibt-122,,/Invoice/cac:AdditionalDocumentReference/cbc:ID,2,cbc:ID,Identifier,1..1
2600,40330,,,not,/Invoice/cac:AdditionalDocumentReference/cbc:CopyIndicator,2,cbc:CopyIndicator,Indicator,0..1
2610,40340,,,not,/Invoice/cac:AdditionalDocumentReference/cbc:UUID,2,cbc:UUID,Identifier,0..1
2620,40350,,,not,/Invoice/cac:AdditionalDocumentReference/cbc:IssueDate,2,cbc:IssueDate,Date,0..1
2630,40360,,,not,/Invoice/cac:AdditionalDocumentReference/cbc:IssueTime,2,cbc:IssueTime,Time,0..1
2640,40370,1355,0,,/Invoice/cac:AdditionalDocumentReference/cbc:DocumentTypeCode,2,cbc:DocumentTypeCode,Code,0..1
2650,40380,,,not,/Invoice/cac:AdditionalDocumentReference/cbc:DocumentType,2,cbc:DocumentType,Text,0..1
2660,40390,,,not,/Invoice/cac:AdditionalDocumentReference/cbc:XPath,2,cbc:XPath,Text,0..n
2670,40400,,,not,/Invoice/cac:AdditionalDocumentReference/cbc:LanguageID,2,cbc:LanguageID,Identifier,0..1
2680,40410,,,not,/Invoice/cac:AdditionalDocumentReference/cbc:LocaleCode,2,cbc:LocaleCode,Code,0..1
2690,40420,,,not,/Invoice/cac:AdditionalDocumentReference/cbc:VersionID,2,cbc:VersionID,Identifier,0..1
2700,40430,,,not,/Invoice/cac:AdditionalDocumentReference/cbc:DocumentStatusCode,2,cbc:DocumentStatusCode,Code,0..1
2710,40440,1360,ibt-123,,/Invoice/cac:AdditionalDocumentReference/cbc:DocumentDescription,2,cbc:DocumentDescription,Text,0..n
2720,40450,1370,0,,/Invoice/cac:AdditionalDocumentReference/cac:Attachment,2,cac:Attachment,AttachmentType,0..1
2730,40460,1380,ibt-125,,/Invoice/cac:AdditionalDocumentReference/cac:Attachment/cbc:EmbeddedDocumentBinaryObject,3,cbc:EmbeddedDocumentBinaryObject,BinaryObject,0..1
2740,40470,1410,0,,/Invoice/cac:AdditionalDocumentReference/cac:Attachment/cac:ExternalReference,3,cac:ExternalReference,ExternalReferenceType,0..1
2750,40480,1420,ibt-124,,/Invoice/cac:AdditionalDocumentReference/cac:Attachment/cac:ExternalReference/cbc:URI,4,cbc:URI,Identifier,0..1
2760,40490,,,not,/Invoice/cac:AdditionalDocumentReference/cac:Attachment/cac:ExternalReference/cbc:DocumentHash,4,cbc:DocumentHash,Text,0..1
2770,40500,,,not,/Invoice/cac:AdditionalDocumentReference/cac:Attachment/cac:ExternalReference/cbc:HashAlgorithmMethod,4,cbc:HashAlgorithmMethod,Text,0..1
2780,40510,,,not,/Invoice/cac:AdditionalDocumentReference/cac:Attachment/cac:ExternalReference/cbc:ExpiryDate,4,cbc:ExpiryDate,Date,0..1
2790,40520,,,not,/Invoice/cac:AdditionalDocumentReference/cac:Attachment/cac:ExternalReference/cbc:ExpiryTime,4,cbc:ExpiryTime,Time,0..1
2800,40530,,,not,/Invoice/cac:AdditionalDocumentReference/cac:Attachment/cac:ExternalReference/cbc:MimeCode,4,cbc:MimeCode,Code,0..1
2810,40540,,,not,/Invoice/cac:AdditionalDocumentReference/cac:Attachment/cac:ExternalReference/cbc:FormatCode,4,cbc:FormatCode,Code,0..1
2820,40550,,,not,/Invoice/cac:AdditionalDocumentReference/cac:Attachment/cac:ExternalReference/cbc:EncodingCode,4,cbc:EncodingCode,Code,0..1
2830,40560,,,not,/Invoice/cac:AdditionalDocumentReference/cac:Attachment/cac:ExternalReference/cbc:CharacterSetCode,4,cbc:CharacterSetCode,Code,0..1
2840,40570,,,not,/Invoice/cac:AdditionalDocumentReference/cac:Attachment/cac:ExternalReference/cbc:FileName,4,cbc:FileName,Name,0..1
2850,40580,,,not,/Invoice/cac:AdditionalDocumentReference/cac:Attachment/cac:ExternalReference/cbc:Description,4,cbc:Description,Text,0..n
2860,40590,,,not,/Invoice/cac:AdditionalDocumentReference/cac:ValidityPeriod,2,cac:ValidityPeriod,PeriodType,0..1
2870,40670,,,not,/Invoice/cac:AdditionalDocumentReference/cac:IssuerParty,2,cac:IssuerParty,PartyType,0..1
2880,43670,,,not,/Invoice/cac:AdditionalDocumentReference/cac:ResultOfVerification,2,cac:ResultOfVerification,ResultOfVerificationType,0..1
2890,44990,1430,0,,/Invoice/cac:ProjectReference,1,cac:ProjectReference,ProjectReferenceType,0..n
2900,45000,1440,ibt-011,,/Invoice/cac:ProjectReference/cbc:ID,2,cbc:ID,Identifier,1..1
2910,45010,,,not,/Invoice/cac:ProjectReference/cbc:UUID,2,cbc:UUID,Identifier,0..1
2920,45020,,,not,/Invoice/cac:ProjectReference/cbc:IssueDate,2,cbc:IssueDate,Date,0..1
2930,45030,,,not,/Invoice/cac:ProjectReference/cac:WorkPhaseReference,2,cac:WorkPhaseReference,WorkPhaseReferenceType,0..n
2940,45640,,,not,/Invoice/cac:Signature,1,cac:Signature,SignatureType,0..n
2950,49060,,,not,/Invoice/cac:Signature/cac:DigitalSignatureAttachment,2,cac:DigitalSignatureAttachment,AttachmentType,0..1
2960,49200,,,not,/Invoice/cac:Signature/cac:OriginalDocumentReference,2,cac:OriginalDocumentReference,DocumentReferenceType,0..1
2970,51080,1450,ibg-04,,/Invoice/cac:AccountingSupplierParty,1,cac:AccountingSupplierParty,SupplierPartyType,1..1
2980,51090,,,not,/Invoice/cac:AccountingSupplierParty/cbc:CustomerAssignedAccountID,2,cbc:CustomerAssignedAccountID,Identifier,0..1
2990,51100,,,not,/Invoice/cac:AccountingSupplierParty/cbc:AdditionalAccountID,2,cbc:AdditionalAccountID,Identifier,0..n
3000,51110,,,not,/Invoice/cac:AccountingSupplierParty/cbc:DataSendingCapability,2,cbc:DataSendingCapability,Text,0..1
3010,51120,1460,0,,/Invoice/cac:AccountingSupplierParty/cac:Party,2,cac:Party,PartyType,0..1
3020,51130,,,not,/Invoice/cac:AccountingSupplierParty/cac:Party/cbc:MarkCareIndicator,3,cbc:MarkCareIndicator,Indicator,0..1
3030,51140,,,not,/Invoice/cac:AccountingSupplierParty/cac:Party/cbc:MarkAttentionIndicator,3,cbc:MarkAttentionIndicator,Indicator,0..1
3040,51150,,,not,/Invoice/cac:AccountingSupplierParty/cac:Party/cbc:WebsiteURI,3,cbc:WebsiteURI,Identifier,0..1
3050,51160,,,not,/Invoice/cac:AccountingSupplierParty/cac:Party/cbc:LogoReferenceID,3,cbc:LogoReferenceID,Identifier,0..1
3060,51170,1470,ibt-034,,/Invoice/cac:AccountingSupplierParty/cac:Party/cbc:EndpointID,3,cbc:EndpointID,Identifier,0..1
3070,51180,,,not,/Invoice/cac:AccountingSupplierParty/cac:Party/cbc:IndustryClassificationCode,3,cbc:IndustryClassificationCode,Code,0..1
3080,51190,1490,0,,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification,3,cac:PartyIdentification,PartyIdentificationType,0..n
3090,51200,1500,ibt-029,,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification/cbc:ID,4,cbc:ID,Identifier,1..1
3100,51210,1530,0,,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyName,3,cac:PartyName,PartyNameType,0..n
3110,51220,1540,ibt-028,,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyName/cbc:Name,4,cbc:Name,Name,1..1
3120,51230,,,not,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:Language,3,cac:Language,LanguageType,0..1
3130,51270,1550,ibg-05,,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress,3,cac:PostalAddress,AddressType,0..1
3140,51280,,,not,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:ID,4,cbc:ID,Identifier,0..1
3150,51290,,,not,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:AddressTypeCode,4,cbc:AddressTypeCode,Code,0..1
