seq	level	option	name	abbreviation	datatype	enumeration/pattern	occurrence	XPath
1370	8	 ------- Chc	Proprietary	Prtry	Max35Text (xs:string)		1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/Id/PrvtId/Othr/SchmeNm/Prtry
1380	7		Issuer	Issr	Max35Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/Id/PrvtId/Othr/Issr
1390	4		Country Of Residence	CtryOfRes	CountryCode (xs:string)	[A-Z]{2,2}	0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/CtryOfRes
1400	4		Contact Details	CtctDtls	ContactDetails2		0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/CtctDtls
1410	5		Name Prefix	NmPrfx	NamePrefix1Code (xs:string)	DOCT MIST MISS MADM	0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/CtctDtls/NmPrfx
1420	5		Name	Nm	Max140Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/CtctDtls/Nm
1430	5		Phone Number	PhneNb	PhoneNumber (xs:string)	\+[0-9]{1,3}-[0-9()+\-]{1,30}	0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/CtctDtls/PhneNb
1440	5		Mobile Number	MobNb	PhoneNumber (xs:string)	\+[0-9]{1,3}-[0-9()+\-]{1,30}	0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/CtctDtls/MobNb
1450	5		Fax Number	FaxNb	PhoneNumber (xs:string)	\+[0-9]{1,3}-[0-9()+\-]{1,30}	0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/CtctDtls/FaxNb
1460	5		Email Address	EmailAdr	Max2048Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/CtctDtls/EmailAdr
1470	5		Other	Othr	Max35Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/InitgPty/CtctDtls/Othr
1480	3		Forwarding Agent	FwdgAgt	BranchAndFinancialInstitutionIdentification4		0..1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt
1490	4		Financial Institution Identification	FinInstnId	FinancialInstitutionIdentification7		1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/FinInstnId
1500	5		BIC	BIC	BICIdentifier (xs:string)	[A-Z]{6,6}[A-Z2-9][A-NP-Z0-9]([A-Z0-9]{3,3}){0,1}	0..1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/FinInstnId/BIC
1510	5		Clearing System Member Identification	ClrSysMmbId	ClearingSystemMemberIdentification2		0..1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/FinInstnId/ClrSysMmbId
1520	6		Clearing System Identification	ClrSysId	ClearingSystemIdentification2Choice		0..1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/FinInstnId/ClrSysMmbId/ClrSysId
1530	7	 ------ Chc	Code	Cd	ExternalClearingSystemIdentification1Code (xs:string)		1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/FinInstnId/ClrSysMmbId/ClrSysId/Cd
1540	7	 ------ Chc	Proprietary	Prtry	Max35Text (xs:string)		1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/FinInstnId/ClrSysMmbId/ClrSysId/Prtry
1550	6		Member Identification	MmbId	Max35Text (xs:string)		1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/FinInstnId/ClrSysMmbId/MmbId
1560	5		Name	Nm	Max140Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/FinInstnId/Nm
1570	5		Postal Address	PstlAdr	PostalAddress6		0..1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/FinInstnId/PstlAdr
1580	6		Address Type	AdrTp	AddressType2Code (xs:string)	ADDR PBOX HOME BIZZ MLTO DLVY	0..1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/FinInstnId/PstlAdr/AdrTp
1590	6		Department	Dept	Max70Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/FinInstnId/PstlAdr/Dept
1600	6		Sub Department	SubDept	Max70Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/FinInstnId/PstlAdr/SubDept
1610	6		Street Name	StrtNm	Max70Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/FinInstnId/PstlAdr/StrtNm
1620	6		Building Number	BldgNb	Max16Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/FinInstnId/PstlAdr/BldgNb
1630	6		Post Code	PstCd	Max16Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/FinInstnId/PstlAdr/PstCd
1640	6		Town Name	TwnNm	Max35Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/FinInstnId/PstlAdr/TwnNm
1650	6		Country Sub Division	CtrySubDvsn	Max35Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/FinInstnId/PstlAdr/CtrySubDvsn
1660	6		Country	Ctry	CountryCode (xs:string)	[A-Z]{2,2}	0..1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/FinInstnId/PstlAdr/Ctry
1670	6		Address Line	AdrLine	Max70Text (xs:string)		0..7	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/FinInstnId/PstlAdr/AdrLine
1680	5		Other	Othr	GenericFinancialIdentification1		0..1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/FinInstnId/Othr
1690	6		Identification	Id	Max35Text (xs:string)		1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/FinInstnId/Othr/Id
1700	6		Scheme Name	SchmeNm	FinancialIdentificationSchemeName1Choice		0..1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/FinInstnId/Othr/SchmeNm
1710	7	 ------ Chc	Code	Cd	ExternalFinancialInstitutionIdentification1Code (xs:string)		1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/FinInstnId/Othr/SchmeNm/Cd
1720	7	 ------ Chc	Proprietary	Prtry	Max35Text (xs:string)		1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/FinInstnId/Othr/SchmeNm/Prtry
1730	6		Issuer	Issr	Max35Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/FinInstnId/Othr/Issr
1740	4		Branch Identification	BrnchId	BranchData2		0..1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/BrnchId
1750	5		Identification	Id	Max35Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/BrnchId/Id
1760	5		Name	Nm	Max140Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/BrnchId/Nm
1770	5		Postal Address	PstlAdr	PostalAddress6		0..1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/BrnchId/PstlAdr
1780	6		Address Type	AdrTp	AddressType2Code (xs:string)	ADDR PBOX HOME BIZZ MLTO DLVY	0..1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/BrnchId/PstlAdr/AdrTp
1790	6		Department	Dept	Max70Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/BrnchId/PstlAdr/Dept
1800	6		Sub Department	SubDept	Max70Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/BrnchId/PstlAdr/SubDept
1810	6		Street Name	StrtNm	Max70Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/BrnchId/PstlAdr/StrtNm
1820	6		Building Number	BldgNb	Max16Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/BrnchId/PstlAdr/BldgNb
1830	6		Post Code	PstCd	Max16Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/BrnchId/PstlAdr/PstCd
1840	6		Town Name	TwnNm	Max35Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/BrnchId/PstlAdr/TwnNm
1850	6		Country Sub Division	CtrySubDvsn	Max35Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/BrnchId/PstlAdr/CtrySubDvsn
1860	6		Country	Ctry	CountryCode (xs:string)	[A-Z]{2,2}	0..1	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/BrnchId/PstlAdr/Ctry
1870	6		Address Line	AdrLine	Max70Text (xs:string)		0..7	/Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/BrnchId/PstlAdr/AdrLine
1880	3		Debtor Agent	DbtrAgt	BranchAndFinancialInstitutionIdentification4		0..1	/Document/CstmrPmtStsRpt/GrpHdr/DbtrAgt
1890	4		Financial Institution Identification	FinInstnId	FinancialInstitutionIdentification7		1	/Document/CstmrPmtStsRpt/GrpHdr/DbtrAgt/FinInstnId
1900	5		BIC	BIC	BICIdentifier (xs:string)	[A-Z]{6,6}[A-Z2-9][A-NP-Z0-9]([A-Z0-9]{3,3}){0,1}	0..1	/Document/CstmrPmtStsRpt/GrpHdr/DbtrAgt/FinInstnId/BIC
1910	5		Clearing System Member Identification	ClrSysMmbId	ClearingSystemMemberIdentification2		0..1	/Document/CstmrPmtStsRpt/GrpHdr/DbtrAgt/FinInstnId/ClrSysMmbId
1920	6		Clearing System Identification	ClrSysId	ClearingSystemIdentification2Choice		0..1	/Document/CstmrPmtStsRpt/GrpHdr/DbtrAgt/FinInstnId/ClrSysMmbId/ClrSysId
1930	7	 ------ Chc	Code	Cd	ExternalClearingSystemIdentification1Code (xs:string)		1	/Document/CstmrPmtStsRpt/GrpHdr/DbtrAgt/FinInstnId/ClrSysMmbId/ClrSysId/Cd
1940	7	 ------ Chc	Proprietary	Prtry	Max35Text (xs:string)		1	/Document/CstmrPmtStsRpt/GrpHdr/DbtrAgt/FinInstnId/ClrSysMmbId/ClrSysId/Prtry
1950	6		Member Identification	MmbId	Max35Text (xs:string)		1	/Document/CstmrPmtStsRpt/GrpHdr/DbtrAgt/FinInstnId/ClrSysMmbId/MmbId
1960	5		Name	Nm	Max140Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/DbtrAgt/FinInstnId/Nm
1970	5		Postal Address	PstlAdr	PostalAddress6		0..1	/Document/CstmrPmtStsRpt/GrpHdr/DbtrAgt/FinInstnId/PstlAdr
1980	6		Address Type	AdrTp	AddressType2Code (xs:string)	ADDR PBOX HOME BIZZ MLTO DLVY	0..1	/Document/CstmrPmtStsRpt/GrpHdr/DbtrAgt/FinInstnId/PstlAdr/AdrTp
1990	6		Department	Dept	Max70Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/DbtrAgt/FinInstnId/PstlAdr/Dept
2000	6		Sub Department	SubDept	Max70Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/DbtrAgt/FinInstnId/PstlAdr/SubDept
2010	6		Street Name	StrtNm	Max70Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/DbtrAgt/FinInstnId/PstlAdr/StrtNm
2020	6		Building Number	BldgNb	Max16Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/DbtrAgt/FinInstnId/PstlAdr/BldgNb
2030	6		Post Code	PstCd	Max16Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/DbtrAgt/FinInstnId/PstlAdr/PstCd
2040	6		Town Name	TwnNm	Max35Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/DbtrAgt/FinInstnId/PstlAdr/TwnNm
2050	6		Country Sub Division	CtrySubDvsn	Max35Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/DbtrAgt/FinInstnId/PstlAdr/CtrySubDvsn
2060	6		Country	Ctry	CountryCode (xs:string)	[A-Z]{2,2}	0..1	/Document/CstmrPmtStsRpt/GrpHdr/DbtrAgt/FinInstnId/PstlAdr/Ctry
2070	6		Address Line	AdrLine	Max70Text (xs:string)		0..7	/Document/CstmrPmtStsRpt/GrpHdr/DbtrAgt/FinInstnId/PstlAdr/AdrLine
2080	5		Other	Othr	GenericFinancialIdentification1		0..1	/Document/CstmrPmtStsRpt/GrpHdr/DbtrAgt/FinInstnId/Othr
2090	6		Identification	Id	Max35Text (xs:string)		1	/Document/CstmrPmtStsRpt/GrpHdr/DbtrAgt/FinInstnId/Othr/Id
2100	6		Scheme Name	SchmeNm	FinancialIdentificationSchemeName1Choice		0..1	/Document/CstmrPmtStsRpt/GrpHdr/DbtrAgt/FinInstnId/Othr/SchmeNm
2110	7	 ------ Chc	Code	Cd	ExternalFinancialInstitutionIdentification1Code (xs:string)		1	/Document/CstmrPmtStsRpt/GrpHdr/DbtrAgt/FinInstnId/Othr/SchmeNm/Cd
2120	7	 ------ Chc	Proprietary	Prtry	Max35Text (xs:string)		1	/Document/CstmrPmtStsRpt/GrpHdr/DbtrAgt/FinInstnId/Othr/SchmeNm/Prtry
2130	6		Issuer	Issr	Max35Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/DbtrAgt/FinInstnId/Othr/Issr
2140	4		Branch Identification	BrnchId	BranchData2		0..1	/Document/CstmrPmtStsRpt/GrpHdr/DbtrAgt/BrnchId
2150	5		Identification	Id	Max35Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/DbtrAgt/BrnchId/Id
2160	5		Name	Nm	Max140Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/DbtrAgt/BrnchId/Nm
2170	5		Postal Address	PstlAdr	PostalAddress6		0..1	/Document/CstmrPmtStsRpt/GrpHdr/DbtrAgt/BrnchId/PstlAdr
2180	6		Address Type	AdrTp	AddressType2Code (xs:string)	ADDR PBOX HOME BIZZ MLTO DLVY	0..1	/Document/CstmrPmtStsRpt/GrpHdr/DbtrAgt/BrnchId/PstlAdr/AdrTp
2190	6		Department	Dept	Max70Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/DbtrAgt/BrnchId/PstlAdr/Dept
2200	6		Sub Department	SubDept	Max70Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/DbtrAgt/BrnchId/PstlAdr/SubDept
2210	6		Street Name	StrtNm	Max70Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/DbtrAgt/BrnchId/PstlAdr/StrtNm
2220	6		Building Number	BldgNb	Max16Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/DbtrAgt/BrnchId/PstlAdr/BldgNb
2230	6		Post Code	PstCd	Max16Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/DbtrAgt/BrnchId/PstlAdr/PstCd
2240	6		Town Name	TwnNm	Max35Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/DbtrAgt/BrnchId/PstlAdr/TwnNm
2250	6		Country Sub Division	CtrySubDvsn	Max35Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/DbtrAgt/BrnchId/PstlAdr/CtrySubDvsn
2260	6		Country	Ctry	CountryCode (xs:string)	[A-Z]{2,2}	0..1	/Document/CstmrPmtStsRpt/GrpHdr/DbtrAgt/BrnchId/PstlAdr/Ctry
2270	6		Address Line	AdrLine	Max70Text (xs:string)		0..7	/Document/CstmrPmtStsRpt/GrpHdr/DbtrAgt/BrnchId/PstlAdr/AdrLine
2280	3		Creditor Agent	CdtrAgt	BranchAndFinancialInstitutionIdentification4		0..1	/Document/CstmrPmtStsRpt/GrpHdr/CdtrAgt
2290	4		Financial Institution Identification	FinInstnId	FinancialInstitutionIdentification7		1	/Document/CstmrPmtStsRpt/GrpHdr/CdtrAgt/FinInstnId
2300	5		BIC	BIC	BICIdentifier (xs:string)	[A-Z]{6,6}[A-Z2-9][A-NP-Z0-9]([A-Z0-9]{3,3}){0,1}	0..1	/Document/CstmrPmtStsRpt/GrpHdr/CdtrAgt/FinInstnId/BIC
2310	5		Clearing System Member Identification	ClrSysMmbId	ClearingSystemMemberIdentification2		0..1	/Document/CstmrPmtStsRpt/GrpHdr/CdtrAgt/FinInstnId/ClrSysMmbId
2320	6		Clearing System Identification	ClrSysId	ClearingSystemIdentification2Choice		0..1	/Document/CstmrPmtStsRpt/GrpHdr/CdtrAgt/FinInstnId/ClrSysMmbId/ClrSysId
2330	7	 ------ Chc	Code	Cd	ExternalClearingSystemIdentification1Code (xs:string)		1	/Document/CstmrPmtStsRpt/GrpHdr/CdtrAgt/FinInstnId/ClrSysMmbId/ClrSysId/Cd
2340	7	 ------ Chc	Proprietary	Prtry	Max35Text (xs:string)		1	/Document/CstmrPmtStsRpt/GrpHdr/CdtrAgt/FinInstnId/ClrSysMmbId/ClrSysId/Prtry
2350	6		Member Identification	MmbId	Max35Text (xs:string)		1	/Document/CstmrPmtStsRpt/GrpHdr/CdtrAgt/FinInstnId/ClrSysMmbId/MmbId
2360	5		Name	Nm	Max140Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/CdtrAgt/FinInstnId/Nm
2370	5		Postal Address	PstlAdr	PostalAddress6		0..1	/Document/CstmrPmtStsRpt/GrpHdr/CdtrAgt/FinInstnId/PstlAdr
2380	6		Address Type	AdrTp	AddressType2Code (xs:string)	ADDR PBOX HOME BIZZ MLTO DLVY	0..1	/Document/CstmrPmtStsRpt/GrpHdr/CdtrAgt/FinInstnId/PstlAdr/AdrTp
2390	6		Department	Dept	Max70Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/CdtrAgt/FinInstnId/PstlAdr/Dept
2400	6		Sub Department	SubDept	Max70Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/CdtrAgt/FinInstnId/PstlAdr/SubDept
2410	6		Street Name	StrtNm	Max70Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/CdtrAgt/FinInstnId/PstlAdr/StrtNm
2420	6		Building Number	BldgNb	Max16Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/CdtrAgt/FinInstnId/PstlAdr/BldgNb
2430	6		Post Code	PstCd	Max16Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/CdtrAgt/FinInstnId/PstlAdr/PstCd
2440	6		Town Name	TwnNm	Max35Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/CdtrAgt/FinInstnId/PstlAdr/TwnNm
2450	6		Country Sub Division	CtrySubDvsn	Max35Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/CdtrAgt/FinInstnId/PstlAdr/CtrySubDvsn
2460	6		Country	Ctry	CountryCode (xs:string)	[A-Z]{2,2}	0..1	/Document/CstmrPmtStsRpt/GrpHdr/CdtrAgt/FinInstnId/PstlAdr/Ctry
2470	6		Address Line	AdrLine	Max70Text (xs:string)		0..7	/Document/CstmrPmtStsRpt/GrpHdr/CdtrAgt/FinInstnId/PstlAdr/AdrLine
2480	5		Other	Othr	GenericFinancialIdentification1		0..1	/Document/CstmrPmtStsRpt/GrpHdr/CdtrAgt/FinInstnId/Othr
2490	6		Identification	Id	Max35Text (xs:string)		1	/Document/CstmrPmtStsRpt/GrpHdr/CdtrAgt/FinInstnId/Othr/Id
2500	6		Scheme Name	SchmeNm	FinancialIdentificationSchemeName1Choice		0..1	/Document/CstmrPmtStsRpt/GrpHdr/CdtrAgt/FinInstnId/Othr/SchmeNm
2510	7	 ------ Chc	Code	Cd	ExternalFinancialInstitutionIdentification1Code (xs:string)		1	/Document/CstmrPmtStsRpt/GrpHdr/CdtrAgt/FinInstnId/Othr/SchmeNm/Cd
2520	7	 ------ Chc	Proprietary	Prtry	Max35Text (xs:string)		1	/Document/CstmrPmtStsRpt/GrpHdr/CdtrAgt/FinInstnId/Othr/SchmeNm/Prtry
2530	6		Issuer	Issr	Max35Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/CdtrAgt/FinInstnId/Othr/Issr
2540	4		Branch Identification	BrnchId	BranchData2		0..1	/Document/CstmrPmtStsRpt/GrpHdr/CdtrAgt/BrnchId
2550	5		Identification	Id	Max35Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/CdtrAgt/BrnchId/Id
2560	5		Name	Nm	Max140Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/CdtrAgt/BrnchId/Nm
2570	5		Postal Address	PstlAdr	PostalAddress6		0..1	/Document/CstmrPmtStsRpt/GrpHdr/CdtrAgt/BrnchId/PstlAdr
2580	6		Address Type	AdrTp	AddressType2Code (xs:string)	ADDR PBOX HOME BIZZ MLTO DLVY	0..1	/Document/CstmrPmtStsRpt/GrpHdr/CdtrAgt/BrnchId/PstlAdr/AdrTp
2590	6		Department	Dept	Max70Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/CdtrAgt/BrnchId/PstlAdr/Dept
2600	6		Sub Department	SubDept	Max70Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/CdtrAgt/BrnchId/PstlAdr/SubDept
2610	6		Street Name	StrtNm	Max70Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/CdtrAgt/BrnchId/PstlAdr/StrtNm
2620	6		Building Number	BldgNb	Max16Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/CdtrAgt/BrnchId/PstlAdr/BldgNb
2630	6		Post Code	PstCd	Max16Text (xs:string)		0..1	/Document/CstmrPmtStsRpt/GrpHdr/CdtrAgt/BrnchId/PstlAdr/PstCd
